State,State_Code,District,NAME,Total_Population,Median_Household_Income,Median_Home_Value,Median_Age,White_Alone,Black_or_African_American_Alone,Hispanic_or_Latino,Citizen_Voting_Age_Population
Alabama,01,1,"Congressional District 1 (119th Congress), Alabama",760389,71253,255700,41.9,558591,121768,41701,579201
Alabama,01,2,"Congressional District 2 (119th Congress), Alabama",703362,54977,175100,38.6,288085,350050,28822,529513
Alabama,01,3,"Congressional District 3 (119th Congress), Alabama",737665,62191,207800,40.2,523914,140546,32660,565486
Alabama,01,4,"Congressional District 4 (119th Congress), Alabama",735310,63203,205600,40.6,599418,48619,64886,549655
Alabama,01,5,"Congressional District 5 (119th Congress), Alabama",773877,80140,294500,39.4,529417,138533,57739,587587
Alabama,01,6,"Congressional District 6 (119th Congress), Alabama",728184,86712,297800,39.3,523571,134283,41804,545042
Alabama,01,7,"Congressional District 7 (119th Congress), Alabama",718912,54635,183200,37.3,278533,368308,39354,544971
Arizona,04,1,"Congressional District 1 (119th Congress), Arizona",819479,102195,696200,43.9,577813,32273,155503,634720
Arizona,04,2,"Congressional District 2 (119th Congress), Arizona",853923,70376,367800,43.0,495330,18329,168255,662961
Arizona,04,3,"Congressional District 3 (119th Congress), Arizona",834750,70539,375800,31.6,223486,91481,532785,483091
Arizona,04,4,"Congressional District 4 (119th Congress), Arizona",793264,82539,449900,36.2,470113,37046,206661,588078
Arizona,04,5,"Congressional District 5 (119th Congress), Arizona",902036,112116,546900,37.9,613418,35555,186183,639644
Arizona,04,6,"Congressional District 6 (119th Congress), Arizona",833838,80251,372800,44.1,554054,35487,223135,651866
Arizona,04,7,"Congressional District 7 (119th Congress), Arizona",813289,60932,278000,34.4,303912,32666,493716,554905
Arizona,04,8,"Congressional District 8 (119th Congress), Arizona",815902,85593,449500,43.7,548547,29772,184634,615546
Arizona,04,9,"Congressional District 9 (119th Congress), Arizona",915903,80463,406800,42.2,559000,48259,284789,675488
Arkansas,05,1,"Congressional District 1 (119th Congress), Arkansas",754656,52325,171700,41.0,561676,116455,35090,574860
Arkansas,05,2,"Congressional District 2 (119th Congress), Arkansas",773214,67021,234600,38.7,528344,156629,53401,579560
Arkansas,05,3,"Congressional District 3 (119th Congress), Arkansas",816102,75345,319400,36.1,501585,21599,145125,565060
