Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"793,264","(+/-15,908)"
Sex and Age,Male,"399,870","(+/-10,844)"
Sex and Age,Female,"393,394","(+/-10,450)"
Sex and Age,Under 5 years,"40,048","(+/-4,408)"
Sex and Age,5 to 9 years,"41,545","(+/-5,334)"
Sex and Age,10 to 14 years,"39,334","(+/-4,106)"
Sex and Age,15 to 19 years,"50,448","(+/-4,044)"
Sex and Age,20 to 24 years,"77,466","(+/-6,343)"
Sex and Age,25 to 34 years,"132,291","(+/-8,242)"
Sex and Age,35 to 44 years,"106,458","(+/-7,869)"
Sex and Age,45 to 54 years,"83,175","(+/-6,366)"
Sex and Age,55 to 59 years,"39,375","(+/-4,111)"
Sex and Age,60 to 64 years,"44,337","(+/-3,338)"
Sex and Age,65 to 74 years,"77,864","(+/-5,138)"
Sex and Age,75 to 84 years,"45,903","(+/-4,313)"
Sex and Age,85 years and over,"15,020","(+/-2,295)"
Sex and Age,Median age (years),36.2,(+/-0.9)
Sex and Age,18 years and over,"646,428","(+/-13,712)"
Sex and Age,65 years and over,"138,787","(+/-6,957)"
Race,Total population,"793,264","(+/-15,908)"
Race,One race,"654,919","(+/-16,085)"
Race,White,"470,113","(+/-18,344)"
Race,Black or African American,"37,046","(+/-6,272)"
Race,American Indian and Alaska Native,"24,490","(+/-5,444)"
Race,Asian,"55,026","(+/-7,114)"
Race,Native Hawaiian and Other Pacific Islander,576,(+/-421)
Race,Some other race,"67,668","(+/-8,656)"
Race,Two or more races,"138,345","(+/-10,827)"
Hispanic or Latino and Race,Total population,"793,264","(+/-15,908)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"206,661","(+/-14,545)"
Hispanic or Latino and Race,Mexican,"167,619","(+/-12,358)"
Hispanic or Latino and Race,Puerto Rican,"6,884","(+/-2,740)"
Hispanic or Latino and Race,Cuban,"2,542","(+/-1,602)"
Hispanic or Latino and Race,Other Hispanic or Latino,"29,616","(+/-6,119)"
Hispanic or Latino and Race,Not Hispanic or Latino,"586,603","(+/-15,103)"
Place of Birth,Total population,"793,264","(+/-15,908)"
Place of Birth,Native,"680,584","(+/-17,563)"
Place of Birth,Born in United States,"667,721","(+/-17,662)"
Place of Birth,State of residence,"305,820","(+/-14,063)"
Place of Birth,Different state,"361,901","(+/-12,515)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","12,863","(+/-2,864)"
Place of Birth,Foreign-born,"112,680","(+/-10,368)"
Ancestry,Total population,"793,264","(+/-15,908)"
Ancestry,American,"24,990","(+/-3,763)"
Ancestry,Arab,"6,007","(+/-2,026)"
Ancestry,Czech,"2,529",(+/-957)
Ancestry,Danish,"4,338","(+/-1,369)"
Ancestry,Dutch,"7,112","(+/-1,882)"
Ancestry,English,"85,426","(+/-8,735)"
Ancestry,French (except Basque),"14,141","(+/-2,908)"
Ancestry,French Canadian,"3,750","(+/-1,087)"
Ancestry,German,"101,858","(+/-7,949)"
Ancestry,Greek,"3,315","(+/-2,262)"
Ancestry,Hungarian,"3,333","(+/-1,059)"
Ancestry,Irish,"76,099","(+/-7,391)"
Ancestry,Italian,"32,114","(+/-4,221)"
Ancestry,Lithuanian,"1,602",(+/-790)
Ancestry,Norwegian,"16,330","(+/-3,850)"
Ancestry,Polish,"20,672","(+/-3,943)"
Ancestry,Portuguese,"2,132",(+/-829)
Ancestry,Russian,"4,387","(+/-1,088)"
Ancestry,Scotch-Irish,"5,966","(+/-1,722)"
Ancestry,Scottish,"16,930","(+/-3,497)"
Ancestry,Slovak,954,(+/-921)
Ancestry,Subsaharan African,"7,708","(+/-3,846)"
Ancestry,Swedish,"8,666","(+/-1,896)"
Ancestry,Swiss,"1,956",(+/-746)
Ancestry,Ukrainian,"1,641",(+/-860)
Ancestry,Welsh,"4,064","(+/-1,137)"
Ancestry,West Indian (excluding Hispanic origin groups),999,(+/-700)
Veteran Status,Civilian population 18 years and over,"645,997","(+/-13,708)"
Veteran Status,Civilian veterans,"38,918","(+/-4,143)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"789,572","(+/-15,909)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"100,924","(+/-5,771)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"146,605","(+/-10,026)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"8,953","(+/-2,885)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"506,572","(+/-12,972)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"49,307","(+/-4,301)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"136,395","(+/-6,954)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"42,664","(+/-3,205)"
Residence 1 Year Ago,Population 1 year and over,"785,507","(+/-15,771)"
Residence 1 Year Ago,Same house,"650,063","(+/-15,698)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"135,444","(+/-10,821)"
Residence 1 Year Ago,Different house in the U.S.,"126,198","(+/-10,365)"
Residence 1 Year Ago,Same county,"90,490","(+/-8,869)"
Residence 1 Year Ago,Different county,"35,708","(+/-5,183)"
Residence 1 Year Ago,Same state,"9,302","(+/-3,746)"
Residence 1 Year Ago,Different state,"26,406","(+/-4,296)"
Residence 1 Year Ago,Abroad,"9,246","(+/-2,870)"
