Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"745,409","(+/-1,652)"
Sex and Age,Male,"377,442","(+/-1,205)"
Sex and Age,Female,"367,967","(+/-1,112)"
Sex and Age,Under 5 years,"44,769",(+/-488)
Sex and Age,5 to 9 years,"43,800","(+/-3,264)"
Sex and Age,10 to 14 years,"49,992","(+/-3,243)"
Sex and Age,15 to 19 years,"50,862","(+/-1,176)"
Sex and Age,20 to 24 years,"55,864","(+/-1,202)"
Sex and Age,25 to 34 years,"122,825",(+/-922)
Sex and Age,35 to 44 years,"106,908",(+/-711)
Sex and Age,45 to 54 years,"81,161",(+/-814)
Sex and Age,55 to 59 years,"35,918","(+/-2,154)"
Sex and Age,60 to 64 years,"43,141","(+/-2,116)"
Sex and Age,65 to 74 years,"66,517",(+/-859)
Sex and Age,75 to 84 years,"33,034","(+/-1,585)"
Sex and Age,85 years and over,"10,618","(+/-1,646)"
Sex and Age,Median age (years),35.4,(+/-0.1)
Sex and Age,18 years and over,"577,279","(+/-1,195)"
Sex and Age,65 years and over,"110,169",(+/-524)
Race,Total population,"745,409","(+/-1,652)"
Race,One race,"625,735","(+/-8,978)"
Race,White,"509,934","(+/-5,602)"
Race,Black or African American,"42,818","(+/-3,822)"
Race,American Indian and Alaska Native,"7,298","(+/-1,778)"
Race,Asian,"23,791","(+/-2,312)"
Race,Native Hawaiian and Other Pacific Islander,"1,714",(+/-516)
Race,Some other race,"40,180","(+/-6,713)"
Race,Two or more races,"119,674","(+/-8,932)"
Hispanic or Latino and Race,Total population,"745,409","(+/-1,652)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"147,030",(+/-183)
Hispanic or Latino and Race,Mexican,"90,656","(+/-5,891)"
Hispanic or Latino and Race,Puerto Rican,"11,761","(+/-3,031)"
Hispanic or Latino and Race,Cuban,"5,809","(+/-2,864)"
Hispanic or Latino and Race,Other Hispanic or Latino,"38,804","(+/-4,810)"
Hispanic or Latino and Race,Not Hispanic or Latino,"598,379","(+/-1,635)"
Place of Birth,Total population,"745,409","(+/-1,652)"
Place of Birth,Native,"684,157","(+/-7,471)"
Place of Birth,Born in United States,"659,075","(+/-7,166)"
Place of Birth,State of residence,"237,543","(+/-9,397)"
Place of Birth,Different state,"421,532","(+/-9,601)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","25,082","(+/-3,515)"
Place of Birth,Foreign-born,"61,252","(+/-6,990)"
Ancestry,Total population,"745,409","(+/-1,652)"
Ancestry,American,"31,801","(+/-4,367)"
Ancestry,Arab,"2,232","(+/-1,072)"
Ancestry,Czech,"4,036","(+/-1,003)"
Ancestry,Danish,"5,073","(+/-1,659)"
Ancestry,Dutch,"9,623","(+/-1,904)"
Ancestry,English,"81,944","(+/-5,614)"
Ancestry,French (except Basque),"16,490","(+/-3,012)"
Ancestry,French Canadian,"4,186","(+/-2,159)"
Ancestry,German,"131,193","(+/-8,555)"
Ancestry,Greek,"2,445","(+/-1,269)"
Ancestry,Hungarian,"2,624","(+/-1,030)"
Ancestry,Irish,"84,726","(+/-6,683)"
Ancestry,Italian,"30,292","(+/-3,829)"
Ancestry,Lithuanian,"1,726",(+/-632)
Ancestry,Norwegian,"16,403","(+/-3,844)"
Ancestry,Polish,"16,463","(+/-2,694)"
Ancestry,Portuguese,"1,538",(+/-747)
Ancestry,Russian,"4,255","(+/-1,469)"
Ancestry,Scotch-Irish,"6,085","(+/-1,753)"
Ancestry,Scottish,"22,891","(+/-3,199)"
Ancestry,Slovak,"1,345",(+/-784)
Ancestry,Subsaharan African,"6,726","(+/-2,283)"
Ancestry,Swedish,"13,279","(+/-2,738)"
Ancestry,Swiss,"1,940",(+/-921)
Ancestry,Ukrainian,"1,958",(+/-980)
Ancestry,Welsh,"5,226","(+/-2,374)"
Ancestry,West Indian (excluding Hispanic origin groups),"3,734","(+/-1,431)"
Veteran Status,Civilian population 18 years and over,"541,799","(+/-2,589)"
Veteran Status,Civilian veterans,"84,559","(+/-5,321)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"705,512","(+/-2,762)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"94,000","(+/-6,125)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"167,970",(+/-819)
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"10,672","(+/-2,169)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"429,765","(+/-2,603)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"50,333","(+/-4,568)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"107,777",(+/-534)
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"32,995","(+/-2,354)"
Residence 1 Year Ago,Population 1 year and over,"735,421","(+/-2,245)"
Residence 1 Year Ago,Same house,"608,245","(+/-11,006)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"127,176","(+/-10,642)"
Residence 1 Year Ago,Different house in the U.S.,"119,931","(+/-9,987)"
Residence 1 Year Ago,Same county,"61,046","(+/-7,434)"
Residence 1 Year Ago,Different county,"58,885","(+/-7,930)"
Residence 1 Year Ago,Same state,"17,202","(+/-4,171)"
Residence 1 Year Ago,Different state,"41,683","(+/-6,652)"
Residence 1 Year Ago,Abroad,"7,245","(+/-3,655)"
