Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"731,305","(+/-7,274)"
Sex and Age,Male,"367,095","(+/-5,007)"
Sex and Age,Female,"364,210","(+/-5,167)"
Sex and Age,Under 5 years,"31,307","(+/-2,235)"
Sex and Age,5 to 9 years,"37,976","(+/-2,802)"
Sex and Age,10 to 14 years,"39,402","(+/-2,928)"
Sex and Age,15 to 19 years,"47,343","(+/-2,818)"
Sex and Age,20 to 24 years,"51,239","(+/-2,912)"
Sex and Age,25 to 34 years,"86,372","(+/-3,488)"
Sex and Age,35 to 44 years,"91,672","(+/-3,647)"
Sex and Age,45 to 54 years,"84,219","(+/-3,546)"
Sex and Age,55 to 59 years,"47,963","(+/-2,538)"
Sex and Age,60 to 64 years,"58,099","(+/-2,805)"
Sex and Age,65 to 74 years,"91,277","(+/-2,822)"
Sex and Age,75 to 84 years,"47,552","(+/-2,617)"
Sex and Age,85 years and over,"16,884","(+/-1,585)"
Sex and Age,Median age (years),43.2,(+/-0.6)
Sex and Age,18 years and over,"596,371","(+/-6,352)"
Sex and Age,65 years and over,"155,713","(+/-4,241)"
Race,Total population,"731,305","(+/-7,274)"
Race,One race,"661,481","(+/-9,396)"
Race,White,"575,320","(+/-8,129)"
Race,Black or African American,"27,726","(+/-3,593)"
Race,American Indian and Alaska Native,"3,688","(+/-1,426)"
Race,Asian,"27,727","(+/-3,265)"
Race,Native Hawaiian and Other Pacific Islander,536,(+/-536)
Race,Some other race,"26,484","(+/-4,332)"
Race,Two or more races,"69,824","(+/-7,027)"
Hispanic or Latino and Race,Total population,"731,305","(+/-7,274)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"79,206","(+/-4,304)"
Hispanic or Latino and Race,Mexican,"10,436","(+/-3,029)"
Hispanic or Latino and Race,Puerto Rican,"34,279","(+/-4,337)"
Hispanic or Latino and Race,Cuban,"1,227",(+/-711)
Hispanic or Latino and Race,Other Hispanic or Latino,"33,264","(+/-4,078)"
Hispanic or Latino and Race,Not Hispanic or Latino,"652,099","(+/-7,232)"
Place of Birth,Total population,"731,305","(+/-7,274)"
Place of Birth,Native,"674,786","(+/-8,291)"
Place of Birth,Born in United States,"656,737","(+/-8,519)"
Place of Birth,State of residence,"407,567","(+/-10,930)"
Place of Birth,Different state,"249,170","(+/-8,881)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","18,049","(+/-2,881)"
Place of Birth,Foreign-born,"56,519","(+/-4,291)"
Ancestry,Total population,"731,305","(+/-7,274)"
Ancestry,American,"29,145","(+/-3,970)"
Ancestry,Arab,"3,603","(+/-1,280)"
Ancestry,Czech,"1,719","(+/-1,036)"
Ancestry,Danish,"2,295","(+/-1,173)"
Ancestry,Dutch,"4,399","(+/-1,189)"
Ancestry,English,"87,873","(+/-6,390)"
Ancestry,French (except Basque),"45,747","(+/-4,360)"
Ancestry,French Canadian,"35,795","(+/-4,746)"
Ancestry,German,"73,259","(+/-5,510)"
Ancestry,Greek,"6,151","(+/-1,665)"
Ancestry,Hungarian,"3,578",(+/-981)
Ancestry,Irish,"126,257","(+/-6,993)"
Ancestry,Italian,"108,194","(+/-6,200)"
Ancestry,Lithuanian,"5,547","(+/-1,592)"
Ancestry,Norwegian,"5,105","(+/-1,021)"
Ancestry,Polish,"55,679","(+/-6,072)"
Ancestry,Portuguese,"13,018","(+/-2,798)"
Ancestry,Russian,"7,215","(+/-1,626)"
Ancestry,Scotch-Irish,"4,098",(+/-962)
Ancestry,Scottish,"20,533","(+/-2,944)"
Ancestry,Slovak,"1,362",(+/-518)
Ancestry,Subsaharan African,"1,802",(+/-897)
Ancestry,Swedish,"12,957","(+/-2,127)"
Ancestry,Swiss,"1,897",(+/-849)
Ancestry,Ukrainian,"4,688","(+/-1,730)"
Ancestry,Welsh,"2,634","(+/-1,023)"
Ancestry,West Indian (excluding Hispanic origin groups),"5,561","(+/-1,592)"
Veteran Status,Civilian population 18 years and over,"590,351","(+/-6,570)"
Veteran Status,Civilian veterans,"38,004","(+/-3,152)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"714,367","(+/-7,442)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"94,577","(+/-5,056)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"134,915","(+/-4,396)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"7,194","(+/-1,796)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"427,301","(+/-5,478)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"43,310","(+/-3,117)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"152,151","(+/-4,235)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"44,073","(+/-3,458)"
Residence 1 Year Ago,Population 1 year and over,"725,596","(+/-7,405)"
Residence 1 Year Ago,Same house,"653,058","(+/-10,064)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"72,538","(+/-6,138)"
Residence 1 Year Ago,Different house in the U.S.,"69,943","(+/-6,035)"
Residence 1 Year Ago,Same county,"34,005","(+/-5,342)"
Residence 1 Year Ago,Different county,"35,938","(+/-3,844)"
Residence 1 Year Ago,Same state,"18,404","(+/-3,016)"
Residence 1 Year Ago,Different state,"17,534","(+/-2,534)"
Residence 1 Year Ago,Abroad,"2,595","(+/-1,236)"
