Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"835,404","(+/-25,069)"
Sex and Age,Male,"403,059","(+/-14,370)"
Sex and Age,Female,"432,345","(+/-13,735)"
Sex and Age,Under 5 years,"37,141","(+/-4,042)"
Sex and Age,5 to 9 years,"48,650","(+/-5,686)"
Sex and Age,10 to 14 years,"55,812","(+/-5,675)"
Sex and Age,15 to 19 years,"56,670","(+/-5,013)"
Sex and Age,20 to 24 years,"57,579","(+/-4,446)"
Sex and Age,25 to 34 years,"113,045","(+/-8,372)"
Sex and Age,35 to 44 years,"118,465","(+/-8,659)"
Sex and Age,45 to 54 years,"101,987","(+/-6,748)"
Sex and Age,55 to 59 years,"46,688","(+/-4,379)"
Sex and Age,60 to 64 years,"52,527","(+/-3,802)"
Sex and Age,65 to 74 years,"83,175","(+/-5,004)"
Sex and Age,75 to 84 years,"50,876","(+/-3,712)"
Sex and Age,85 years and over,"12,789","(+/-1,983)"
Sex and Age,Median age (years),39.1,(+/-0.8)
Sex and Age,18 years and over,"663,604","(+/-20,443)"
Sex and Age,65 years and over,"146,840","(+/-6,795)"
Race,Total population,"835,404","(+/-25,069)"
Race,One race,"673,610","(+/-20,578)"
Race,White,"439,026","(+/-17,250)"
Race,Black or African American,"114,490","(+/-9,232)"
Race,American Indian and Alaska Native,"3,884","(+/-1,369)"
Race,Asian,"49,371","(+/-7,173)"
Race,Native Hawaiian and Other Pacific Islander,"1,378","(+/-1,665)"
Race,Some other race,"65,461","(+/-11,178)"
Race,Two or more races,"161,794","(+/-12,640)"
Hispanic or Latino and Race,Total population,"835,404","(+/-25,069)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"240,326","(+/-16,400)"
Hispanic or Latino and Race,Mexican,"52,657","(+/-9,727)"
Hispanic or Latino and Race,Puerto Rican,"68,280","(+/-8,834)"
Hispanic or Latino and Race,Cuban,"35,482","(+/-6,695)"
Hispanic or Latino and Race,Other Hispanic or Latino,"83,907","(+/-11,876)"
Hispanic or Latino and Race,Not Hispanic or Latino,"595,078","(+/-20,101)"
Place of Birth,Total population,"835,404","(+/-25,069)"
Place of Birth,Native,"687,871","(+/-21,396)"
Place of Birth,Born in United States,"649,618","(+/-21,039)"
Place of Birth,State of residence,"322,858","(+/-15,758)"
Place of Birth,Different state,"326,760","(+/-12,999)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","38,253","(+/-6,099)"
Place of Birth,Foreign-born,"147,533","(+/-11,207)"
Ancestry,Total population,"835,404","(+/-25,069)"
Ancestry,American,"54,313","(+/-6,197)"
Ancestry,Arab,"11,622","(+/-5,011)"
Ancestry,Czech,"1,784","(+/-1,058)"
Ancestry,Danish,"1,968",(+/-983)
Ancestry,Dutch,"6,510","(+/-1,931)"
Ancestry,English,"67,180","(+/-6,377)"
Ancestry,French (except Basque),"12,752","(+/-3,025)"
Ancestry,French Canadian,"4,259","(+/-1,486)"
Ancestry,German,"74,626","(+/-7,333)"
Ancestry,Greek,"3,974","(+/-1,431)"
Ancestry,Hungarian,"2,252",(+/-898)
Ancestry,Irish,"68,755","(+/-6,946)"
Ancestry,Italian,"39,639","(+/-5,072)"
Ancestry,Lithuanian,453,(+/-321)
Ancestry,Norwegian,"3,246","(+/-1,090)"
Ancestry,Polish,"16,065","(+/-3,458)"
Ancestry,Portuguese,"2,306","(+/-1,206)"
Ancestry,Russian,"4,508","(+/-1,859)"
Ancestry,Scotch-Irish,"5,981","(+/-1,834)"
Ancestry,Scottish,"15,239","(+/-2,964)"
Ancestry,Slovak,583,(+/-417)
Ancestry,Subsaharan African,"9,520","(+/-3,400)"
Ancestry,Swedish,"7,796","(+/-3,158)"
Ancestry,Swiss,184,(+/-127)
Ancestry,Ukrainian,"1,549",(+/-706)
Ancestry,Welsh,"2,878","(+/-1,204)"
Ancestry,West Indian (excluding Hispanic origin groups),"19,143","(+/-4,018)"
Veteran Status,Civilian population 18 years and over,"662,536","(+/-20,528)"
Veteran Status,Civilian veterans,"49,681","(+/-4,146)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"828,373","(+/-25,168)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"114,042","(+/-7,300)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"171,410","(+/-10,753)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"10,593","(+/-2,514)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"513,477","(+/-18,470)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"53,788","(+/-4,988)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"143,486","(+/-6,827)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"49,661","(+/-4,149)"
Residence 1 Year Ago,Population 1 year and over,"829,271","(+/-24,923)"
Residence 1 Year Ago,Same house,"723,144","(+/-24,099)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"106,127","(+/-10,972)"
Residence 1 Year Ago,Different house in the U.S.,"90,739","(+/-9,280)"
Residence 1 Year Ago,Same county,"46,904","(+/-7,600)"
Residence 1 Year Ago,Different county,"43,835","(+/-7,027)"
Residence 1 Year Ago,Same state,"26,474","(+/-4,664)"
Residence 1 Year Ago,Different state,"17,361","(+/-4,379)"
Residence 1 Year Ago,Abroad,"15,388","(+/-5,026)"
