Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"820,432","(+/-20,820)"
Sex and Age,Male,"397,243","(+/-10,747)"
Sex and Age,Female,"423,189","(+/-13,174)"
Sex and Age,Under 5 years,"47,290","(+/-3,970)"
Sex and Age,5 to 9 years,"57,657","(+/-5,489)"
Sex and Age,10 to 14 years,"56,955","(+/-5,466)"
Sex and Age,15 to 19 years,"68,338","(+/-4,731)"
Sex and Age,20 to 24 years,"53,562","(+/-4,284)"
Sex and Age,25 to 34 years,"103,930","(+/-6,715)"
Sex and Age,35 to 44 years,"114,999","(+/-5,331)"
Sex and Age,45 to 54 years,"108,237","(+/-5,058)"
Sex and Age,55 to 59 years,"45,710","(+/-3,435)"
Sex and Age,60 to 64 years,"53,710","(+/-3,708)"
Sex and Age,65 to 74 years,"67,840","(+/-3,475)"
Sex and Age,75 to 84 years,"33,976","(+/-2,968)"
Sex and Age,85 years and over,"8,228","(+/-1,415)"
Sex and Age,Median age (years),37.2,(+/-0.7)
Sex and Age,18 years and over,"613,485","(+/-15,036)"
Sex and Age,65 years and over,"110,044","(+/-4,683)"
Race,Total population,"820,432","(+/-20,820)"
Race,One race,"744,521","(+/-20,933)"
Race,White,"184,282","(+/-9,186)"
Race,Black or African American,"421,617","(+/-17,360)"
Race,American Indian and Alaska Native,"3,749","(+/-2,469)"
Race,Asian,"55,880","(+/-6,684)"
Race,Native Hawaiian and Other Pacific Islander,457,(+/-325)
Race,Some other race,"78,536","(+/-10,489)"
Race,Two or more races,"75,911","(+/-8,086)"
Hispanic or Latino and Race,Total population,"820,432","(+/-20,820)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"136,137","(+/-12,080)"
Hispanic or Latino and Race,Mexican,"61,845","(+/-9,205)"
Hispanic or Latino and Race,Puerto Rican,"11,803","(+/-4,175)"
Hispanic or Latino and Race,Cuban,"7,468","(+/-3,914)"
Hispanic or Latino and Race,Other Hispanic or Latino,"55,021","(+/-9,370)"
Hispanic or Latino and Race,Not Hispanic or Latino,"684,295","(+/-18,787)"
Place of Birth,Total population,"820,432","(+/-20,820)"
Place of Birth,Native,"655,407","(+/-19,699)"
Place of Birth,Born in United States,"643,451","(+/-19,552)"
Place of Birth,State of residence,"365,372","(+/-15,343)"
Place of Birth,Different state,"278,079","(+/-14,633)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","11,956","(+/-2,766)"
Place of Birth,Foreign-born,"165,025","(+/-11,410)"
Ancestry,Total population,"820,432","(+/-20,820)"
Ancestry,American,"37,902","(+/-6,122)"
Ancestry,Arab,"6,195","(+/-4,071)"
Ancestry,Czech,"2,316","(+/-2,531)"
Ancestry,Danish,830,(+/-815)
Ancestry,Dutch,"1,784",(+/-790)
Ancestry,English,"39,649","(+/-4,201)"
Ancestry,French (except Basque),"4,173","(+/-1,340)"
Ancestry,French Canadian,315,(+/-298)
Ancestry,German,"25,739","(+/-4,297)"
Ancestry,Greek,503,(+/-345)
Ancestry,Hungarian,"1,206","(+/-1,071)"
Ancestry,Irish,"29,045","(+/-3,673)"
Ancestry,Italian,"10,522","(+/-2,328)"
Ancestry,Lithuanian,198,(+/-113)
Ancestry,Norwegian,"1,240",(+/-714)
Ancestry,Polish,"3,119","(+/-1,050)"
Ancestry,Portuguese,490,(+/-452)
Ancestry,Russian,741,(+/-532)
Ancestry,Scotch-Irish,"4,447","(+/-1,564)"
Ancestry,Scottish,"9,246","(+/-2,054)"
Ancestry,Slovak,217,(+/-164)
Ancestry,Subsaharan African,"36,762","(+/-8,232)"
Ancestry,Swedish,831,(+/-499)
Ancestry,Swiss,413,(+/-415)
Ancestry,Ukrainian,786,(+/-541)
Ancestry,Welsh,"1,313",(+/-613)
Ancestry,West Indian (excluding Hispanic origin groups),"36,776","(+/-7,853)"
Veteran Status,Civilian population 18 years and over,"613,114","(+/-15,107)"
Veteran Status,Civilian veterans,"47,279","(+/-4,397)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"815,281","(+/-20,876)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"97,207","(+/-7,053)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"206,807","(+/-9,492)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"10,996","(+/-2,683)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"499,898","(+/-14,354)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"51,049","(+/-5,704)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"108,576","(+/-4,693)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"35,162","(+/-2,504)"
Residence 1 Year Ago,Population 1 year and over,"809,943","(+/-20,268)"
Residence 1 Year Ago,Same house,"717,883","(+/-21,386)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"92,060","(+/-11,564)"
Residence 1 Year Ago,Different house in the U.S.,"84,302","(+/-10,937)"
Residence 1 Year Ago,Same county,"37,208","(+/-7,541)"
Residence 1 Year Ago,Different county,"47,094","(+/-7,782)"
Residence 1 Year Ago,Same state,"32,293","(+/-6,285)"
Residence 1 Year Ago,Different state,"14,801","(+/-4,426)"
Residence 1 Year Ago,Abroad,"7,758","(+/-3,422)"
