Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"727,086","(+/-11,399)"
Sex and Age,Male,"362,767","(+/-6,844)"
Sex and Age,Female,"364,319","(+/-6,517)"
Sex and Age,Under 5 years,"38,641","(+/-2,061)"
Sex and Age,5 to 9 years,"47,516","(+/-3,641)"
Sex and Age,10 to 14 years,"44,983","(+/-3,032)"
Sex and Age,15 to 19 years,"42,966","(+/-2,881)"
Sex and Age,20 to 24 years,"42,461","(+/-2,969)"
Sex and Age,25 to 34 years,"84,892","(+/-4,090)"
Sex and Age,35 to 44 years,"102,049","(+/-3,894)"
Sex and Age,45 to 54 years,"80,195","(+/-2,914)"
Sex and Age,55 to 59 years,"40,636","(+/-2,796)"
Sex and Age,60 to 64 years,"45,038","(+/-2,838)"
Sex and Age,65 to 74 years,"90,780","(+/-2,303)"
Sex and Age,75 to 84 years,"49,948","(+/-2,962)"
Sex and Age,85 years and over,"16,981","(+/-2,265)"
Sex and Age,Median age (years),41.2,(+/-0.7)
Sex and Age,18 years and over,"569,479","(+/-7,895)"
Sex and Age,65 years and over,"157,709","(+/-3,095)"
Race,Total population,"727,086","(+/-11,399)"
Race,One race,"488,793","(+/-11,196)"
Race,White,"204,908","(+/-4,824)"
Race,Black or African American,"9,170","(+/-1,874)"
Race,American Indian and Alaska Native,"3,839","(+/-1,224)"
Race,Asian,"173,514","(+/-8,325)"
Race,Native Hawaiian and Other Pacific Islander,"82,438","(+/-6,069)"
Race,Some other race,"14,924","(+/-3,765)"
Race,Two or more races,"238,293","(+/-13,645)"
Hispanic or Latino and Race,Total population,"727,086","(+/-11,399)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"89,568","(+/-4,147)"
Hispanic or Latino and Race,Mexican,"32,378","(+/-4,871)"
Hispanic or Latino and Race,Puerto Rican,"24,053","(+/-3,830)"
Hispanic or Latino and Race,Cuban,"1,811",(+/-969)
Hispanic or Latino and Race,Other Hispanic or Latino,"31,326","(+/-4,817)"
Hispanic or Latino and Race,Not Hispanic or Latino,"637,518","(+/-10,834)"
Place of Birth,Total population,"727,086","(+/-11,399)"
Place of Birth,Native,"633,391","(+/-11,613)"
Place of Birth,Born in United States,"612,666","(+/-11,447)"
Place of Birth,State of residence,"401,200","(+/-11,056)"
Place of Birth,Different state,"211,466","(+/-7,452)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","20,725","(+/-3,068)"
Place of Birth,Foreign-born,"93,695","(+/-7,020)"
Ancestry,Total population,"727,086","(+/-11,399)"
Ancestry,American,"10,670","(+/-2,439)"
Ancestry,Arab,"1,280",(+/-947)
Ancestry,Czech,"1,256",(+/-646)
Ancestry,Danish,"3,561","(+/-1,478)"
Ancestry,Dutch,"4,424","(+/-1,263)"
Ancestry,English,"47,184","(+/-4,392)"
Ancestry,French (except Basque),"8,008","(+/-1,633)"
Ancestry,French Canadian,954,(+/-509)
Ancestry,German,"49,299","(+/-4,985)"
Ancestry,Greek,"1,724",(+/-833)
Ancestry,Hungarian,"3,089","(+/-1,107)"
Ancestry,Irish,"44,057","(+/-4,402)"
Ancestry,Italian,"19,657","(+/-2,571)"
Ancestry,Lithuanian,663,(+/-314)
Ancestry,Norwegian,"6,810","(+/-1,559)"
Ancestry,Polish,"6,519","(+/-1,370)"
Ancestry,Portuguese,"35,725","(+/-5,285)"
Ancestry,Russian,"3,053",(+/-941)
Ancestry,Scotch-Irish,"2,471",(+/-799)
Ancestry,Scottish,"10,396","(+/-2,307)"
Ancestry,Slovak,159,(+/-162)
Ancestry,Subsaharan African,"1,452",(+/-787)
Ancestry,Swedish,"5,418","(+/-1,422)"
Ancestry,Swiss,"1,956",(+/-893)
Ancestry,Ukrainian,"1,352",(+/-641)
Ancestry,Welsh,"2,532",(+/-788)
Ancestry,West Indian (excluding Hispanic origin groups),"3,167","(+/-1,326)"
Veteran Status,Civilian population 18 years and over,"548,032","(+/-7,857)"
Veteran Status,Civilian veterans,"39,879","(+/-3,497)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"701,716","(+/-11,412)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"100,486","(+/-5,544)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"157,528","(+/-5,009)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"8,287","(+/-2,071)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"388,750","(+/-7,032)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"41,627","(+/-3,857)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"155,438","(+/-3,072)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"50,572","(+/-3,098)"
Residence 1 Year Ago,Population 1 year and over,"720,489","(+/-11,476)"
Residence 1 Year Ago,Same house,"644,746","(+/-12,287)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"75,743","(+/-5,937)"
Residence 1 Year Ago,Different house in the U.S.,"72,052","(+/-5,943)"
Residence 1 Year Ago,Same county,"42,573","(+/-5,050)"
Residence 1 Year Ago,Different county,"29,479","(+/-4,231)"
Residence 1 Year Ago,Same state,"4,687","(+/-1,445)"
Residence 1 Year Ago,Different state,"24,792","(+/-3,863)"
Residence 1 Year Ago,Abroad,"3,691","(+/-1,459)"
