Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"967,957","(+/-5,309)"
Sex and Age,Male,"483,620","(+/-4,526)"
Sex and Age,Female,"484,337","(+/-4,018)"
Sex and Age,Under 5 years,"52,961","(+/-1,611)"
Sex and Age,5 to 9 years,"62,916","(+/-3,073)"
Sex and Age,10 to 14 years,"65,786","(+/-3,662)"
Sex and Age,15 to 19 years,"76,730","(+/-3,425)"
Sex and Age,20 to 24 years,"81,462","(+/-3,724)"
Sex and Age,25 to 34 years,"131,009","(+/-3,426)"
Sex and Age,35 to 44 years,"126,830","(+/-3,676)"
Sex and Age,45 to 54 years,"105,341","(+/-3,563)"
Sex and Age,55 to 59 years,"51,813","(+/-2,947)"
Sex and Age,60 to 64 years,"54,279","(+/-2,514)"
Sex and Age,65 to 74 years,"94,815","(+/-2,426)"
Sex and Age,75 to 84 years,"47,863","(+/-2,029)"
Sex and Age,85 years and over,"16,152","(+/-1,453)"
Sex and Age,Median age (years),36.0,(+/-0.4)
Sex and Age,18 years and over,"741,948","(+/-4,489)"
Sex and Age,65 years and over,"158,830","(+/-2,992)"
Race,Total population,"967,957","(+/-5,309)"
Race,One race,"870,481","(+/-8,814)"
Race,White,"775,424","(+/-6,965)"
Race,Black or African American,"9,409","(+/-2,065)"
Race,American Indian and Alaska Native,"11,806","(+/-2,346)"
Race,Asian,"16,588","(+/-2,233)"
Race,Native Hawaiian and Other Pacific Islander,"1,326",(+/-593)
Race,Some other race,"55,928","(+/-6,268)"
Race,Two or more races,"97,476","(+/-7,485)"
Hispanic or Latino and Race,Total population,"967,957","(+/-5,309)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"151,314","(+/-3,248)"
Hispanic or Latino and Race,Mexican,"119,641","(+/-5,688)"
Hispanic or Latino and Race,Puerto Rican,"1,518","(+/-1,001)"
Hispanic or Latino and Race,Cuban,"2,046","(+/-1,166)"
Hispanic or Latino and Race,Other Hispanic or Latino,"28,109","(+/-4,255)"
Hispanic or Latino and Race,Not Hispanic or Latino,"816,643","(+/-5,454)"
Place of Birth,Total population,"967,957","(+/-5,309)"
Place of Birth,Native,"898,887","(+/-6,847)"
Place of Birth,Born in United States,"888,470","(+/-6,995)"
Place of Birth,State of residence,"466,363","(+/-8,618)"
Place of Birth,Different state,"422,107","(+/-9,091)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","10,417","(+/-1,812)"
Place of Birth,Foreign-born,"69,070","(+/-4,866)"
Ancestry,Total population,"967,957","(+/-5,309)"
Ancestry,American,"58,167","(+/-4,267)"
Ancestry,Arab,"1,076",(+/-678)
Ancestry,Czech,"4,483","(+/-1,336)"
Ancestry,Danish,"20,664","(+/-3,144)"
Ancestry,Dutch,"14,909","(+/-2,897)"
Ancestry,English,"196,185","(+/-10,677)"
Ancestry,French (except Basque),"18,189","(+/-3,222)"
Ancestry,French Canadian,"2,153",(+/-631)
Ancestry,German,"138,240","(+/-7,207)"
Ancestry,Greek,"2,298","(+/-1,001)"
Ancestry,Hungarian,"1,386",(+/-654)
Ancestry,Irish,"81,549","(+/-5,065)"
Ancestry,Italian,"25,843","(+/-3,003)"
Ancestry,Lithuanian,558,(+/-287)
Ancestry,Norwegian,"22,165","(+/-2,954)"
Ancestry,Polish,"12,319","(+/-2,316)"
Ancestry,Portuguese,"2,505",(+/-820)
Ancestry,Russian,"3,612","(+/-1,384)"
Ancestry,Scotch-Irish,"7,189","(+/-1,680)"
Ancestry,Scottish,"34,815","(+/-3,477)"
Ancestry,Slovak,492,(+/-366)
Ancestry,Subsaharan African,"6,800","(+/-2,016)"
Ancestry,Swedish,"22,807","(+/-3,253)"
Ancestry,Swiss,"8,692","(+/-1,841)"
Ancestry,Ukrainian,"1,884","(+/-1,107)"
Ancestry,Welsh,"12,733","(+/-2,403)"
Ancestry,West Indian (excluding Hispanic origin groups),568,(+/-486)
Veteran Status,Civilian population 18 years and over,"738,100","(+/-4,572)"
Veteran Status,Civilian veterans,"47,553","(+/-2,626)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"955,243","(+/-5,349)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"138,175","(+/-6,507)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"225,845","(+/-3,803)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"11,742","(+/-2,010)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"574,882","(+/-4,325)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"74,261","(+/-5,293)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"154,516","(+/-2,990)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"52,172","(+/-2,730)"
Residence 1 Year Ago,Population 1 year and over,"955,921","(+/-5,417)"
Residence 1 Year Ago,Same house,"816,992","(+/-9,222)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"138,929","(+/-8,081)"
Residence 1 Year Ago,Different house in the U.S.,"132,541","(+/-7,844)"
Residence 1 Year Ago,Same county,"64,402","(+/-5,927)"
Residence 1 Year Ago,Different county,"68,139","(+/-5,757)"
Residence 1 Year Ago,Same state,"33,697","(+/-4,505)"
Residence 1 Year Ago,Different state,"34,442","(+/-4,183)"
Residence 1 Year Ago,Abroad,"6,388","(+/-1,619)"
