Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"774,688","(+/-3,598)"
Sex and Age,Male,"386,180","(+/-2,561)"
Sex and Age,Female,"388,508","(+/-2,664)"
Sex and Age,Under 5 years,"50,045","(+/-1,244)"
Sex and Age,5 to 9 years,"52,866","(+/-3,234)"
Sex and Age,10 to 14 years,"53,222","(+/-2,937)"
Sex and Age,15 to 19 years,"52,831","(+/-1,554)"
Sex and Age,20 to 24 years,"49,593","(+/-1,844)"
Sex and Age,25 to 34 years,"102,062","(+/-2,364)"
Sex and Age,35 to 44 years,"96,007","(+/-2,211)"
Sex and Age,45 to 54 years,"89,336","(+/-1,830)"
Sex and Age,55 to 59 years,"44,172","(+/-2,538)"
Sex and Age,60 to 64 years,"48,180","(+/-2,713)"
Sex and Age,65 to 74 years,"80,941","(+/-1,278)"
Sex and Age,75 to 84 years,"41,739","(+/-1,860)"
Sex and Age,85 years and over,"13,694","(+/-1,582)"
Sex and Age,Median age (years),37.8,(+/-0.4)
Sex and Age,18 years and over,"583,705","(+/-2,471)"
Sex and Age,65 years and over,"136,374","(+/-1,352)"
Race,Total population,"774,688","(+/-3,598)"
Race,One race,"715,384","(+/-5,245)"
Race,White,"627,068","(+/-5,164)"
Race,Black or African American,"37,772","(+/-3,137)"
Race,American Indian and Alaska Native,"6,241","(+/-1,910)"
Race,Asian,"23,823","(+/-1,732)"
Race,Native Hawaiian and Other Pacific Islander,913,(+/-642)
Race,Some other race,"19,567","(+/-4,078)"
Race,Two or more races,"59,304","(+/-4,792)"
Hispanic or Latino and Race,Total population,"774,688","(+/-3,598)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"58,719","(+/-1,376)"
Hispanic or Latino and Race,Mexican,"42,468","(+/-3,363)"
Hispanic or Latino and Race,Puerto Rican,"3,227","(+/-1,236)"
Hispanic or Latino and Race,Cuban,573,(+/-384)
Hispanic or Latino and Race,Other Hispanic or Latino,"12,451","(+/-2,733)"
Hispanic or Latino and Race,Not Hispanic or Latino,"715,969","(+/-3,346)"
Place of Birth,Total population,"774,688","(+/-3,598)"
Place of Birth,Native,"732,360","(+/-4,559)"
Place of Birth,Born in United States,"726,660","(+/-4,836)"
Place of Birth,State of residence,"557,023","(+/-7,268)"
Place of Birth,Different state,"169,637","(+/-7,165)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,700","(+/-1,675)"
Place of Birth,Foreign-born,"42,328","(+/-3,640)"
Ancestry,Total population,"774,688","(+/-3,598)"
Ancestry,American,"50,453","(+/-4,615)"
Ancestry,Arab,"2,593","(+/-1,813)"
Ancestry,Czech,"1,246",(+/-669)
Ancestry,Danish,"1,199",(+/-835)
Ancestry,Dutch,"7,433","(+/-1,871)"
Ancestry,English,"83,456","(+/-6,228)"
Ancestry,French (except Basque),"13,601","(+/-2,169)"
Ancestry,French Canadian,799,(+/-401)
Ancestry,German,"196,666","(+/-10,533)"
Ancestry,Greek,626,(+/-442)
Ancestry,Hungarian,"2,734","(+/-1,285)"
Ancestry,Irish,"73,974","(+/-7,898)"
Ancestry,Italian,"14,967","(+/-2,170)"
Ancestry,Lithuanian,434,(+/-368)
Ancestry,Norwegian,"3,131","(+/-1,079)"
Ancestry,Polish,"15,346","(+/-3,378)"
Ancestry,Portuguese,388,(+/-252)
Ancestry,Russian,"2,303","(+/-1,106)"
Ancestry,Scotch-Irish,"4,472","(+/-1,198)"
Ancestry,Scottish,"12,768","(+/-2,892)"
Ancestry,Slovak,"1,594","(+/-1,690)"
Ancestry,Subsaharan African,"3,530","(+/-1,536)"
Ancestry,Swedish,"4,828","(+/-1,369)"
Ancestry,Swiss,"12,377","(+/-2,759)"
Ancestry,Ukrainian,495,(+/-350)
Ancestry,Welsh,"3,232","(+/-1,226)"
Ancestry,West Indian (excluding Hispanic origin groups),"1,895",(+/-940)
Veteran Status,Civilian population 18 years and over,"583,657","(+/-2,466)"
Veteran Status,Civilian veterans,"31,910","(+/-2,776)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"767,535","(+/-3,593)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"110,561","(+/-5,829)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"190,823","(+/-2,338)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"10,463","(+/-1,902)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"445,062","(+/-2,491)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"58,615","(+/-4,421)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"131,650","(+/-1,350)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"41,483","(+/-2,561)"
Residence 1 Year Ago,Population 1 year and over,"765,293","(+/-3,917)"
Residence 1 Year Ago,Same house,"680,579","(+/-8,229)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"84,714","(+/-7,385)"
Residence 1 Year Ago,Different house in the U.S.,"82,205","(+/-7,228)"
Residence 1 Year Ago,Same county,"51,396","(+/-5,697)"
Residence 1 Year Ago,Different county,"30,809","(+/-4,675)"
Residence 1 Year Ago,Same state,"19,492","(+/-3,144)"
Residence 1 Year Ago,Different state,"11,317","(+/-3,004)"
Residence 1 Year Ago,Abroad,"2,509","(+/-1,062)"
