Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"797,329","(+/-2,012)"
Sex and Age,Male,"395,906","(+/-2,344)"
Sex and Age,Female,"401,423","(+/-2,353)"
Sex and Age,Under 5 years,"44,815","(+/-1,409)"
Sex and Age,5 to 9 years,"46,878","(+/-2,451)"
Sex and Age,10 to 14 years,"50,822","(+/-2,453)"
Sex and Age,15 to 19 years,"51,819","(+/-2,284)"
Sex and Age,20 to 24 years,"57,108","(+/-2,645)"
Sex and Age,25 to 34 years,"94,507","(+/-2,238)"
Sex and Age,35 to 44 years,"99,752","(+/-2,643)"
Sex and Age,45 to 54 years,"88,144","(+/-2,093)"
Sex and Age,55 to 59 years,"43,181","(+/-2,464)"
Sex and Age,60 to 64 years,"56,911","(+/-2,363)"
Sex and Age,65 to 74 years,"93,143",(+/-958)
Sex and Age,75 to 84 years,"50,279","(+/-1,441)"
Sex and Age,85 years and over,"19,970","(+/-1,275)"
Sex and Age,Median age (years),40.4,(+/-0.3)
Sex and Age,18 years and over,"623,424","(+/-1,719)"
Sex and Age,65 years and over,"163,392","(+/-1,198)"
Race,Total population,"797,329","(+/-2,012)"
Race,One race,"748,702","(+/-4,943)"
Race,White,"687,532","(+/-3,673)"
Race,Black or African American,"34,500","(+/-3,008)"
Race,American Indian and Alaska Native,"2,070",(+/-708)
Race,Asian,"14,018","(+/-1,207)"
Race,Native Hawaiian and Other Pacific Islander,694,(+/-819)
Race,Some other race,"9,888","(+/-2,281)"
Race,Two or more races,"48,627","(+/-4,575)"
Hispanic or Latino and Race,Total population,"797,329","(+/-2,012)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"34,554",(+/-704)
Hispanic or Latino and Race,Mexican,"22,959","(+/-2,150)"
Hispanic or Latino and Race,Puerto Rican,"2,105",(+/-956)
Hispanic or Latino and Race,Cuban,811,(+/-657)
Hispanic or Latino and Race,Other Hispanic or Latino,"8,679","(+/-2,060)"
Hispanic or Latino and Race,Not Hispanic or Latino,"762,775","(+/-2,063)"
Place of Birth,Total population,"797,329","(+/-2,012)"
Place of Birth,Native,"759,872","(+/-4,869)"
Place of Birth,Born in United States,"753,826","(+/-5,046)"
Place of Birth,State of residence,"587,539","(+/-7,403)"
Place of Birth,Different state,"166,287","(+/-7,619)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,046","(+/-1,759)"
Place of Birth,Foreign-born,"37,457","(+/-4,038)"
Ancestry,Total population,"797,329","(+/-2,012)"
Ancestry,American,"44,484","(+/-4,459)"
Ancestry,Arab,"2,886","(+/-2,339)"
Ancestry,Czech,"20,494","(+/-3,009)"
Ancestry,Danish,"7,238","(+/-1,422)"
Ancestry,Dutch,"13,273","(+/-2,116)"
Ancestry,English,"66,234","(+/-4,960)"
Ancestry,French (except Basque),"12,484","(+/-2,349)"
Ancestry,French Canadian,"1,427",(+/-600)
Ancestry,German,"274,309","(+/-8,103)"
Ancestry,Greek,"1,564","(+/-1,220)"
Ancestry,Hungarian,668,(+/-341)
Ancestry,Irish,"105,789","(+/-5,816)"
Ancestry,Italian,"12,314","(+/-1,794)"
Ancestry,Lithuanian,611,(+/-463)
Ancestry,Norwegian,"42,344","(+/-3,402)"
Ancestry,Polish,"8,057","(+/-1,594)"
Ancestry,Portuguese,454,(+/-218)
Ancestry,Russian,"1,338",(+/-790)
Ancestry,Scotch-Irish,"5,901","(+/-1,798)"
Ancestry,Scottish,"11,482","(+/-1,910)"
Ancestry,Slovak,"1,249",(+/-998)
Ancestry,Subsaharan African,"9,896","(+/-2,988)"
Ancestry,Swedish,"10,786","(+/-1,631)"
Ancestry,Swiss,"5,255","(+/-1,959)"
Ancestry,Ukrainian,585,(+/-348)
Ancestry,Welsh,"2,515",(+/-729)
Ancestry,West Indian (excluding Hispanic origin groups),"1,944","(+/-1,088)"
Veteran Status,Civilian population 18 years and over,"622,766","(+/-1,719)"
Veteran Status,Civilian veterans,"42,147","(+/-2,384)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"786,789","(+/-1,961)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"101,388","(+/-4,302)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"173,351","(+/-1,363)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"6,896","(+/-1,376)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"457,290","(+/-2,113)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"51,114","(+/-3,530)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"156,148","(+/-1,207)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"43,378","(+/-2,725)"
Residence 1 Year Ago,Population 1 year and over,"788,768","(+/-2,209)"
Residence 1 Year Ago,Same house,"703,060","(+/-5,686)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"85,708","(+/-5,569)"
Residence 1 Year Ago,Different house in the U.S.,"83,085","(+/-5,429)"
Residence 1 Year Ago,Same county,"44,151","(+/-4,763)"
Residence 1 Year Ago,Different county,"38,934","(+/-4,325)"
Residence 1 Year Ago,Same state,"25,813","(+/-3,451)"
Residence 1 Year Ago,Different state,"13,121","(+/-2,447)"
Residence 1 Year Ago,Abroad,"2,623","(+/-1,290)"
