Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"731,386","(+/-2,799)"
Sex and Age,Male,"372,073","(+/-3,026)"
Sex and Age,Female,"359,313","(+/-3,541)"
Sex and Age,Under 5 years,"39,956","(+/-1,391)"
Sex and Age,5 to 9 years,"44,979","(+/-3,016)"
Sex and Age,10 to 14 years,"46,183","(+/-2,961)"
Sex and Age,15 to 19 years,"60,621","(+/-3,633)"
Sex and Age,20 to 24 years,"66,294","(+/-3,394)"
Sex and Age,25 to 34 years,"95,722","(+/-3,665)"
Sex and Age,35 to 44 years,"92,956","(+/-2,904)"
Sex and Age,45 to 54 years,"70,878","(+/-2,498)"
Sex and Age,55 to 59 years,"36,440","(+/-2,332)"
Sex and Age,60 to 64 years,"46,289","(+/-2,086)"
Sex and Age,65 to 74 years,"75,835","(+/-1,448)"
Sex and Age,75 to 84 years,"39,754","(+/-1,920)"
Sex and Age,85 years and over,"15,479","(+/-1,696)"
Sex and Age,Median age (years),36.5,(+/-0.3)
Sex and Age,18 years and over,"569,887","(+/-2,871)"
Sex and Age,65 years and over,"131,068","(+/-2,107)"
Race,Total population,"731,386","(+/-2,799)"
Race,One race,"642,295","(+/-6,350)"
Race,White,"569,373","(+/-5,719)"
Race,Black or African American,"18,282","(+/-2,273)"
Race,American Indian and Alaska Native,"6,813","(+/-1,529)"
Race,Asian,"14,249","(+/-1,725)"
Race,Native Hawaiian and Other Pacific Islander,487,(+/-496)
Race,Some other race,"33,091","(+/-5,361)"
Race,Two or more races,"89,091","(+/-6,177)"
Hispanic or Latino and Race,Total population,"731,386","(+/-2,799)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"122,641","(+/-1,583)"
Hispanic or Latino and Race,Mexican,"95,900","(+/-5,880)"
Hispanic or Latino and Race,Puerto Rican,"2,413",(+/-864)
Hispanic or Latino and Race,Cuban,"1,579","(+/-1,048)"
Hispanic or Latino and Race,Other Hispanic or Latino,"22,749","(+/-5,622)"
Hispanic or Latino and Race,Not Hispanic or Latino,"608,745","(+/-3,120)"
Place of Birth,Total population,"731,386","(+/-2,799)"
Place of Birth,Native,"673,301","(+/-5,274)"
Place of Birth,Born in United States,"667,060","(+/-5,356)"
Place of Birth,State of residence,"456,883","(+/-8,673)"
Place of Birth,Different state,"210,177","(+/-7,782)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,241","(+/-1,493)"
Place of Birth,Foreign-born,"58,085","(+/-4,395)"
Ancestry,Total population,"731,386","(+/-2,799)"
Ancestry,American,"38,091","(+/-3,677)"
Ancestry,Arab,"1,139",(+/-928)
Ancestry,Czech,"7,815","(+/-1,863)"
Ancestry,Danish,"2,919",(+/-794)
Ancestry,Dutch,"8,188","(+/-1,502)"
Ancestry,English,"67,604","(+/-4,947)"
Ancestry,French (except Basque),"15,928","(+/-2,767)"
Ancestry,French Canadian,"2,814",(+/-874)
Ancestry,German,"195,377","(+/-6,927)"
Ancestry,Greek,"1,425",(+/-741)
Ancestry,Hungarian,691,(+/-396)
Ancestry,Irish,"79,082","(+/-5,010)"
Ancestry,Italian,"10,939","(+/-2,071)"
Ancestry,Lithuanian,70,(+/-95)
Ancestry,Norwegian,"5,772","(+/-1,370)"
Ancestry,Polish,"7,846","(+/-1,743)"
Ancestry,Portuguese,665,(+/-452)
Ancestry,Russian,"5,537","(+/-1,433)"
Ancestry,Scotch-Irish,"3,480",(+/-906)
Ancestry,Scottish,"14,270","(+/-2,392)"
Ancestry,Slovak,589,(+/-449)
Ancestry,Subsaharan African,"1,785",(+/-977)
Ancestry,Swedish,"16,119","(+/-2,839)"
Ancestry,Swiss,"3,691","(+/-1,073)"
Ancestry,Ukrainian,248,(+/-279)
Ancestry,Welsh,"3,373","(+/-1,090)"
Ancestry,West Indian (excluding Hispanic origin groups),511,(+/-450)
Veteran Status,Civilian population 18 years and over,"561,643","(+/-3,099)"
Veteran Status,Civilian veterans,"35,146","(+/-2,792)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"710,183","(+/-3,177)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"97,379","(+/-5,041)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"161,415","(+/-2,655)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"8,352","(+/-1,782)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"423,246","(+/-3,155)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"46,715","(+/-3,777)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"125,522","(+/-2,104)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"42,312","(+/-2,599)"
Residence 1 Year Ago,Population 1 year and over,"724,160","(+/-2,835)"
Residence 1 Year Ago,Same house,"617,725","(+/-5,677)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"106,435","(+/-5,507)"
Residence 1 Year Ago,Different house in the U.S.,"101,019","(+/-5,560)"
Residence 1 Year Ago,Same county,"51,861","(+/-5,325)"
Residence 1 Year Ago,Different county,"49,158","(+/-3,488)"
Residence 1 Year Ago,Same state,"29,847","(+/-3,464)"
Residence 1 Year Ago,Different state,"19,311","(+/-2,858)"
Residence 1 Year Ago,Abroad,"5,416","(+/-2,132)"
