Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"707,732","(+/-4,275)"
Sex and Age,Male,"349,905","(+/-2,878)"
Sex and Age,Female,"357,827","(+/-2,399)"
Sex and Age,Under 5 years,"28,848","(+/-1,113)"
Sex and Age,5 to 9 years,"37,460","(+/-2,584)"
Sex and Age,10 to 14 years,"33,478","(+/-2,592)"
Sex and Age,15 to 19 years,"38,627","(+/-1,569)"
Sex and Age,20 to 24 years,"37,470","(+/-1,774)"
Sex and Age,25 to 34 years,"89,974","(+/-2,554)"
Sex and Age,35 to 44 years,"93,880","(+/-2,180)"
Sex and Age,45 to 54 years,"81,442","(+/-1,796)"
Sex and Age,55 to 59 years,"45,907","(+/-3,224)"
Sex and Age,60 to 64 years,"55,889","(+/-3,135)"
Sex and Age,65 to 74 years,"95,661","(+/-1,445)"
Sex and Age,75 to 84 years,"51,767","(+/-2,218)"
Sex and Age,85 years and over,"17,329","(+/-2,040)"
Sex and Age,Median age (years),44.3,(+/-0.3)
Sex and Age,18 years and over,"586,040","(+/-3,318)"
Sex and Age,65 years and over,"164,757","(+/-1,890)"
Race,Total population,"707,732","(+/-4,275)"
Race,One race,"661,144","(+/-7,350)"
Race,White,"626,345","(+/-6,487)"
Race,Black or African American,"15,455","(+/-2,584)"
Race,American Indian and Alaska Native,"1,117",(+/-641)
Race,Asian,"12,107","(+/-1,293)"
Race,Native Hawaiian and Other Pacific Islander,216,(+/-225)
Race,Some other race,"5,904","(+/-1,826)"
Race,Two or more races,"46,588","(+/-5,305)"
Hispanic or Latino and Race,Total population,"707,732","(+/-4,275)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"18,367",(+/-770)
Hispanic or Latino and Race,Mexican,"3,572","(+/-1,370)"
Hispanic or Latino and Race,Puerto Rican,"3,729","(+/-1,177)"
Hispanic or Latino and Race,Cuban,"1,172",(+/-649)
Hispanic or Latino and Race,Other Hispanic or Latino,"9,894","(+/-2,054)"
Hispanic or Latino and Race,Not Hispanic or Latino,"689,365","(+/-4,135)"
Place of Birth,Total population,"707,732","(+/-4,275)"
Place of Birth,Native,"668,783","(+/-5,268)"
Place of Birth,Born in United States,"661,188","(+/-5,415)"
Place of Birth,State of residence,"361,515","(+/-9,218)"
Place of Birth,Different state,"299,673","(+/-8,323)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","7,595","(+/-1,454)"
Place of Birth,Foreign-born,"38,949","(+/-3,885)"
Ancestry,Total population,"707,732","(+/-4,275)"
Ancestry,American,"36,674","(+/-4,190)"
Ancestry,Arab,"4,765","(+/-2,161)"
Ancestry,Czech,"1,130",(+/-582)
Ancestry,Danish,"3,930","(+/-1,019)"
Ancestry,Dutch,"6,711","(+/-1,652)"
Ancestry,English,"145,297","(+/-6,756)"
Ancestry,French (except Basque),"66,664","(+/-5,669)"
Ancestry,French Canadian,"41,110","(+/-3,602)"
Ancestry,German,"62,972","(+/-5,162)"
Ancestry,Greek,"4,261","(+/-1,325)"
Ancestry,Hungarian,"2,800","(+/-1,077)"
Ancestry,Irish,"135,798","(+/-7,523)"
Ancestry,Italian,"48,280","(+/-5,085)"
Ancestry,Lithuanian,"2,791",(+/-922)
Ancestry,Norwegian,"6,931","(+/-1,435)"
Ancestry,Polish,"22,121","(+/-3,277)"
Ancestry,Portuguese,"5,572","(+/-1,560)"
Ancestry,Russian,"3,794",(+/-962)
Ancestry,Scotch-Irish,"9,321","(+/-2,158)"
Ancestry,Scottish,"38,012","(+/-4,169)"
Ancestry,Slovak,"1,465",(+/-626)
Ancestry,Subsaharan African,"8,216","(+/-2,607)"
Ancestry,Swedish,"12,911","(+/-2,389)"
Ancestry,Swiss,679,(+/-308)
Ancestry,Ukrainian,"2,301",(+/-815)
Ancestry,Welsh,"4,537","(+/-1,302)"
Ancestry,West Indian (excluding Hispanic origin groups),"1,509",(+/-787)
Veteran Status,Civilian population 18 years and over,"583,922","(+/-3,514)"
Veteran Status,Civilian veterans,"39,563","(+/-2,909)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"698,453","(+/-4,473)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"102,383","(+/-5,648)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"121,592","(+/-1,993)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"8,406","(+/-1,857)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"416,046","(+/-3,168)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"47,341","(+/-4,358)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"160,815","(+/-1,882)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"46,636","(+/-2,627)"
Residence 1 Year Ago,Population 1 year and over,"703,020","(+/-4,156)"
Residence 1 Year Ago,Same house,"629,376","(+/-7,506)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"73,644","(+/-6,391)"
Residence 1 Year Ago,Different house in the U.S.,"68,461","(+/-6,247)"
Residence 1 Year Ago,Same county,"32,975","(+/-4,483)"
Residence 1 Year Ago,Different county,"35,486","(+/-4,647)"
Residence 1 Year Ago,Same state,"15,317","(+/-3,296)"
Residence 1 Year Ago,Different state,"20,169","(+/-2,965)"
Residence 1 Year Ago,Abroad,"5,183","(+/-2,692)"
