Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"741,484","(+/-12,144)"
Sex and Age,Male,"345,641","(+/-6,353)"
Sex and Age,Female,"395,843","(+/-7,768)"
Sex and Age,Under 5 years,"44,366","(+/-2,523)"
Sex and Age,5 to 9 years,"40,433","(+/-4,208)"
Sex and Age,10 to 14 years,"42,463","(+/-3,979)"
Sex and Age,15 to 19 years,"46,510","(+/-3,133)"
Sex and Age,20 to 24 years,"46,995","(+/-2,952)"
Sex and Age,25 to 34 years,"125,158","(+/-4,269)"
Sex and Age,35 to 44 years,"108,887","(+/-3,681)"
Sex and Age,45 to 54 years,"79,573","(+/-3,287)"
Sex and Age,55 to 59 years,"41,493","(+/-3,189)"
Sex and Age,60 to 64 years,"47,797","(+/-3,433)"
Sex and Age,65 to 74 years,"70,660","(+/-2,602)"
Sex and Age,75 to 84 years,"35,512","(+/-2,099)"
Sex and Age,85 years and over,"11,637","(+/-1,647)"
Sex and Age,Median age (years),37.0,(+/-0.4)
Sex and Age,18 years and over,"587,692","(+/-8,380)"
Sex and Age,65 years and over,"117,809","(+/-3,266)"
Race,Total population,"741,484","(+/-12,144)"
Race,One race,"687,622","(+/-11,382)"
Race,White,"225,062","(+/-7,644)"
Race,Black or African American,"390,025","(+/-8,267)"
Race,American Indian and Alaska Native,"5,668","(+/-2,138)"
Race,Asian,"26,509","(+/-4,683)"
Race,Native Hawaiian and Other Pacific Islander,873,"(+/-1,308)"
Race,Some other race,"39,485","(+/-7,061)"
Race,Two or more races,"53,862","(+/-6,980)"
Hispanic or Latino and Race,Total population,"741,484","(+/-12,144)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"74,087","(+/-5,923)"
Hispanic or Latino and Race,Mexican,"23,806","(+/-6,753)"
Hispanic or Latino and Race,Puerto Rican,"6,762","(+/-2,072)"
Hispanic or Latino and Race,Cuban,"1,510",(+/-831)
Hispanic or Latino and Race,Other Hispanic or Latino,"42,009","(+/-7,066)"
Hispanic or Latino and Race,Not Hispanic or Latino,"667,397","(+/-10,943)"
Place of Birth,Total population,"741,484","(+/-12,144)"
Place of Birth,Native,"655,227","(+/-11,574)"
Place of Birth,Born in United States,"639,562","(+/-11,343)"
Place of Birth,State of residence,"472,946","(+/-12,353)"
Place of Birth,Different state,"166,616","(+/-8,018)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","15,665","(+/-3,294)"
Place of Birth,Foreign-born,"86,257","(+/-9,087)"
Ancestry,Total population,"741,484","(+/-12,144)"
Ancestry,American,"21,614","(+/-3,586)"
Ancestry,Arab,"5,093","(+/-2,194)"
Ancestry,Czech,"2,364","(+/-1,253)"
Ancestry,Danish,347,(+/-252)
Ancestry,Dutch,"2,333","(+/-1,000)"
Ancestry,English,"32,548","(+/-3,836)"
Ancestry,French (except Basque),"5,267","(+/-1,661)"
Ancestry,French Canadian,"1,201",(+/-750)
Ancestry,German,"53,178","(+/-5,191)"
Ancestry,Greek,"2,402","(+/-1,171)"
Ancestry,Hungarian,"1,845",(+/-729)
Ancestry,Irish,"49,188","(+/-4,739)"
Ancestry,Italian,"23,092","(+/-3,102)"
Ancestry,Lithuanian,"1,604",(+/-757)
Ancestry,Norwegian,"1,755",(+/-649)
Ancestry,Polish,"16,391","(+/-2,597)"
Ancestry,Portuguese,"1,020",(+/-489)
Ancestry,Russian,"4,330","(+/-1,218)"
Ancestry,Scotch-Irish,"1,799",(+/-589)
Ancestry,Scottish,"6,865","(+/-1,671)"
Ancestry,Slovak,810,(+/-358)
Ancestry,Subsaharan African,"30,603","(+/-7,163)"
Ancestry,Swedish,"2,990","(+/-1,110)"
Ancestry,Swiss,834,(+/-432)
Ancestry,Ukrainian,"1,570",(+/-854)
Ancestry,Welsh,"2,747",(+/-970)
Ancestry,West Indian (excluding Hispanic origin groups),"15,309","(+/-3,459)"
Veteran Status,Civilian population 18 years and over,"587,283","(+/-8,413)"
Veteran Status,Civilian veterans,"32,229","(+/-3,130)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"734,272","(+/-12,112)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"122,802","(+/-7,989)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"153,635","(+/-5,638)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"10,069","(+/-2,207)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"465,709","(+/-7,965)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"69,579","(+/-5,287)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"114,928","(+/-3,311)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"43,154","(+/-3,886)"
Residence 1 Year Ago,Population 1 year and over,"735,264","(+/-11,977)"
Residence 1 Year Ago,Same house,"639,931","(+/-14,305)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"95,333","(+/-8,907)"
Residence 1 Year Ago,Different house in the U.S.,"90,521","(+/-8,744)"
Residence 1 Year Ago,Same county,"49,658","(+/-5,882)"
Residence 1 Year Ago,Different county,"40,863","(+/-6,938)"
Residence 1 Year Ago,Same state,"26,121","(+/-5,675)"
Residence 1 Year Ago,Different state,"14,742","(+/-3,363)"
Residence 1 Year Ago,Abroad,"4,812","(+/-1,810)"
