Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"796,651","(+/-5,960)"
Sex and Age,Male,"386,822","(+/-5,334)"
Sex and Age,Female,"409,829","(+/-5,121)"
Sex and Age,Under 5 years,"40,988","(+/-2,655)"
Sex and Age,5 to 9 years,"42,216","(+/-3,386)"
Sex and Age,10 to 14 years,"46,522","(+/-3,684)"
Sex and Age,15 to 19 years,"48,231","(+/-2,667)"
Sex and Age,20 to 24 years,"48,879","(+/-3,298)"
Sex and Age,25 to 34 years,"91,096","(+/-3,863)"
Sex and Age,35 to 44 years,"107,042","(+/-3,726)"
Sex and Age,45 to 54 years,"94,264","(+/-3,630)"
Sex and Age,55 to 59 years,"57,290","(+/-3,928)"
Sex and Age,60 to 64 years,"56,411","(+/-3,705)"
Sex and Age,65 to 74 years,"93,550","(+/-3,239)"
Sex and Age,75 to 84 years,"51,929","(+/-2,868)"
Sex and Age,85 years and over,"18,233","(+/-2,281)"
Sex and Age,Median age (years),42.2,(+/-0.7)
Sex and Age,18 years and over,"637,753","(+/-6,778)"
Sex and Age,65 years and over,"163,712","(+/-4,893)"
Race,Total population,"796,651","(+/-5,960)"
Race,One race,"711,932","(+/-9,666)"
Race,White,"598,614","(+/-9,317)"
Race,Black or African American,"27,572","(+/-4,614)"
Race,American Indian and Alaska Native,"4,284","(+/-3,852)"
Race,Asian,"40,255","(+/-3,179)"
Race,Native Hawaiian and Other Pacific Islander,5,(+/-15)
Race,Some other race,"41,202","(+/-7,075)"
Race,Two or more races,"84,719","(+/-8,145)"
Hispanic or Latino and Race,Total population,"796,651","(+/-5,960)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"108,780","(+/-6,546)"
Hispanic or Latino and Race,Mexican,"4,810","(+/-1,552)"
Hispanic or Latino and Race,Puerto Rican,"13,181","(+/-4,031)"
Hispanic or Latino and Race,Cuban,"1,848","(+/-1,024)"
Hispanic or Latino and Race,Other Hispanic or Latino,"88,941","(+/-6,883)"
Hispanic or Latino and Race,Not Hispanic or Latino,"687,871","(+/-9,356)"
Place of Birth,Total population,"796,651","(+/-5,960)"
Place of Birth,Native,"670,132","(+/-10,359)"
Place of Birth,Born in United States,"657,573","(+/-9,808)"
Place of Birth,State of residence,"519,429","(+/-11,803)"
Place of Birth,Different state,"138,144","(+/-7,292)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","12,559","(+/-2,634)"
Place of Birth,Foreign-born,"126,519","(+/-9,161)"
Ancestry,Total population,"796,651","(+/-5,960)"
Ancestry,American,"25,243","(+/-3,858)"
Ancestry,Arab,"6,781","(+/-1,967)"
Ancestry,Czech,"1,365",(+/-823)
Ancestry,Danish,"1,395",(+/-604)
Ancestry,Dutch,"2,278",(+/-898)
Ancestry,English,"84,908","(+/-5,628)"
Ancestry,French (except Basque),"30,254","(+/-4,159)"
Ancestry,French Canadian,"26,637","(+/-3,828)"
Ancestry,German,"43,027","(+/-3,998)"
Ancestry,Greek,"11,882","(+/-2,329)"
Ancestry,Hungarian,904,(+/-591)
Ancestry,Irish,"192,114","(+/-10,205)"
Ancestry,Italian,"119,554","(+/-7,603)"
Ancestry,Lithuanian,"5,496","(+/-1,657)"
Ancestry,Norwegian,"4,619","(+/-1,430)"
Ancestry,Polish,"28,241","(+/-3,472)"
Ancestry,Portuguese,"18,200","(+/-3,734)"
Ancestry,Russian,"11,521","(+/-3,385)"
Ancestry,Scotch-Irish,"4,906","(+/-1,424)"
Ancestry,Scottish,"23,038","(+/-3,190)"
Ancestry,Slovak,765,(+/-458)
Ancestry,Subsaharan African,"9,560","(+/-2,858)"
Ancestry,Swedish,"14,362","(+/-3,198)"
Ancestry,Swiss,"1,701","(+/-1,023)"
Ancestry,Ukrainian,"3,059","(+/-1,230)"
Ancestry,Welsh,"2,536",(+/-924)
Ancestry,West Indian (excluding Hispanic origin groups),"8,755","(+/-2,613)"
Veteran Status,Civilian population 18 years and over,"637,494","(+/-6,766)"
Veteran Status,Civilian veterans,"28,668","(+/-3,026)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"790,933","(+/-5,965)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"87,318","(+/-5,590)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"158,796","(+/-5,551)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"6,002","(+/-1,509)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"472,242","(+/-6,497)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"40,304","(+/-4,122)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"159,895","(+/-4,909)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"41,012","(+/-3,281)"
Residence 1 Year Ago,Population 1 year and over,"789,253","(+/-6,205)"
Residence 1 Year Ago,Same house,"712,797","(+/-9,300)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"76,456","(+/-7,445)"
Residence 1 Year Ago,Different house in the U.S.,"72,276","(+/-7,320)"
Residence 1 Year Ago,Same county,"41,813","(+/-5,838)"
Residence 1 Year Ago,Different county,"30,463","(+/-4,323)"
Residence 1 Year Ago,Same state,"18,995","(+/-3,930)"
Residence 1 Year Ago,Different state,"11,468","(+/-2,633)"
Residence 1 Year Ago,Abroad,"4,180","(+/-1,903)"
