Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"792,585","(+/-4,557)"
Sex and Age,Male,"392,180","(+/-2,866)"
Sex and Age,Female,"400,405","(+/-3,285)"
Sex and Age,Under 5 years,"38,225","(+/-1,563)"
Sex and Age,5 to 9 years,"43,258","(+/-2,608)"
Sex and Age,10 to 14 years,"45,748","(+/-3,277)"
Sex and Age,15 to 19 years,"56,975","(+/-2,145)"
Sex and Age,20 to 24 years,"69,104","(+/-2,309)"
Sex and Age,25 to 34 years,"99,747","(+/-3,184)"
Sex and Age,35 to 44 years,"95,815","(+/-2,323)"
Sex and Age,45 to 54 years,"94,100","(+/-2,678)"
Sex and Age,55 to 59 years,"52,634","(+/-2,504)"
Sex and Age,60 to 64 years,"50,391","(+/-2,595)"
Sex and Age,65 to 74 years,"87,270","(+/-1,869)"
Sex and Age,75 to 84 years,"45,555","(+/-1,717)"
Sex and Age,85 years and over,"13,763","(+/-1,439)"
Sex and Age,Median age (years),39.2,(+/-0.4)
Sex and Age,18 years and over,"635,893","(+/-3,765)"
Sex and Age,65 years and over,"146,588","(+/-2,063)"
Race,Total population,"792,585","(+/-4,557)"
Race,One race,"735,278","(+/-7,599)"
Race,White,"638,913","(+/-6,307)"
Race,Black or African American,"44,829","(+/-3,681)"
Race,American Indian and Alaska Native,"4,995","(+/-3,195)"
Race,Asian,"30,073","(+/-3,370)"
Race,Native Hawaiian and Other Pacific Islander,800,(+/-873)
Race,Some other race,"15,668","(+/-3,232)"
Race,Two or more races,"57,307","(+/-5,964)"
Hispanic or Latino and Race,Total population,"792,585","(+/-4,557)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"47,167","(+/-1,200)"
Hispanic or Latino and Race,Mexican,"29,199","(+/-3,510)"
Hispanic or Latino and Race,Puerto Rican,"4,201","(+/-1,431)"
Hispanic or Latino and Race,Cuban,"5,282","(+/-3,076)"
Hispanic or Latino and Race,Other Hispanic or Latino,"8,485","(+/-2,109)"
Hispanic or Latino and Race,Not Hispanic or Latino,"745,418","(+/-4,756)"
Place of Birth,Total population,"792,585","(+/-4,557)"
Place of Birth,Native,"742,039","(+/-6,885)"
Place of Birth,Born in United States,"735,174","(+/-7,062)"
Place of Birth,State of residence,"608,282","(+/-7,733)"
Place of Birth,Different state,"126,892","(+/-6,788)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,865","(+/-2,035)"
Place of Birth,Foreign-born,"50,546","(+/-5,051)"
Ancestry,Total population,"792,585","(+/-4,557)"
Ancestry,American,"36,900","(+/-4,969)"
Ancestry,Arab,"7,693","(+/-2,440)"
Ancestry,Czech,"3,784",(+/-840)
Ancestry,Danish,"2,859",(+/-930)
Ancestry,Dutch,"17,896","(+/-3,199)"
Ancestry,English,"106,533","(+/-5,993)"
Ancestry,French (except Basque),"20,834","(+/-3,145)"
Ancestry,French Canadian,"8,603","(+/-2,067)"
Ancestry,German,"157,927","(+/-7,178)"
Ancestry,Greek,"3,737","(+/-1,135)"
Ancestry,Hungarian,"6,800","(+/-1,415)"
Ancestry,Irish,"103,451","(+/-6,268)"
Ancestry,Italian,"36,014","(+/-3,234)"
Ancestry,Lithuanian,"1,629",(+/-679)
Ancestry,Norwegian,"6,620","(+/-1,785)"
Ancestry,Polish,"57,657","(+/-4,344)"
Ancestry,Portuguese,441,(+/-364)
Ancestry,Russian,"4,131","(+/-1,248)"
Ancestry,Scotch-Irish,"6,225","(+/-1,226)"
Ancestry,Scottish,"23,161","(+/-2,505)"
Ancestry,Slovak,"1,814",(+/-773)
Ancestry,Subsaharan African,"5,960","(+/-2,155)"
Ancestry,Swedish,"7,631","(+/-1,364)"
Ancestry,Swiss,"2,506",(+/-906)
Ancestry,Ukrainian,"2,331",(+/-736)
Ancestry,Welsh,"4,370","(+/-1,207)"
Ancestry,West Indian (excluding Hispanic origin groups),"3,948","(+/-2,453)"
Veteran Status,Civilian population 18 years and over,"635,108","(+/-3,836)"
Veteran Status,Civilian veterans,"32,964","(+/-2,296)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"786,820","(+/-4,602)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"103,467","(+/-4,779)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"156,496","(+/-2,193)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"6,554","(+/-1,316)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"486,404","(+/-4,151)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"54,699","(+/-3,787)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"143,920","(+/-2,064)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"42,214","(+/-2,630)"
Residence 1 Year Ago,Population 1 year and over,"785,920","(+/-4,755)"
Residence 1 Year Ago,Same house,"698,303","(+/-7,576)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"87,617","(+/-6,691)"
Residence 1 Year Ago,Different house in the U.S.,"85,317","(+/-6,719)"
Residence 1 Year Ago,Same county,"36,630","(+/-4,805)"
Residence 1 Year Ago,Different county,"48,687","(+/-5,129)"
Residence 1 Year Ago,Same state,"34,703","(+/-3,674)"
Residence 1 Year Ago,Different state,"13,984","(+/-3,474)"
Residence 1 Year Ago,Abroad,"2,300","(+/-1,038)"
