Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"755,084","(+/-5,713)"
Sex and Age,Male,"382,006","(+/-3,766)"
Sex and Age,Female,"373,078","(+/-4,367)"
Sex and Age,Under 5 years,"42,426","(+/-2,026)"
Sex and Age,5 to 9 years,"50,665","(+/-2,943)"
Sex and Age,10 to 14 years,"53,727","(+/-3,188)"
Sex and Age,15 to 19 years,"58,406","(+/-2,455)"
Sex and Age,20 to 24 years,"44,543","(+/-2,708)"
Sex and Age,25 to 34 years,"89,309","(+/-3,716)"
Sex and Age,35 to 44 years,"110,238","(+/-3,103)"
Sex and Age,45 to 54 years,"95,445","(+/-2,753)"
Sex and Age,55 to 59 years,"47,941","(+/-2,871)"
Sex and Age,60 to 64 years,"46,201","(+/-2,728)"
Sex and Age,65 to 74 years,"71,840","(+/-1,888)"
Sex and Age,75 to 84 years,"33,693","(+/-1,902)"
Sex and Age,85 years and over,"10,650","(+/-1,330)"
Sex and Age,Median age (years),38.6,(+/-0.4)
Sex and Age,18 years and over,"572,419","(+/-4,922)"
Sex and Age,65 years and over,"116,183","(+/-2,595)"
Race,Total population,"755,084","(+/-5,713)"
Race,One race,"712,530","(+/-7,516)"
Race,White,"625,265","(+/-6,065)"
Race,Black or African American,"44,059","(+/-3,593)"
Race,American Indian and Alaska Native,"3,329","(+/-1,325)"
Race,Asian,"27,516","(+/-2,781)"
Race,Native Hawaiian and Other Pacific Islander,571,(+/-614)
Race,Some other race,"11,790","(+/-2,773)"
Race,Two or more races,"42,554","(+/-4,738)"
Hispanic or Latino and Race,Total population,"755,084","(+/-5,713)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"31,978","(+/-2,245)"
Hispanic or Latino and Race,Mexican,"14,883","(+/-2,977)"
Hispanic or Latino and Race,Puerto Rican,"2,853","(+/-1,400)"
Hispanic or Latino and Race,Cuban,665,(+/-491)
Hispanic or Latino and Race,Other Hispanic or Latino,"13,577","(+/-2,708)"
Hispanic or Latino and Race,Not Hispanic or Latino,"723,106","(+/-5,877)"
Place of Birth,Total population,"755,084","(+/-5,713)"
Place of Birth,Native,"700,332","(+/-6,792)"
Place of Birth,Born in United States,"694,119","(+/-7,061)"
Place of Birth,State of residence,"565,124","(+/-9,675)"
Place of Birth,Different state,"128,995","(+/-7,143)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,213","(+/-1,889)"
Place of Birth,Foreign-born,"54,752","(+/-4,556)"
Ancestry,Total population,"755,084","(+/-5,713)"
Ancestry,American,"31,701","(+/-4,345)"
Ancestry,Arab,"6,874","(+/-3,000)"
Ancestry,Czech,"7,924","(+/-1,775)"
Ancestry,Danish,"5,419","(+/-1,420)"
Ancestry,Dutch,"12,075","(+/-2,959)"
Ancestry,English,"43,583","(+/-4,874)"
Ancestry,French (except Basque),"20,191","(+/-3,141)"
Ancestry,French Canadian,"6,204","(+/-1,687)"
Ancestry,German,"231,318","(+/-8,978)"
Ancestry,Greek,"1,653","(+/-1,122)"
Ancestry,Hungarian,"1,617","(+/-1,028)"
Ancestry,Irish,"71,708","(+/-6,450)"
Ancestry,Italian,"15,307","(+/-2,865)"
Ancestry,Lithuanian,264,(+/-223)
Ancestry,Norwegian,"73,676","(+/-5,019)"
Ancestry,Polish,"35,703","(+/-3,043)"
Ancestry,Portuguese,353,(+/-294)
Ancestry,Russian,"3,091","(+/-1,306)"
Ancestry,Scotch-Irish,"2,901","(+/-1,041)"
Ancestry,Scottish,"8,347","(+/-1,633)"
Ancestry,Slovak,"1,190",(+/-477)
Ancestry,Subsaharan African,"20,581","(+/-3,833)"
Ancestry,Swedish,"49,388","(+/-4,991)"
Ancestry,Swiss,"1,765",(+/-873)
Ancestry,Ukrainian,"2,751","(+/-1,847)"
Ancestry,Welsh,"2,607","(+/-1,148)"
Ancestry,West Indian (excluding Hispanic origin groups),700,(+/-631)
Veteran Status,Civilian population 18 years and over,"571,728","(+/-4,854)"
Veteran Status,Civilian veterans,"31,184","(+/-2,443)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"748,984","(+/-5,659)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"82,530","(+/-4,096)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"182,420","(+/-3,266)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"10,414","(+/-1,830)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"452,506","(+/-4,801)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"37,647","(+/-3,328)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"114,058","(+/-2,664)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"34,469","(+/-2,165)"
Residence 1 Year Ago,Population 1 year and over,"747,411","(+/-5,795)"
Residence 1 Year Ago,Same house,"674,391","(+/-8,725)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"73,020","(+/-7,190)"
Residence 1 Year Ago,Different house in the U.S.,"71,291","(+/-7,088)"
Residence 1 Year Ago,Same county,"23,029","(+/-3,878)"
Residence 1 Year Ago,Different county,"48,262","(+/-5,942)"
Residence 1 Year Ago,Same state,"35,312","(+/-4,489)"
Residence 1 Year Ago,Different state,"12,950","(+/-3,457)"
Residence 1 Year Ago,Abroad,"1,729",(+/-842)
