Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"803,037","(+/-4,008)"
Sex and Age,Male,"395,547","(+/-2,935)"
Sex and Age,Female,"407,490","(+/-3,150)"
Sex and Age,Under 5 years,"44,619","(+/-1,594)"
Sex and Age,5 to 9 years,"50,426","(+/-2,776)"
Sex and Age,10 to 14 years,"49,384","(+/-3,043)"
Sex and Age,15 to 19 years,"54,550","(+/-2,305)"
Sex and Age,20 to 24 years,"63,649","(+/-2,247)"
Sex and Age,25 to 34 years,"103,049","(+/-2,634)"
Sex and Age,35 to 44 years,"100,765","(+/-2,149)"
Sex and Age,45 to 54 years,"89,523","(+/-1,940)"
Sex and Age,55 to 59 years,"44,253","(+/-2,945)"
Sex and Age,60 to 64 years,"51,593","(+/-3,124)"
Sex and Age,65 to 74 years,"86,803","(+/-1,191)"
Sex and Age,75 to 84 years,"49,763","(+/-1,953)"
Sex and Age,85 years and over,"14,660","(+/-1,618)"
Sex and Age,Median age (years),38.3,(+/-0.5)
Sex and Age,18 years and over,"624,843","(+/-2,517)"
Sex and Age,65 years and over,"151,226","(+/-1,652)"
Race,Total population,"803,037","(+/-4,008)"
Race,One race,"741,676","(+/-6,144)"
Race,White,"686,687","(+/-5,334)"
Race,Black or African American,"15,684","(+/-2,509)"
Race,American Indian and Alaska Native,"6,579","(+/-1,344)"
Race,Asian,"11,154","(+/-1,353)"
Race,Native Hawaiian and Other Pacific Islander,"1,720",(+/-449)
Race,Some other race,"19,852","(+/-3,882)"
Race,Two or more races,"61,361","(+/-5,390)"
Hispanic or Latino and Race,Total population,"803,037","(+/-4,008)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"54,833",(+/-747)
Hispanic or Latino and Race,Mexican,"34,962","(+/-3,100)"
Hispanic or Latino and Race,Puerto Rican,"5,389","(+/-1,895)"
Hispanic or Latino and Race,Cuban,291,(+/-361)
Hispanic or Latino and Race,Other Hispanic or Latino,"14,191","(+/-3,224)"
Hispanic or Latino and Race,Not Hispanic or Latino,"748,204","(+/-4,039)"
Place of Birth,Total population,"803,037","(+/-4,008)"
Place of Birth,Native,"772,395","(+/-4,925)"
Place of Birth,Born in United States,"763,642","(+/-5,093)"
Place of Birth,State of residence,"461,597","(+/-9,683)"
Place of Birth,Different state,"302,045","(+/-8,869)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","8,753","(+/-1,788)"
Place of Birth,Foreign-born,"30,642","(+/-3,111)"
Ancestry,Total population,"803,037","(+/-4,008)"
Ancestry,American,"54,597","(+/-5,533)"
Ancestry,Arab,"1,363",(+/-479)
Ancestry,Czech,"1,696",(+/-632)
Ancestry,Danish,"1,190",(+/-601)
Ancestry,Dutch,"7,777","(+/-1,602)"
Ancestry,English,"114,794","(+/-7,157)"
Ancestry,French (except Basque),"14,345","(+/-2,966)"
Ancestry,French Canadian,"2,772","(+/-1,043)"
Ancestry,German,"142,251","(+/-8,701)"
Ancestry,Greek,"1,492","(+/-1,043)"
Ancestry,Hungarian,"1,139",(+/-677)
Ancestry,Irish,"88,708","(+/-6,630)"
Ancestry,Italian,"16,300","(+/-2,230)"
Ancestry,Lithuanian,283,(+/-204)
Ancestry,Norwegian,"6,798","(+/-1,720)"
Ancestry,Polish,"10,644","(+/-1,931)"
Ancestry,Portuguese,764,(+/-520)
Ancestry,Russian,"3,098","(+/-1,320)"
Ancestry,Scotch-Irish,"8,691","(+/-2,063)"
Ancestry,Scottish,"22,121","(+/-3,394)"
Ancestry,Slovak,164,(+/-168)
Ancestry,Subsaharan African,"2,539","(+/-1,184)"
Ancestry,Swedish,"7,553","(+/-1,913)"
Ancestry,Swiss,"4,159","(+/-2,081)"
Ancestry,Ukrainian,"3,628","(+/-1,757)"
Ancestry,Welsh,"6,774","(+/-2,573)"
Ancestry,West Indian (excluding Hispanic origin groups),760,(+/-463)
Veteran Status,Civilian population 18 years and over,"624,099","(+/-2,570)"
Veteran Status,Civilian veterans,"45,053","(+/-3,059)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"794,078","(+/-4,051)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"128,452","(+/-6,470)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"177,973","(+/-2,946)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"9,249","(+/-2,156)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"468,512","(+/-2,478)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"67,906","(+/-4,571)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"147,593","(+/-1,639)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"51,297","(+/-2,854)"
Residence 1 Year Ago,Population 1 year and over,"793,580","(+/-4,154)"
Residence 1 Year Ago,Same house,"689,047","(+/-9,019)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"104,533","(+/-8,058)"
Residence 1 Year Ago,Different house in the U.S.,"102,661","(+/-8,158)"
Residence 1 Year Ago,Same county,"56,439","(+/-6,989)"
Residence 1 Year Ago,Different county,"46,222","(+/-4,716)"
Residence 1 Year Ago,Same state,"30,156","(+/-3,512)"
Residence 1 Year Ago,Different state,"16,066","(+/-2,726)"
Residence 1 Year Ago,Abroad,"1,872",(+/-670)
