Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"833,125","(+/-16,430)"
Sex and Age,Male,"425,149","(+/-9,877)"
Sex and Age,Female,"407,976","(+/-11,118)"
Sex and Age,Under 5 years,"54,853","(+/-4,951)"
Sex and Age,5 to 9 years,"52,010","(+/-5,030)"
Sex and Age,10 to 14 years,"57,703","(+/-4,199)"
Sex and Age,15 to 19 years,"55,909","(+/-4,665)"
Sex and Age,20 to 24 years,"49,199","(+/-4,226)"
Sex and Age,25 to 34 years,"126,311","(+/-7,180)"
Sex and Age,35 to 44 years,"115,050","(+/-6,902)"
Sex and Age,45 to 54 years,"101,036","(+/-5,242)"
Sex and Age,55 to 59 years,"43,346","(+/-3,886)"
Sex and Age,60 to 64 years,"51,809","(+/-3,498)"
Sex and Age,65 to 74 years,"72,332","(+/-4,263)"
Sex and Age,75 to 84 years,"42,972","(+/-3,220)"
Sex and Age,85 years and over,"10,595","(+/-1,480)"
Sex and Age,Median age (years),36.7,(+/-0.7)
Sex and Age,18 years and over,"634,423","(+/-13,796)"
Sex and Age,65 years and over,"125,899","(+/-5,668)"
Race,Total population,"833,125","(+/-16,430)"
Race,One race,"685,848","(+/-17,225)"
Race,White,"351,182","(+/-14,352)"
Race,Black or African American,"137,309","(+/-11,296)"
Race,American Indian and Alaska Native,"14,664","(+/-5,134)"
Race,Asian,"50,285","(+/-8,043)"
Race,Native Hawaiian and Other Pacific Islander,"6,305","(+/-2,709)"
Race,Some other race,"126,103","(+/-11,835)"
Race,Two or more races,"147,277","(+/-12,126)"
Hispanic or Latino and Race,Total population,"833,125","(+/-16,430)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"304,955","(+/-14,265)"
Hispanic or Latino and Race,Mexican,"228,500","(+/-13,370)"
Hispanic or Latino and Race,Puerto Rican,"10,323","(+/-3,596)"
Hispanic or Latino and Race,Cuban,"12,713","(+/-3,980)"
Hispanic or Latino and Race,Other Hispanic or Latino,"53,419","(+/-9,287)"
Hispanic or Latino and Race,Not Hispanic or Latino,"528,170","(+/-15,190)"
Place of Birth,Total population,"833,125","(+/-16,430)"
Place of Birth,Native,"691,708","(+/-15,401)"
Place of Birth,Born in United States,"675,117","(+/-15,359)"
Place of Birth,State of residence,"267,357","(+/-12,660)"
Place of Birth,Different state,"407,760","(+/-13,971)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","16,591","(+/-3,318)"
Place of Birth,Foreign-born,"141,417","(+/-8,391)"
Ancestry,Total population,"833,125","(+/-16,430)"
Ancestry,American,"28,419","(+/-5,644)"
Ancestry,Arab,"2,107","(+/-1,067)"
Ancestry,Czech,"1,180",(+/-806)
Ancestry,Danish,"4,405","(+/-1,321)"
Ancestry,Dutch,"2,637","(+/-1,022)"
Ancestry,English,"57,720","(+/-5,903)"
Ancestry,French (except Basque),"10,107","(+/-3,018)"
Ancestry,French Canadian,"2,758","(+/-1,562)"
Ancestry,German,"62,481","(+/-6,378)"
Ancestry,Greek,"1,908",(+/-740)
Ancestry,Hungarian,"2,513","(+/-1,503)"
Ancestry,Irish,"50,865","(+/-6,528)"
Ancestry,Italian,"31,190","(+/-5,526)"
Ancestry,Lithuanian,"1,067",(+/-724)
Ancestry,Norwegian,"4,913","(+/-1,150)"
Ancestry,Polish,"13,609","(+/-4,208)"
Ancestry,Portuguese,"2,358","(+/-1,081)"
Ancestry,Russian,"5,277","(+/-2,230)"
Ancestry,Scotch-Irish,"3,884","(+/-1,987)"
Ancestry,Scottish,"11,957","(+/-2,823)"
Ancestry,Slovak,582,(+/-538)
Ancestry,Subsaharan African,"9,711","(+/-4,713)"
Ancestry,Swedish,"6,109","(+/-1,465)"
Ancestry,Swiss,"1,469","(+/-1,218)"
Ancestry,Ukrainian,"1,049",(+/-591)
Ancestry,Welsh,"3,000","(+/-1,268)"
Ancestry,West Indian (excluding Hispanic origin groups),"3,902","(+/-1,744)"
Veteran Status,Civilian population 18 years and over,"625,969","(+/-13,606)"
Veteran Status,Civilian veterans,"52,197","(+/-3,972)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"813,326","(+/-16,289)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"128,851","(+/-7,772)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"198,509","(+/-8,404)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"12,077","(+/-2,848)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"490,165","(+/-13,507)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"64,948","(+/-5,777)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"124,652","(+/-5,635)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"51,826","(+/-3,817)"
Residence 1 Year Ago,Population 1 year and over,"822,256","(+/-16,622)"
Residence 1 Year Ago,Same house,"708,604","(+/-17,420)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"113,652","(+/-10,993)"
Residence 1 Year Ago,Different house in the U.S.,"108,320","(+/-10,700)"
Residence 1 Year Ago,Same county,"65,544","(+/-8,554)"
Residence 1 Year Ago,Different county,"42,776","(+/-6,759)"
Residence 1 Year Ago,Same state,"5,172","(+/-1,670)"
Residence 1 Year Ago,Different state,"37,604","(+/-6,391)"
Residence 1 Year Ago,Abroad,"5,332","(+/-2,320)"
