Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"708,843","(+/-8,225)"
Sex and Age,Male,"353,404","(+/-5,673)"
Sex and Age,Female,"355,439","(+/-5,297)"
Sex and Age,Under 5 years,"32,857","(+/-1,910)"
Sex and Age,5 to 9 years,"32,503","(+/-3,113)"
Sex and Age,10 to 14 years,"36,827","(+/-3,631)"
Sex and Age,15 to 19 years,"43,578","(+/-2,547)"
Sex and Age,20 to 24 years,"40,556","(+/-3,012)"
Sex and Age,25 to 34 years,"90,491","(+/-3,876)"
Sex and Age,35 to 44 years,"91,972","(+/-4,447)"
Sex and Age,45 to 54 years,"81,722","(+/-2,941)"
Sex and Age,55 to 59 years,"47,055","(+/-3,565)"
Sex and Age,60 to 64 years,"56,834","(+/-3,302)"
Sex and Age,65 to 74 years,"92,930","(+/-2,503)"
Sex and Age,75 to 84 years,"47,711","(+/-2,324)"
Sex and Age,85 years and over,"13,807","(+/-1,731)"
Sex and Age,Median age (years),43.4,(+/-0.5)
Sex and Age,18 years and over,"583,223","(+/-6,010)"
Sex and Age,65 years and over,"154,448","(+/-3,207)"
Race,Total population,"708,843","(+/-8,225)"
Race,One race,"665,001","(+/-9,285)"
Race,White,"624,757","(+/-9,668)"
Race,Black or African American,"10,930","(+/-2,659)"
Race,American Indian and Alaska Native,963,(+/-457)
Race,Asian,"15,006","(+/-2,102)"
Race,Native Hawaiian and Other Pacific Islander,271,(+/-241)
Race,Some other race,"13,074","(+/-3,509)"
Race,Two or more races,"43,842","(+/-4,748)"
Hispanic or Latino and Race,Total population,"708,843","(+/-8,225)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"37,984","(+/-3,148)"
Hispanic or Latino and Race,Mexican,"5,254","(+/-1,968)"
Hispanic or Latino and Race,Puerto Rican,"9,362","(+/-2,667)"
Hispanic or Latino and Race,Cuban,615,(+/-414)
Hispanic or Latino and Race,Other Hispanic or Latino,"22,753","(+/-3,647)"
Hispanic or Latino and Race,Not Hispanic or Latino,"670,859","(+/-8,403)"
Place of Birth,Total population,"708,843","(+/-8,225)"
Place of Birth,Native,"667,715","(+/-9,774)"
Place of Birth,Born in United States,"658,954","(+/-9,871)"
Place of Birth,State of residence,"284,154","(+/-10,390)"
Place of Birth,Different state,"374,800","(+/-10,991)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","8,761","(+/-1,758)"
Place of Birth,Foreign-born,"41,128","(+/-4,256)"
Ancestry,Total population,"708,843","(+/-8,225)"
Ancestry,American,"26,155","(+/-3,779)"
Ancestry,Arab,"3,845","(+/-1,553)"
Ancestry,Czech,787,(+/-414)
Ancestry,Danish,"1,625",(+/-678)
Ancestry,Dutch,"4,485","(+/-1,329)"
Ancestry,English,"129,254","(+/-7,684)"
Ancestry,French (except Basque),"70,910","(+/-7,360)"
Ancestry,French Canadian,"52,333","(+/-6,298)"
Ancestry,German,"62,546","(+/-5,400)"
Ancestry,Greek,"11,727","(+/-3,586)"
Ancestry,Hungarian,"1,966",(+/-788)
Ancestry,Irish,"158,533","(+/-9,394)"
Ancestry,Italian,"76,205","(+/-5,836)"
Ancestry,Lithuanian,"5,643","(+/-1,835)"
Ancestry,Norwegian,"4,799","(+/-1,373)"
Ancestry,Polish,"28,793","(+/-4,415)"
Ancestry,Portuguese,"9,441","(+/-2,388)"
Ancestry,Russian,"3,998","(+/-1,110)"
Ancestry,Scotch-Irish,"8,196","(+/-1,991)"
Ancestry,Scottish,"34,462","(+/-4,172)"
Ancestry,Slovak,"1,301",(+/-966)
Ancestry,Subsaharan African,"4,046","(+/-2,232)"
Ancestry,Swedish,"11,012","(+/-2,297)"
Ancestry,Swiss,"1,488",(+/-595)
Ancestry,Ukrainian,"2,089",(+/-817)
Ancestry,Welsh,"3,871","(+/-1,133)"
Ancestry,West Indian (excluding Hispanic origin groups),"2,895","(+/-1,987)"
Veteran Status,Civilian population 18 years and over,"582,466","(+/-6,069)"
Veteran Status,Civilian veterans,"43,407","(+/-3,086)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"701,535","(+/-8,200)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"99,482","(+/-5,908)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"125,546","(+/-4,697)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"7,449","(+/-1,818)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"426,723","(+/-5,685)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"48,467","(+/-4,300)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"149,266","(+/-3,197)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"43,566","(+/-3,826)"
Residence 1 Year Ago,Population 1 year and over,"702,170","(+/-8,196)"
Residence 1 Year Ago,Same house,"630,007","(+/-10,278)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"72,163","(+/-6,510)"
Residence 1 Year Ago,Different house in the U.S.,"69,992","(+/-6,343)"
Residence 1 Year Ago,Same county,"31,793","(+/-4,337)"
Residence 1 Year Ago,Different county,"38,199","(+/-4,962)"
Residence 1 Year Ago,Same state,"16,356","(+/-3,375)"
Residence 1 Year Ago,Different state,"21,843","(+/-3,988)"
Residence 1 Year Ago,Abroad,"2,171","(+/-1,281)"
