Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"789,429","(+/-11,233)"
Sex and Age,Male,"394,600","(+/-6,825)"
Sex and Age,Female,"394,829","(+/-6,892)"
Sex and Age,Under 5 years,"39,957","(+/-2,432)"
Sex and Age,5 to 9 years,"43,653","(+/-2,797)"
Sex and Age,10 to 14 years,"49,146","(+/-3,951)"
Sex and Age,15 to 19 years,"46,671","(+/-3,071)"
Sex and Age,20 to 24 years,"42,678","(+/-3,176)"
Sex and Age,25 to 34 years,"83,626","(+/-4,083)"
Sex and Age,35 to 44 years,"102,755","(+/-4,247)"
Sex and Age,45 to 54 years,"107,111","(+/-4,726)"
Sex and Age,55 to 59 years,"62,486","(+/-3,909)"
Sex and Age,60 to 64 years,"59,385","(+/-3,219)"
Sex and Age,65 to 74 years,"85,249","(+/-3,494)"
Sex and Age,75 to 84 years,"51,781","(+/-2,923)"
Sex and Age,85 years and over,"14,931","(+/-1,975)"
Sex and Age,Median age (years),43.6,(+/-0.5)
Sex and Age,18 years and over,"625,290","(+/-9,343)"
Sex and Age,65 years and over,"151,961","(+/-5,027)"
Race,Total population,"789,429","(+/-11,233)"
Race,One race,"702,756","(+/-11,134)"
Race,White,"546,798","(+/-11,259)"
Race,Black or African American,"42,947","(+/-5,623)"
Race,American Indian and Alaska Native,"2,586","(+/-1,524)"
Race,Asian,"70,118","(+/-5,519)"
Race,Native Hawaiian and Other Pacific Islander,0,(+/-226)
Race,Some other race,"40,307","(+/-6,406)"
Race,Two or more races,"86,673","(+/-7,356)"
Hispanic or Latino and Race,Total population,"789,429","(+/-11,233)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"110,834","(+/-8,070)"
Hispanic or Latino and Race,Mexican,"6,953","(+/-3,102)"
Hispanic or Latino and Race,Puerto Rican,"24,918","(+/-5,354)"
Hispanic or Latino and Race,Cuban,"9,688","(+/-3,077)"
Hispanic or Latino and Race,Other Hispanic or Latino,"69,275","(+/-7,313)"
Hispanic or Latino and Race,Not Hispanic or Latino,"678,595","(+/-10,695)"
Place of Birth,Total population,"789,429","(+/-11,233)"
Place of Birth,Native,"655,945","(+/-12,384)"
Place of Birth,Born in United States,"641,626","(+/-11,777)"
Place of Birth,State of residence,"463,968","(+/-12,189)"
Place of Birth,Different state,"177,658","(+/-7,936)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","14,319","(+/-3,328)"
Place of Birth,Foreign-born,"133,484","(+/-7,452)"
Ancestry,Total population,"789,429","(+/-11,233)"
Ancestry,American,"31,802","(+/-5,712)"
Ancestry,Arab,"7,150","(+/-2,757)"
Ancestry,Czech,"4,176","(+/-1,477)"
Ancestry,Danish,"1,632",(+/-876)
Ancestry,Dutch,"7,335","(+/-1,926)"
Ancestry,English,"54,912","(+/-4,732)"
Ancestry,French (except Basque),"8,611","(+/-1,604)"
Ancestry,French Canadian,"1,352",(+/-656)
Ancestry,German,"102,765","(+/-7,045)"
Ancestry,Greek,"5,334","(+/-1,655)"
Ancestry,Hungarian,"11,028","(+/-2,778)"
Ancestry,Irish,"134,124","(+/-7,531)"
Ancestry,Italian,"144,283","(+/-8,531)"
Ancestry,Lithuanian,"2,922",(+/-936)
Ancestry,Norwegian,"6,628","(+/-1,809)"
Ancestry,Polish,"47,826","(+/-4,758)"
Ancestry,Portuguese,"9,390","(+/-2,540)"
Ancestry,Russian,"13,973","(+/-2,291)"
Ancestry,Scotch-Irish,"3,460","(+/-1,064)"
Ancestry,Scottish,"10,681","(+/-1,944)"
Ancestry,Slovak,"4,327",(+/-996)
Ancestry,Subsaharan African,"3,991","(+/-1,912)"
Ancestry,Swedish,"5,762","(+/-1,566)"
Ancestry,Swiss,"1,406",(+/-639)
Ancestry,Ukrainian,"9,737","(+/-2,568)"
Ancestry,Welsh,"2,184",(+/-783)
Ancestry,West Indian (excluding Hispanic origin groups),"9,906","(+/-3,193)"
Veteran Status,Civilian population 18 years and over,"625,290","(+/-9,343)"
Veteran Status,Civilian veterans,"21,827","(+/-1,939)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"784,455","(+/-11,222)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"75,233","(+/-3,887)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"163,865","(+/-5,093)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"4,301","(+/-1,177)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"471,644","(+/-7,812)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"31,976","(+/-2,619)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"148,946","(+/-5,012)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"38,956","(+/-3,340)"
Residence 1 Year Ago,Population 1 year and over,"782,205","(+/-11,147)"
Residence 1 Year Ago,Same house,"727,465","(+/-13,103)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"54,740","(+/-6,884)"
Residence 1 Year Ago,Different house in the U.S.,"51,075","(+/-6,290)"
Residence 1 Year Ago,Same county,"15,807","(+/-3,279)"
Residence 1 Year Ago,Different county,"35,268","(+/-5,303)"
Residence 1 Year Ago,Same state,"25,022","(+/-4,851)"
Residence 1 Year Ago,Different state,"10,246","(+/-2,226)"
Residence 1 Year Ago,Abroad,"3,665","(+/-1,584)"
