Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"711,081","(+/-12,828)"
Sex and Age,Male,"353,744","(+/-7,632)"
Sex and Age,Female,"357,337","(+/-7,280)"
Sex and Age,Under 5 years,"33,295","(+/-2,643)"
Sex and Age,5 to 9 years,"34,730","(+/-3,205)"
Sex and Age,10 to 14 years,"42,382","(+/-3,922)"
Sex and Age,15 to 19 years,"40,761","(+/-2,905)"
Sex and Age,20 to 24 years,"41,278","(+/-3,230)"
Sex and Age,25 to 34 years,"98,984","(+/-3,429)"
Sex and Age,35 to 44 years,"100,521","(+/-4,340)"
Sex and Age,45 to 54 years,"79,078","(+/-3,549)"
Sex and Age,55 to 59 years,"41,373","(+/-2,990)"
Sex and Age,60 to 64 years,"48,398","(+/-3,393)"
Sex and Age,65 to 74 years,"87,290","(+/-2,671)"
Sex and Age,75 to 84 years,"48,040","(+/-2,511)"
Sex and Age,85 years and over,"14,951","(+/-1,713)"
Sex and Age,Median age (years),41.3,(+/-0.7)
Sex and Age,18 years and over,"575,615","(+/-9,581)"
Sex and Age,65 years and over,"150,281","(+/-3,500)"
Race,Total population,"711,081","(+/-12,828)"
Race,One race,"552,649","(+/-12,870)"
Race,White,"394,489","(+/-12,780)"
Race,Black or African American,"21,627","(+/-2,691)"
Race,American Indian and Alaska Native,"36,089","(+/-4,061)"
Race,Asian,"25,608","(+/-2,075)"
Race,Native Hawaiian and Other Pacific Islander,58,(+/-96)
Race,Some other race,"74,778","(+/-9,325)"
Race,Two or more races,"158,432","(+/-11,062)"
Hispanic or Latino and Race,Total population,"711,081","(+/-12,828)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"303,587","(+/-10,580)"
Hispanic or Latino and Race,Mexican,"188,296","(+/-11,828)"
Hispanic or Latino and Race,Puerto Rican,"3,993","(+/-1,716)"
Hispanic or Latino and Race,Cuban,"4,322","(+/-1,782)"
Hispanic or Latino and Race,Other Hispanic or Latino,"106,976","(+/-9,165)"
Hispanic or Latino and Race,Not Hispanic or Latino,"407,494","(+/-7,663)"
Place of Birth,Total population,"711,081","(+/-12,828)"
Place of Birth,Native,"648,042","(+/-12,978)"
Place of Birth,Born in United States,"640,813","(+/-13,006)"
Place of Birth,State of residence,"354,118","(+/-12,610)"
Place of Birth,Different state,"286,695","(+/-9,444)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","7,229","(+/-1,727)"
Place of Birth,Foreign-born,"63,039","(+/-6,597)"
Ancestry,Total population,"711,081","(+/-12,828)"
Ancestry,American,"22,391","(+/-3,806)"
Ancestry,Arab,"5,009","(+/-3,086)"
Ancestry,Czech,"1,894",(+/-779)
Ancestry,Danish,"2,140",(+/-655)
Ancestry,Dutch,"5,289","(+/-1,303)"
Ancestry,English,"75,961","(+/-5,927)"
Ancestry,French (except Basque),"12,943","(+/-2,767)"
Ancestry,French Canadian,"1,959",(+/-769)
Ancestry,German,"74,217","(+/-5,373)"
Ancestry,Greek,"1,843",(+/-949)
Ancestry,Hungarian,"2,650","(+/-1,344)"
Ancestry,Irish,"66,375","(+/-6,391)"
Ancestry,Italian,"22,104","(+/-2,921)"
Ancestry,Lithuanian,"1,286",(+/-782)
Ancestry,Norwegian,"6,653","(+/-1,628)"
Ancestry,Polish,"11,739","(+/-2,176)"
Ancestry,Portuguese,"1,552",(+/-895)
Ancestry,Russian,"2,376",(+/-946)
Ancestry,Scotch-Irish,"5,463","(+/-1,166)"
Ancestry,Scottish,"19,865","(+/-3,415)"
Ancestry,Slovak,"1,298",(+/-714)
Ancestry,Subsaharan African,"6,434","(+/-2,738)"
Ancestry,Swedish,"5,431","(+/-1,210)"
Ancestry,Swiss,"2,008",(+/-902)
Ancestry,Ukrainian,"1,286",(+/-609)
Ancestry,Welsh,"3,845","(+/-1,396)"
Ancestry,West Indian (excluding Hispanic origin groups),"1,315",(+/-701)
Veteran Status,Civilian population 18 years and over,"572,151","(+/-9,803)"
Veteran Status,Civilian veterans,"48,001","(+/-3,966)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"703,391","(+/-13,105)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"118,701","(+/-6,227)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"135,265","(+/-6,540)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"6,673","(+/-1,606)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"419,772","(+/-9,009)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"59,781","(+/-4,833)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"148,354","(+/-3,493)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"52,247","(+/-2,921)"
Residence 1 Year Ago,Population 1 year and over,"706,108","(+/-12,557)"
Residence 1 Year Ago,Same house,"614,929","(+/-13,556)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"91,179","(+/-8,255)"
Residence 1 Year Ago,Different house in the U.S.,"86,556","(+/-7,764)"
Residence 1 Year Ago,Same county,"55,280","(+/-6,621)"
Residence 1 Year Ago,Different county,"31,276","(+/-4,074)"
Residence 1 Year Ago,Same state,"11,763","(+/-2,930)"
Residence 1 Year Ago,Different state,"19,513","(+/-3,042)"
Residence 1 Year Ago,Abroad,"4,623","(+/-3,180)"
