Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"752,016","(+/-18,839)"
Sex and Age,Male,"354,353","(+/-12,840)"
Sex and Age,Female,"397,663","(+/-11,565)"
Sex and Age,Under 5 years,"25,360","(+/-3,790)"
Sex and Age,5 to 9 years,"20,988","(+/-3,009)"
Sex and Age,10 to 14 years,"23,253","(+/-4,417)"
Sex and Age,15 to 19 years,"22,774","(+/-2,216)"
Sex and Age,20 to 24 years,"44,677","(+/-4,616)"
Sex and Age,25 to 34 years,"175,117","(+/-9,292)"
Sex and Age,35 to 44 years,"116,175","(+/-6,324)"
Sex and Age,45 to 54 years,"88,193","(+/-5,423)"
Sex and Age,55 to 59 years,"34,030","(+/-4,005)"
Sex and Age,60 to 64 years,"46,837","(+/-3,952)"
Sex and Age,65 to 74 years,"73,849","(+/-4,855)"
Sex and Age,75 to 84 years,"57,560","(+/-4,157)"
Sex and Age,85 years and over,"23,203","(+/-3,619)"
Sex and Age,Median age (years),39.5,(+/-0.7)
Sex and Age,18 years and over,"669,765","(+/-16,569)"
Sex and Age,65 years and over,"154,612","(+/-6,130)"
Race,Total population,"752,016","(+/-18,839)"
Race,One race,"672,499","(+/-17,873)"
Race,White,"481,346","(+/-13,562)"
Race,Black or African American,"44,078","(+/-7,617)"
Race,American Indian and Alaska Native,"1,564",(+/-747)
Race,Asian,"110,407","(+/-6,781)"
Race,Native Hawaiian and Other Pacific Islander,0,(+/-220)
Race,Some other race,"35,104","(+/-6,758)"
Race,Two or more races,"79,517","(+/-8,373)"
Hispanic or Latino and Race,Total population,"752,016","(+/-18,839)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"92,268","(+/-10,891)"
Hispanic or Latino and Race,Mexican,"10,108","(+/-2,397)"
Hispanic or Latino and Race,Puerto Rican,"18,200","(+/-4,166)"
Hispanic or Latino and Race,Cuban,"8,433","(+/-3,813)"
Hispanic or Latino and Race,Other Hispanic or Latino,"55,527","(+/-8,741)"
Hispanic or Latino and Race,Not Hispanic or Latino,"659,748","(+/-16,474)"
Place of Birth,Total population,"752,016","(+/-18,839)"
Place of Birth,Native,"563,046","(+/-16,976)"
Place of Birth,Born in United States,"545,495","(+/-16,101)"
Place of Birth,State of residence,"293,791","(+/-13,278)"
Place of Birth,Different state,"251,704","(+/-11,689)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","17,551","(+/-3,149)"
Place of Birth,Foreign-born,"188,970","(+/-11,626)"
Ancestry,Total population,"752,016","(+/-18,839)"
Ancestry,American,"33,942","(+/-7,525)"
Ancestry,Arab,"14,040","(+/-4,152)"
Ancestry,Czech,"2,376","(+/-1,100)"
Ancestry,Danish,"1,956","(+/-1,317)"
Ancestry,Dutch,"7,163","(+/-2,373)"
Ancestry,English,"46,488","(+/-5,423)"
Ancestry,French (except Basque),"18,044","(+/-3,741)"
Ancestry,French Canadian,"1,616",(+/-727)
Ancestry,German,"61,094","(+/-6,271)"
Ancestry,Greek,"8,803","(+/-2,631)"
Ancestry,Hungarian,"8,436","(+/-2,803)"
Ancestry,Irish,"81,856","(+/-8,201)"
Ancestry,Italian,"66,111","(+/-6,347)"
Ancestry,Lithuanian,"3,379","(+/-1,356)"
Ancestry,Norwegian,"3,678","(+/-1,486)"
Ancestry,Polish,"36,522","(+/-6,106)"
Ancestry,Portuguese,"4,229","(+/-1,779)"
Ancestry,Russian,"30,558","(+/-4,174)"
Ancestry,Scotch-Irish,"2,759",(+/-963)
Ancestry,Scottish,"13,344","(+/-2,533)"
Ancestry,Slovak,"1,750",(+/-907)
Ancestry,Subsaharan African,"6,077","(+/-2,171)"
Ancestry,Swedish,"6,340","(+/-1,868)"
Ancestry,Swiss,"1,521",(+/-860)
Ancestry,Ukrainian,"9,551","(+/-2,920)"
Ancestry,Welsh,"3,361","(+/-1,424)"
Ancestry,West Indian (excluding Hispanic origin groups),"6,981","(+/-2,422)"
Veteran Status,Civilian population 18 years and over,"669,655","(+/-16,557)"
Veteran Status,Civilian veterans,"11,886","(+/-2,638)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"748,919","(+/-18,833)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"71,225","(+/-7,161)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"82,213","(+/-6,204)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"2,168","(+/-1,041)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"514,478","(+/-15,596)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"30,918","(+/-5,656)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"152,228","(+/-6,124)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"38,139","(+/-5,054)"
Residence 1 Year Ago,Population 1 year and over,"745,657","(+/-18,626)"
Residence 1 Year Ago,Same house,"612,047","(+/-19,360)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"133,610","(+/-10,498)"
Residence 1 Year Ago,Different house in the U.S.,"120,914","(+/-10,113)"
Residence 1 Year Ago,Same county,"61,898","(+/-6,977)"
Residence 1 Year Ago,Different county,"59,016","(+/-9,147)"
Residence 1 Year Ago,Same state,"15,224","(+/-3,091)"
Residence 1 Year Ago,Different state,"43,792","(+/-7,965)"
Residence 1 Year Ago,Abroad,"12,696","(+/-3,148)"
