Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"835,054","(+/-11,139)"
Sex and Age,Male,"407,791","(+/-7,146)"
Sex and Age,Female,"427,263","(+/-6,855)"
Sex and Age,Under 5 years,"49,256","(+/-3,039)"
Sex and Age,5 to 9 years,"51,858","(+/-4,434)"
Sex and Age,10 to 14 years,"58,736","(+/-4,389)"
Sex and Age,15 to 19 years,"55,583","(+/-3,767)"
Sex and Age,20 to 24 years,"45,801","(+/-3,596)"
Sex and Age,25 to 34 years,"106,684","(+/-5,562)"
Sex and Age,35 to 44 years,"115,596","(+/-5,772)"
Sex and Age,45 to 54 years,"109,763","(+/-5,236)"
Sex and Age,55 to 59 years,"52,004","(+/-3,573)"
Sex and Age,60 to 64 years,"53,639","(+/-3,342)"
Sex and Age,65 to 74 years,"82,186","(+/-3,106)"
Sex and Age,75 to 84 years,"42,904","(+/-2,495)"
Sex and Age,85 years and over,"11,044","(+/-1,553)"
Sex and Age,Median age (years),39.2,(+/-0.6)
Sex and Age,18 years and over,"640,493","(+/-8,359)"
Sex and Age,65 years and over,"136,134","(+/-3,700)"
Race,Total population,"835,054","(+/-11,139)"
Race,One race,"757,408","(+/-12,531)"
Race,White,"523,729","(+/-10,983)"
Race,Black or African American,"155,148","(+/-7,276)"
Race,American Indian and Alaska Native,"4,439","(+/-1,698)"
Race,Asian,"10,785","(+/-2,250)"
Race,Native Hawaiian and Other Pacific Islander,730,(+/-631)
Race,Some other race,"62,577","(+/-8,447)"
Race,Two or more races,"77,646","(+/-8,952)"
Hispanic or Latino and Race,Total population,"835,054","(+/-11,139)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"129,417","(+/-6,006)"
Hispanic or Latino and Race,Mexican,"72,734","(+/-8,633)"
Hispanic or Latino and Race,Puerto Rican,"14,533","(+/-3,615)"
Hispanic or Latino and Race,Cuban,"4,165","(+/-2,988)"
Hispanic or Latino and Race,Other Hispanic or Latino,"37,985","(+/-6,972)"
Hispanic or Latino and Race,Not Hispanic or Latino,"705,637","(+/-9,965)"
Place of Birth,Total population,"835,054","(+/-11,139)"
Place of Birth,Native,"767,086","(+/-11,090)"
Place of Birth,Born in United States,"750,413","(+/-10,985)"
Place of Birth,State of residence,"445,420","(+/-12,085)"
Place of Birth,Different state,"304,993","(+/-12,758)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","16,673","(+/-2,554)"
Place of Birth,Foreign-born,"67,968","(+/-6,110)"
Ancestry,Total population,"835,054","(+/-11,139)"
Ancestry,American,"71,862","(+/-6,249)"
Ancestry,Arab,"2,502","(+/-1,379)"
Ancestry,Czech,"1,743",(+/-779)
Ancestry,Danish,"1,975","(+/-1,645)"
Ancestry,Dutch,"4,142","(+/-1,438)"
Ancestry,English,"99,645","(+/-6,905)"
Ancestry,French (except Basque),"12,371","(+/-2,352)"
Ancestry,French Canadian,"2,865",(+/-890)
Ancestry,German,"66,379","(+/-5,716)"
Ancestry,Greek,"1,260",(+/-584)
Ancestry,Hungarian,"3,006","(+/-1,085)"
Ancestry,Irish,"71,164","(+/-5,727)"
Ancestry,Italian,"32,298","(+/-4,861)"
Ancestry,Lithuanian,627,(+/-448)
Ancestry,Norwegian,"3,861","(+/-1,317)"
Ancestry,Polish,"11,030","(+/-2,033)"
Ancestry,Portuguese,"1,340",(+/-626)
Ancestry,Russian,"2,781","(+/-1,200)"
Ancestry,Scotch-Irish,"13,693","(+/-2,566)"
Ancestry,Scottish,"21,948","(+/-3,173)"
Ancestry,Slovak,"1,093",(+/-666)
Ancestry,Subsaharan African,"7,190","(+/-3,285)"
Ancestry,Swedish,"4,645","(+/-1,647)"
Ancestry,Swiss,784,(+/-445)
Ancestry,Ukrainian,737,(+/-405)
Ancestry,Welsh,"3,062",(+/-990)
Ancestry,West Indian (excluding Hispanic origin groups),"5,250","(+/-2,099)"
Veteran Status,Civilian population 18 years and over,"635,535","(+/-8,356)"
Veteran Status,Civilian veterans,"51,621","(+/-3,970)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"820,690","(+/-11,256)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"108,975","(+/-5,699)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"194,429","(+/-5,976)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"8,860","(+/-1,811)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"493,008","(+/-8,579)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"56,044","(+/-4,378)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"133,253","(+/-3,665)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"44,071","(+/-3,051)"
Residence 1 Year Ago,Population 1 year and over,"823,928","(+/-11,330)"
Residence 1 Year Ago,Same house,"750,039","(+/-12,827)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"73,889","(+/-8,150)"
Residence 1 Year Ago,Different house in the U.S.,"71,477","(+/-8,047)"
Residence 1 Year Ago,Same county,"27,728","(+/-5,235)"
Residence 1 Year Ago,Different county,"43,749","(+/-5,761)"
Residence 1 Year Ago,Same state,"27,388","(+/-4,638)"
Residence 1 Year Ago,Different state,"16,361","(+/-3,342)"
Residence 1 Year Ago,Abroad,"2,412","(+/-1,311)"
