Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"796,997","(+/-3,094)"
Sex and Age,Male,"397,415","(+/-2,513)"
Sex and Age,Female,"399,582","(+/-2,713)"
Sex and Age,Under 5 years,"43,762","(+/-1,229)"
Sex and Age,5 to 9 years,"48,291","(+/-2,588)"
Sex and Age,10 to 14 years,"48,366","(+/-2,562)"
Sex and Age,15 to 19 years,"56,560","(+/-1,920)"
Sex and Age,20 to 24 years,"51,592","(+/-2,201)"
Sex and Age,25 to 34 years,"93,165","(+/-2,255)"
Sex and Age,35 to 44 years,"98,694","(+/-1,778)"
Sex and Age,45 to 54 years,"92,953","(+/-1,602)"
Sex and Age,55 to 59 years,"48,103","(+/-2,180)"
Sex and Age,60 to 64 years,"55,026","(+/-2,471)"
Sex and Age,65 to 74 years,"94,597","(+/-1,276)"
Sex and Age,75 to 84 years,"48,976","(+/-1,934)"
Sex and Age,85 years and over,"16,912","(+/-1,756)"
Sex and Age,Median age (years),40.7,(+/-0.3)
Sex and Age,18 years and over,"624,709","(+/-2,487)"
Sex and Age,65 years and over,"160,485","(+/-1,655)"
Race,Total population,"796,997","(+/-3,094)"
Race,One race,"740,108","(+/-4,645)"
Race,White,"680,984","(+/-4,384)"
Race,Black or African American,"30,605","(+/-3,652)"
Race,American Indian and Alaska Native,"2,018",(+/-843)
Race,Asian,"9,460","(+/-1,338)"
Race,Native Hawaiian and Other Pacific Islander,27,(+/-48)
Race,Some other race,"17,014","(+/-3,406)"
Race,Two or more races,"56,889","(+/-4,624)"
Hispanic or Latino and Race,Total population,"796,997","(+/-3,094)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"65,439","(+/-1,462)"
Hispanic or Latino and Race,Mexican,"29,119","(+/-3,570)"
Hispanic or Latino and Race,Puerto Rican,"27,414","(+/-2,968)"
Hispanic or Latino and Race,Cuban,494,(+/-375)
Hispanic or Latino and Race,Other Hispanic or Latino,"8,412","(+/-1,741)"
Hispanic or Latino and Race,Not Hispanic or Latino,"731,558","(+/-2,841)"
Place of Birth,Total population,"796,997","(+/-3,094)"
Place of Birth,Native,"777,758","(+/-3,903)"
Place of Birth,Born in United States,"769,208","(+/-4,434)"
Place of Birth,State of residence,"650,476","(+/-7,091)"
Place of Birth,Different state,"118,732","(+/-5,816)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","8,550","(+/-2,115)"
Place of Birth,Foreign-born,"19,239","(+/-2,821)"
Ancestry,Total population,"796,997","(+/-3,094)"
Ancestry,American,"49,275","(+/-5,558)"
Ancestry,Arab,"2,580","(+/-1,222)"
Ancestry,Czech,"3,313",(+/-900)
Ancestry,Danish,640,(+/-313)
Ancestry,Dutch,"5,093","(+/-1,191)"
Ancestry,English,"75,924","(+/-5,626)"
Ancestry,French (except Basque),"10,932","(+/-1,849)"
Ancestry,French Canadian,966,(+/-448)
Ancestry,German,"223,639","(+/-9,515)"
Ancestry,Greek,"1,695",(+/-655)
Ancestry,Hungarian,"14,404","(+/-2,593)"
Ancestry,Irish,"87,573","(+/-5,777)"
Ancestry,Italian,"42,013","(+/-5,169)"
Ancestry,Lithuanian,870,(+/-489)
Ancestry,Norwegian,"2,689",(+/-822)
Ancestry,Polish,"32,709","(+/-4,110)"
Ancestry,Portuguese,934,(+/-598)
Ancestry,Russian,"3,695","(+/-1,397)"
Ancestry,Scotch-Irish,"2,670",(+/-676)
Ancestry,Scottish,"15,789","(+/-2,176)"
Ancestry,Slovak,"6,820","(+/-1,579)"
Ancestry,Subsaharan African,"2,214","(+/-1,073)"
Ancestry,Swedish,"3,410","(+/-1,109)"
Ancestry,Swiss,"5,874","(+/-2,460)"
Ancestry,Ukrainian,"1,732",(+/-657)
Ancestry,Welsh,"5,734","(+/-1,641)"
Ancestry,West Indian (excluding Hispanic origin groups),397,(+/-299)
Veteran Status,Civilian population 18 years and over,"624,186","(+/-2,492)"
Veteran Status,Civilian veterans,"40,665","(+/-2,522)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"786,815","(+/-3,059)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"116,387","(+/-6,118)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"172,190","(+/-1,785)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"12,550","(+/-2,112)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"458,691","(+/-2,348)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"55,084","(+/-4,280)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"155,934","(+/-1,714)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"48,753","(+/-2,556)"
Residence 1 Year Ago,Population 1 year and over,"789,908","(+/-3,164)"
Residence 1 Year Ago,Same house,"709,455","(+/-7,246)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"80,453","(+/-6,456)"
Residence 1 Year Ago,Different house in the U.S.,"78,612","(+/-6,440)"
Residence 1 Year Ago,Same county,"39,342","(+/-5,106)"
Residence 1 Year Ago,Different county,"39,270","(+/-4,660)"
Residence 1 Year Ago,Same state,"29,216","(+/-4,335)"
Residence 1 Year Ago,Different state,"10,054","(+/-1,846)"
Residence 1 Year Ago,Abroad,"1,841",(+/-737)
