Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"704,768","(+/-5,524)"
Sex and Age,Male,"354,384","(+/-4,026)"
Sex and Age,Female,"350,384","(+/-3,534)"
Sex and Age,Under 5 years,"34,268","(+/-1,639)"
Sex and Age,5 to 9 years,"39,321","(+/-2,557)"
Sex and Age,10 to 14 years,"43,310","(+/-3,089)"
Sex and Age,15 to 19 years,"44,906","(+/-2,332)"
Sex and Age,20 to 24 years,"33,887","(+/-2,481)"
Sex and Age,25 to 34 years,"79,275","(+/-3,665)"
Sex and Age,35 to 44 years,"93,750","(+/-3,069)"
Sex and Age,45 to 54 years,"78,796","(+/-2,553)"
Sex and Age,55 to 59 years,"41,492","(+/-2,662)"
Sex and Age,60 to 64 years,"47,562","(+/-2,680)"
Sex and Age,65 to 74 years,"95,983","(+/-2,204)"
Sex and Age,75 to 84 years,"55,785","(+/-2,878)"
Sex and Age,85 years and over,"16,433","(+/-1,917)"
Sex and Age,Median age (years),43.1,(+/-0.5)
Sex and Age,18 years and over,"559,046","(+/-4,548)"
Sex and Age,65 years and over,"168,201","(+/-2,612)"
Race,Total population,"704,768","(+/-5,524)"
Race,One race,"617,963","(+/-8,502)"
Race,White,"550,225","(+/-7,245)"
Race,Black or African American,"3,893","(+/-1,521)"
Race,American Indian and Alaska Native,"13,177","(+/-2,190)"
Race,Asian,"7,205","(+/-1,314)"
Race,Native Hawaiian and Other Pacific Islander,846,(+/-627)
Race,Some other race,"42,617","(+/-7,243)"
Race,Two or more races,"86,805","(+/-6,520)"
Hispanic or Latino and Race,Total population,"704,768","(+/-5,524)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"114,037","(+/-2,186)"
Hispanic or Latino and Race,Mexican,"92,135","(+/-4,707)"
Hispanic or Latino and Race,Puerto Rican,"3,161","(+/-1,847)"
Hispanic or Latino and Race,Cuban,"1,207","(+/-1,082)"
Hispanic or Latino and Race,Other Hispanic or Latino,"17,534","(+/-3,919)"
Hispanic or Latino and Race,Not Hispanic or Latino,"590,731","(+/-5,105)"
Place of Birth,Total population,"704,768","(+/-5,524)"
Place of Birth,Native,"664,607","(+/-7,459)"
Place of Birth,Born in United States,"657,988","(+/-7,450)"
Place of Birth,State of residence,"323,894","(+/-8,168)"
Place of Birth,Different state,"334,094","(+/-9,548)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,619","(+/-1,317)"
Place of Birth,Foreign-born,"40,161","(+/-4,406)"
Ancestry,Total population,"704,768","(+/-5,524)"
Ancestry,American,"34,116","(+/-4,460)"
Ancestry,Arab,"1,733","(+/-1,628)"
Ancestry,Czech,"1,763",(+/-927)
Ancestry,Danish,"8,257","(+/-2,711)"
Ancestry,Dutch,"11,254","(+/-2,356)"
Ancestry,English,"95,175","(+/-6,136)"
Ancestry,French (except Basque),"16,753","(+/-3,200)"
Ancestry,French Canadian,"2,546",(+/-735)
Ancestry,German,"101,362","(+/-6,943)"
Ancestry,Greek,"1,653",(+/-658)
Ancestry,Hungarian,"1,430",(+/-780)
Ancestry,Irish,"80,478","(+/-5,641)"
Ancestry,Italian,"27,641","(+/-3,622)"
Ancestry,Lithuanian,480,(+/-471)
Ancestry,Norwegian,"15,077","(+/-3,401)"
Ancestry,Polish,"7,910","(+/-1,585)"
Ancestry,Portuguese,"3,409","(+/-1,270)"
Ancestry,Russian,"1,689",(+/-714)
Ancestry,Scotch-Irish,"7,395","(+/-1,449)"
Ancestry,Scottish,"23,401","(+/-3,023)"
Ancestry,Slovak,256,(+/-208)
Ancestry,Subsaharan African,"1,466",(+/-932)
Ancestry,Swedish,"13,320","(+/-2,561)"
Ancestry,Swiss,"2,777","(+/-1,044)"
Ancestry,Ukrainian,819,(+/-458)
Ancestry,Welsh,"4,701","(+/-1,163)"
Ancestry,West Indian (excluding Hispanic origin groups),110,(+/-131)
Veteran Status,Civilian population 18 years and over,"558,265","(+/-4,513)"
Veteran Status,Civilian veterans,"48,812","(+/-3,248)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"691,402","(+/-5,501)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"129,826","(+/-6,011)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"145,478","(+/-2,807)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"11,908","(+/-2,400)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"380,652","(+/-4,253)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"59,951","(+/-4,708)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"165,272","(+/-2,736)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"57,967","(+/-2,732)"
Residence 1 Year Ago,Population 1 year and over,"698,788","(+/-5,614)"
Residence 1 Year Ago,Same house,"619,812","(+/-9,148)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"78,976","(+/-7,554)"
Residence 1 Year Ago,Different house in the U.S.,"77,664","(+/-7,644)"
Residence 1 Year Ago,Same county,"38,988","(+/-5,617)"
Residence 1 Year Ago,Different county,"38,676","(+/-4,425)"
Residence 1 Year Ago,Same state,"20,319","(+/-2,824)"
Residence 1 Year Ago,Different state,"18,357","(+/-3,526)"
Residence 1 Year Ago,Abroad,"1,312",(+/-655)
