Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"717,312","(+/-10,524)"
Sex and Age,Male,"351,964","(+/-5,914)"
Sex and Age,Female,"365,348","(+/-6,544)"
Sex and Age,Under 5 years,"32,266","(+/-1,756)"
Sex and Age,5 to 9 years,"43,264","(+/-3,469)"
Sex and Age,10 to 14 years,"42,235","(+/-3,791)"
Sex and Age,15 to 19 years,"40,571","(+/-2,306)"
Sex and Age,20 to 24 years,"33,447","(+/-2,569)"
Sex and Age,25 to 34 years,"92,875","(+/-3,942)"
Sex and Age,35 to 44 years,"103,732","(+/-3,556)"
Sex and Age,45 to 54 years,"90,963","(+/-4,147)"
Sex and Age,55 to 59 years,"42,706","(+/-3,518)"
Sex and Age,60 to 64 years,"45,513","(+/-3,421)"
Sex and Age,65 to 74 years,"87,941","(+/-3,163)"
Sex and Age,75 to 84 years,"45,121","(+/-2,419)"
Sex and Age,85 years and over,"16,678","(+/-2,087)"
Sex and Age,Median age (years),42.3,(+/-0.6)
Sex and Age,18 years and over,"572,200","(+/-8,336)"
Sex and Age,65 years and over,"149,740","(+/-3,905)"
Race,Total population,"717,312","(+/-10,524)"
Race,One race,"644,506","(+/-10,201)"
Race,White,"582,816","(+/-9,317)"
Race,Black or African American,"8,116","(+/-1,854)"
Race,American Indian and Alaska Native,"5,750","(+/-1,795)"
Race,Asian,"21,725","(+/-2,674)"
Race,Native Hawaiian and Other Pacific Islander,792,(+/-526)
Race,Some other race,"25,307","(+/-4,660)"
Race,Two or more races,"72,806","(+/-5,373)"
Hispanic or Latino and Race,Total population,"717,312","(+/-10,524)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"76,663","(+/-4,701)"
Hispanic or Latino and Race,Mexican,"54,648","(+/-5,136)"
Hispanic or Latino and Race,Puerto Rican,"1,567",(+/-976)
Hispanic or Latino and Race,Cuban,835,(+/-593)
Hispanic or Latino and Race,Other Hispanic or Latino,"19,613","(+/-4,417)"
Hispanic or Latino and Race,Not Hispanic or Latino,"640,649","(+/-9,784)"
Place of Birth,Total population,"717,312","(+/-10,524)"
Place of Birth,Native,"671,744","(+/-10,748)"
Place of Birth,Born in United States,"664,402","(+/-10,995)"
Place of Birth,State of residence,"357,386","(+/-10,331)"
Place of Birth,Different state,"307,016","(+/-9,963)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","7,342","(+/-1,494)"
Place of Birth,Foreign-born,"45,568","(+/-4,961)"
Ancestry,Total population,"717,312","(+/-10,524)"
Ancestry,American,"32,880","(+/-4,456)"
Ancestry,Arab,"2,408","(+/-1,147)"
Ancestry,Czech,"3,161","(+/-1,137)"
Ancestry,Danish,"6,754","(+/-1,746)"
Ancestry,Dutch,"11,810","(+/-2,299)"
Ancestry,English,"113,840","(+/-7,730)"
Ancestry,French (except Basque),"18,286","(+/-3,110)"
Ancestry,French Canadian,"3,554","(+/-1,109)"
Ancestry,German,"132,403","(+/-7,590)"
Ancestry,Greek,"2,805","(+/-1,141)"
Ancestry,Hungarian,"1,841","(+/-1,024)"
Ancestry,Irish,"89,970","(+/-7,194)"
Ancestry,Italian,"28,727","(+/-3,561)"
Ancestry,Lithuanian,"1,471",(+/-933)
Ancestry,Norwegian,"23,323","(+/-3,569)"
Ancestry,Polish,"12,039","(+/-2,388)"
Ancestry,Portuguese,"4,965","(+/-1,768)"
Ancestry,Russian,"5,917","(+/-1,465)"
Ancestry,Scotch-Irish,"8,173","(+/-2,073)"
Ancestry,Scottish,"28,355","(+/-3,368)"
Ancestry,Slovak,831,(+/-461)
Ancestry,Subsaharan African,"3,364","(+/-1,391)"
Ancestry,Swedish,"17,079","(+/-2,973)"
Ancestry,Swiss,"5,510","(+/-1,451)"
Ancestry,Ukrainian,"4,665","(+/-2,847)"
Ancestry,Welsh,"5,845","(+/-1,643)"
Ancestry,West Indian (excluding Hispanic origin groups),421,(+/-394)
Veteran Status,Civilian population 18 years and over,"571,860","(+/-8,321)"
Veteran Status,Civilian veterans,"39,881","(+/-2,843)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"713,056","(+/-10,513)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"97,563","(+/-4,784)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"144,833","(+/-5,191)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"5,789","(+/-1,373)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"421,217","(+/-7,530)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"45,948","(+/-4,007)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"147,006","(+/-3,920)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"45,826","(+/-2,887)"
Residence 1 Year Ago,Population 1 year and over,"711,944","(+/-10,679)"
Residence 1 Year Ago,Same house,"628,769","(+/-12,327)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"83,175","(+/-7,116)"
Residence 1 Year Ago,Different house in the U.S.,"80,452","(+/-7,096)"
Residence 1 Year Ago,Same county,"43,258","(+/-5,535)"
Residence 1 Year Ago,Different county,"37,194","(+/-4,382)"
Residence 1 Year Ago,Same state,"19,969","(+/-3,128)"
Residence 1 Year Ago,Different state,"17,225","(+/-3,533)"
Residence 1 Year Ago,Abroad,"2,723","(+/-1,376)"
