Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"792,599","(+/-9,034)"
Sex and Age,Male,"391,883","(+/-5,597)"
Sex and Age,Female,"400,716","(+/-5,315)"
Sex and Age,Under 5 years,"41,952","(+/-2,071)"
Sex and Age,5 to 9 years,"43,019","(+/-2,863)"
Sex and Age,10 to 14 years,"53,317","(+/-3,524)"
Sex and Age,15 to 19 years,"49,054","(+/-2,648)"
Sex and Age,20 to 24 years,"48,814","(+/-2,950)"
Sex and Age,25 to 34 years,"102,505","(+/-4,293)"
Sex and Age,35 to 44 years,"108,650","(+/-4,066)"
Sex and Age,45 to 54 years,"92,304","(+/-3,389)"
Sex and Age,55 to 59 years,"48,380","(+/-3,340)"
Sex and Age,60 to 64 years,"52,098","(+/-2,952)"
Sex and Age,65 to 74 years,"86,857","(+/-2,211)"
Sex and Age,75 to 84 years,"47,766","(+/-2,359)"
Sex and Age,85 years and over,"17,883","(+/-1,979)"
Sex and Age,Median age (years),40.3,(+/-0.6)
Sex and Age,18 years and over,"624,599","(+/-6,644)"
Sex and Age,65 years and over,"152,506","(+/-2,471)"
Race,Total population,"792,599","(+/-9,034)"
Race,One race,"725,149","(+/-9,548)"
Race,White,"561,730","(+/-9,891)"
Race,Black or African American,"83,406","(+/-5,532)"
Race,American Indian and Alaska Native,"1,530","(+/-1,421)"
Race,Asian,"46,124","(+/-2,697)"
Race,Native Hawaiian and Other Pacific Islander,54,(+/-113)
Race,Some other race,"32,305","(+/-6,388)"
Race,Two or more races,"67,450","(+/-6,858)"
Hispanic or Latino and Race,Total population,"792,599","(+/-9,034)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"85,329","(+/-3,521)"
Hispanic or Latino and Race,Mexican,"16,785","(+/-5,363)"
Hispanic or Latino and Race,Puerto Rican,"42,773","(+/-6,016)"
Hispanic or Latino and Race,Cuban,"1,168",(+/-710)
Hispanic or Latino and Race,Other Hispanic or Latino,"24,603","(+/-4,766)"
Hispanic or Latino and Race,Not Hispanic or Latino,"707,270","(+/-9,090)"
Place of Birth,Total population,"792,599","(+/-9,034)"
Place of Birth,Native,"724,314","(+/-9,974)"
Place of Birth,Born in United States,"700,370","(+/-10,754)"
Place of Birth,State of residence,"522,206","(+/-9,992)"
Place of Birth,Different state,"178,164","(+/-8,878)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","23,944","(+/-3,937)"
Place of Birth,Foreign-born,"68,285","(+/-6,547)"
Ancestry,Total population,"792,599","(+/-9,034)"
Ancestry,American,"34,052","(+/-4,275)"
Ancestry,Arab,"3,912","(+/-1,703)"
Ancestry,Czech,"1,311",(+/-643)
Ancestry,Danish,"1,533","(+/-1,507)"
Ancestry,Dutch,"7,136","(+/-1,813)"
Ancestry,English,"73,175","(+/-7,059)"
Ancestry,French (except Basque),"9,983","(+/-1,609)"
Ancestry,French Canadian,"1,017",(+/-668)
Ancestry,German,"200,891","(+/-8,626)"
Ancestry,Greek,"2,879","(+/-1,232)"
Ancestry,Hungarian,"4,941","(+/-1,433)"
Ancestry,Irish,"93,902","(+/-5,975)"
Ancestry,Italian,"47,053","(+/-4,733)"
Ancestry,Lithuanian,"2,551","(+/-1,197)"
Ancestry,Norwegian,"3,909","(+/-1,338)"
Ancestry,Polish,"25,261","(+/-4,142)"
Ancestry,Portuguese,"1,039",(+/-647)
Ancestry,Russian,"5,259","(+/-1,660)"
Ancestry,Scotch-Irish,"10,101","(+/-3,599)"
Ancestry,Scottish,"17,913","(+/-3,682)"
Ancestry,Slovak,"4,543","(+/-1,247)"
Ancestry,Subsaharan African,"12,318","(+/-3,948)"
Ancestry,Swedish,"6,604","(+/-2,172)"
Ancestry,Swiss,"3,816","(+/-1,140)"
Ancestry,Ukrainian,"4,181","(+/-1,518)"
Ancestry,Welsh,"6,265","(+/-1,803)"
Ancestry,West Indian (excluding Hispanic origin groups),"7,617","(+/-2,910)"
Veteran Status,Civilian population 18 years and over,"622,511","(+/-6,642)"
Veteran Status,Civilian veterans,"43,908","(+/-3,090)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"779,105","(+/-8,993)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"109,853","(+/-7,264)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"167,965","(+/-4,777)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"13,864","(+/-3,170)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"462,936","(+/-6,597)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"52,892","(+/-4,569)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"148,204","(+/-2,483)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"43,097","(+/-2,687)"
Residence 1 Year Ago,Population 1 year and over,"784,642","(+/-9,153)"
Residence 1 Year Ago,Same house,"687,522","(+/-12,570)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"97,120","(+/-8,171)"
Residence 1 Year Ago,Different house in the U.S.,"90,037","(+/-7,491)"
Residence 1 Year Ago,Same county,"47,018","(+/-5,883)"
Residence 1 Year Ago,Different county,"43,019","(+/-5,372)"
Residence 1 Year Ago,Same state,"25,932","(+/-4,191)"
Residence 1 Year Ago,Different state,"17,087","(+/-3,725)"
Residence 1 Year Ago,Abroad,"7,083","(+/-3,239)"
