Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"555,745","(+/-8,171)"
Sex and Age,Male,"273,452","(+/-6,297)"
Sex and Age,Female,"282,293","(+/-4,561)"
Sex and Age,Under 5 years,"27,976","(+/-2,087)"
Sex and Age,5 to 9 years,"26,564","(+/-3,116)"
Sex and Age,10 to 14 years,"29,679","(+/-2,890)"
Sex and Age,15 to 19 years,"35,002","(+/-2,680)"
Sex and Age,20 to 24 years,"37,915","(+/-3,495)"
Sex and Age,25 to 34 years,"76,474","(+/-3,985)"
Sex and Age,35 to 44 years,"78,666","(+/-4,544)"
Sex and Age,45 to 54 years,"59,612","(+/-3,486)"
Sex and Age,55 to 59 years,"36,402","(+/-3,445)"
Sex and Age,60 to 64 years,"35,195","(+/-2,880)"
Sex and Age,65 to 74 years,"64,675","(+/-2,126)"
Sex and Age,75 to 84 years,"34,492","(+/-2,458)"
Sex and Age,85 years and over,"13,093","(+/-1,839)"
Sex and Age,Median age (years),40.6,(+/-0.7)
Sex and Age,18 years and over,"453,485","(+/-6,623)"
Sex and Age,65 years and over,"112,260","(+/-3,040)"
Race,Total population,"555,745","(+/-8,171)"
Race,One race,"466,311","(+/-11,966)"
Race,White,"357,055","(+/-8,298)"
Race,Black or African American,"36,339","(+/-6,308)"
Race,American Indian and Alaska Native,"4,001","(+/-2,605)"
Race,Asian,"22,124","(+/-3,292)"
Race,Native Hawaiian and Other Pacific Islander,414,(+/-436)
Race,Some other race,"46,378","(+/-8,301)"
Race,Two or more races,"89,434","(+/-10,049)"
Hispanic or Latino and Race,Total population,"555,745","(+/-8,171)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"113,918","(+/-8,040)"
Hispanic or Latino and Race,Mexican,"4,714","(+/-1,789)"
Hispanic or Latino and Race,Puerto Rican,"26,968","(+/-7,138)"
Hispanic or Latino and Race,Cuban,"1,675",(+/-964)
Hispanic or Latino and Race,Other Hispanic or Latino,"80,561","(+/-9,059)"
Hispanic or Latino and Race,Not Hispanic or Latino,"441,827","(+/-7,748)"
Place of Birth,Total population,"555,745","(+/-8,171)"
Place of Birth,Native,"450,025","(+/-11,147)"
Place of Birth,Born in United States,"428,929","(+/-9,859)"
Place of Birth,State of residence,"254,598","(+/-10,837)"
Place of Birth,Different state,"174,331","(+/-7,154)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","21,096","(+/-5,772)"
Place of Birth,Foreign-born,"105,720","(+/-9,558)"
Ancestry,Total population,"555,745","(+/-8,171)"
Ancestry,American,"17,999","(+/-2,848)"
Ancestry,Arab,"5,497","(+/-2,100)"
Ancestry,Czech,659,(+/-515)
Ancestry,Danish,"1,170",(+/-707)
Ancestry,Dutch,"1,772",(+/-884)
Ancestry,English,"49,443","(+/-5,286)"
Ancestry,French (except Basque),"33,737","(+/-3,678)"
Ancestry,French Canadian,"20,219","(+/-2,868)"
Ancestry,German,"23,267","(+/-3,964)"
Ancestry,Greek,"1,635",(+/-782)
Ancestry,Hungarian,537,(+/-292)
Ancestry,Irish,"78,877","(+/-6,819)"
Ancestry,Italian,"64,017","(+/-6,292)"
Ancestry,Lithuanian,"1,279",(+/-585)
Ancestry,Norwegian,"2,508","(+/-1,144)"
Ancestry,Polish,"16,316","(+/-3,086)"
Ancestry,Portuguese,"54,968","(+/-6,721)"
Ancestry,Russian,"3,986","(+/-1,179)"
Ancestry,Scotch-Irish,"2,029","(+/-1,174)"
Ancestry,Scottish,"11,466","(+/-2,623)"
Ancestry,Slovak,227,(+/-277)
Ancestry,Subsaharan African,"30,131","(+/-5,655)"
Ancestry,Swedish,"5,432","(+/-1,676)"
Ancestry,Swiss,608,(+/-474)
Ancestry,Ukrainian,"2,685","(+/-1,066)"
Ancestry,Welsh,"1,096",(+/-498)
Ancestry,West Indian (excluding Hispanic origin groups),"4,262","(+/-2,953)"
Veteran Status,Civilian population 18 years and over,"450,510","(+/-6,541)"
Veteran Status,Civilian veterans,"21,499","(+/-2,498)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"546,713","(+/-8,046)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"79,076","(+/-6,083)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"102,098","(+/-5,178)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"4,694","(+/-1,473)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"336,240","(+/-6,566)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"38,196","(+/-4,182)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"108,375","(+/-3,060)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"36,186","(+/-3,312)"
Residence 1 Year Ago,Population 1 year and over,"550,817","(+/-8,490)"
Residence 1 Year Ago,Same house,"485,952","(+/-10,838)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"64,865","(+/-7,307)"
Residence 1 Year Ago,Different house in the U.S.,"57,847","(+/-6,786)"
Residence 1 Year Ago,Same county,"30,651","(+/-5,767)"
Residence 1 Year Ago,Different county,"27,196","(+/-4,193)"
Residence 1 Year Ago,Same state,"4,275","(+/-1,488)"
Residence 1 Year Ago,Different state,"22,921","(+/-3,893)"
Residence 1 Year Ago,Abroad,"7,018","(+/-2,496)"
