Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"797,468","(+/-8,949)"
Sex and Age,Male,"394,627","(+/-6,118)"
Sex and Age,Female,"402,841","(+/-5,570)"
Sex and Age,Under 5 years,"44,416","(+/-2,484)"
Sex and Age,5 to 9 years,"46,453","(+/-3,422)"
Sex and Age,10 to 14 years,"45,766","(+/-4,202)"
Sex and Age,15 to 19 years,"46,872","(+/-3,025)"
Sex and Age,20 to 24 years,"45,614","(+/-3,094)"
Sex and Age,25 to 34 years,"96,023","(+/-4,680)"
Sex and Age,35 to 44 years,"106,769","(+/-3,971)"
Sex and Age,45 to 54 years,"94,349","(+/-3,699)"
Sex and Age,55 to 59 years,"47,221","(+/-3,768)"
Sex and Age,60 to 64 years,"56,815","(+/-4,019)"
Sex and Age,65 to 74 years,"97,356","(+/-2,576)"
Sex and Age,75 to 84 years,"54,963","(+/-2,350)"
Sex and Age,85 years and over,"14,851","(+/-2,214)"
Sex and Age,Median age (years),41.5,(+/-0.5)
Sex and Age,18 years and over,"630,108","(+/-7,000)"
Sex and Age,65 years and over,"167,170","(+/-3,223)"
Race,Total population,"797,468","(+/-8,949)"
Race,One race,"729,994","(+/-11,500)"
Race,White,"557,015","(+/-10,370)"
Race,Black or African American,"126,917","(+/-6,476)"
Race,American Indian and Alaska Native,"3,355","(+/-1,663)"
Race,Asian,"18,886","(+/-2,074)"
Race,Native Hawaiian and Other Pacific Islander,147,(+/-220)
Race,Some other race,"23,674","(+/-5,177)"
Race,Two or more races,"67,474","(+/-8,427)"
Hispanic or Latino and Race,Total population,"797,468","(+/-8,949)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"69,598","(+/-2,142)"
Hispanic or Latino and Race,Mexican,"30,050","(+/-4,686)"
Hispanic or Latino and Race,Puerto Rican,"11,154","(+/-3,991)"
Hispanic or Latino and Race,Cuban,"3,885","(+/-2,254)"
Hispanic or Latino and Race,Other Hispanic or Latino,"24,509","(+/-4,147)"
Hispanic or Latino and Race,Not Hispanic or Latino,"727,870","(+/-9,202)"
Place of Birth,Total population,"797,468","(+/-8,949)"
Place of Birth,Native,"742,148","(+/-10,873)"
Place of Birth,Born in United States,"727,023","(+/-10,526)"
Place of Birth,State of residence,"296,866","(+/-9,528)"
Place of Birth,Different state,"430,157","(+/-12,110)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","15,125","(+/-3,775)"
Place of Birth,Foreign-born,"55,320","(+/-5,197)"
Ancestry,Total population,"797,468","(+/-8,949)"
Ancestry,American,"46,919","(+/-6,062)"
Ancestry,Arab,"4,510","(+/-1,974)"
Ancestry,Czech,"4,101","(+/-1,564)"
Ancestry,Danish,"1,548",(+/-865)
Ancestry,Dutch,"6,429","(+/-1,871)"
Ancestry,English,"112,023","(+/-8,524)"
Ancestry,French (except Basque),"16,697","(+/-2,850)"
Ancestry,French Canadian,"5,130","(+/-2,088)"
Ancestry,German,"94,142","(+/-6,768)"
Ancestry,Greek,"3,070","(+/-1,441)"
Ancestry,Hungarian,"3,508","(+/-1,210)"
Ancestry,Irish,"88,247","(+/-7,939)"
Ancestry,Italian,"47,048","(+/-5,125)"
Ancestry,Lithuanian,"1,257",(+/-682)
Ancestry,Norwegian,"4,113","(+/-1,240)"
Ancestry,Polish,"19,310","(+/-3,085)"
Ancestry,Portuguese,"2,414","(+/-1,359)"
Ancestry,Russian,"4,229","(+/-1,504)"
Ancestry,Scotch-Irish,"11,128","(+/-2,436)"
Ancestry,Scottish,"24,242","(+/-3,168)"
Ancestry,Slovak,"2,020",(+/-929)
Ancestry,Subsaharan African,"5,357","(+/-2,279)"
Ancestry,Swedish,"6,436","(+/-2,042)"
Ancestry,Swiss,"2,191","(+/-1,007)"
Ancestry,Ukrainian,"2,567","(+/-1,209)"
Ancestry,Welsh,"3,007",(+/-888)
Ancestry,West Indian (excluding Hispanic origin groups),"2,056",(+/-953)
Veteran Status,Civilian population 18 years and over,"610,204","(+/-7,570)"
Veteran Status,Civilian veterans,"66,512","(+/-4,688)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"773,667","(+/-9,391)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"91,925","(+/-5,114)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"167,289","(+/-4,351)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"5,615","(+/-1,393)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"441,255","(+/-7,388)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"45,270","(+/-4,554)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"165,123","(+/-3,232)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"41,040","(+/-2,671)"
Residence 1 Year Ago,Population 1 year and over,"789,545","(+/-9,312)"
Residence 1 Year Ago,Same house,"683,890","(+/-11,890)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"105,655","(+/-9,638)"
Residence 1 Year Ago,Different house in the U.S.,"101,103","(+/-9,625)"
Residence 1 Year Ago,Same county,"36,460","(+/-5,962)"
Residence 1 Year Ago,Different county,"64,643","(+/-7,573)"
Residence 1 Year Ago,Same state,"20,905","(+/-4,607)"
Residence 1 Year Ago,Different state,"43,738","(+/-6,188)"
Residence 1 Year Ago,Abroad,"4,552","(+/-1,672)"
