Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"803,181","(+/-12,219)"
Sex and Age,Male,"396,761","(+/-7,600)"
Sex and Age,Female,"406,420","(+/-7,082)"
Sex and Age,Under 5 years,"45,892","(+/-3,271)"
Sex and Age,5 to 9 years,"46,590","(+/-3,898)"
Sex and Age,10 to 14 years,"51,318","(+/-5,162)"
Sex and Age,15 to 19 years,"44,429","(+/-2,559)"
Sex and Age,20 to 24 years,"47,423","(+/-3,315)"
Sex and Age,25 to 34 years,"112,450","(+/-5,622)"
Sex and Age,35 to 44 years,"109,398","(+/-4,278)"
Sex and Age,45 to 54 years,"96,239","(+/-4,156)"
Sex and Age,55 to 59 years,"51,039","(+/-3,976)"
Sex and Age,60 to 64 years,"53,071","(+/-3,703)"
Sex and Age,65 to 74 years,"85,330","(+/-2,830)"
Sex and Age,75 to 84 years,"47,710","(+/-2,285)"
Sex and Age,85 years and over,"12,292","(+/-1,911)"
Sex and Age,Median age (years),39.9,(+/-0.6)
Sex and Age,18 years and over,"630,214","(+/-7,727)"
Sex and Age,65 years and over,"145,332","(+/-3,190)"
Race,Total population,"803,181","(+/-12,219)"
Race,One race,"742,895","(+/-11,138)"
Race,White,"638,556","(+/-9,525)"
Race,Black or African American,"66,403","(+/-7,610)"
Race,American Indian and Alaska Native,"2,604","(+/-1,352)"
Race,Asian,"9,294","(+/-1,915)"
Race,Native Hawaiian and Other Pacific Islander,188,(+/-230)
Race,Some other race,"25,850","(+/-6,254)"
Race,Two or more races,"60,286","(+/-7,023)"
Hispanic or Latino and Race,Total population,"803,181","(+/-12,219)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"62,255","(+/-6,953)"
Hispanic or Latino and Race,Mexican,"27,351","(+/-5,273)"
Hispanic or Latino and Race,Puerto Rican,"6,208","(+/-2,374)"
Hispanic or Latino and Race,Cuban,"3,574","(+/-2,001)"
Hispanic or Latino and Race,Other Hispanic or Latino,"25,122","(+/-6,870)"
Hispanic or Latino and Race,Not Hispanic or Latino,"740,926","(+/-10,605)"
Place of Birth,Total population,"803,181","(+/-12,219)"
Place of Birth,Native,"760,644","(+/-11,231)"
Place of Birth,Born in United States,"752,585","(+/-11,354)"
Place of Birth,State of residence,"439,230","(+/-13,535)"
Place of Birth,Different state,"313,355","(+/-11,490)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","8,059","(+/-1,965)"
Place of Birth,Foreign-born,"42,537","(+/-6,841)"
Ancestry,Total population,"803,181","(+/-12,219)"
Ancestry,American,"106,669","(+/-9,134)"
Ancestry,Arab,"3,591","(+/-2,978)"
Ancestry,Czech,"1,899",(+/-708)
Ancestry,Danish,765,(+/-427)
Ancestry,Dutch,"6,444","(+/-2,292)"
Ancestry,English,"107,566","(+/-8,054)"
Ancestry,French (except Basque),"14,429","(+/-3,035)"
Ancestry,French Canadian,"2,456","(+/-1,028)"
Ancestry,German,"75,478","(+/-6,032)"
Ancestry,Greek,"1,693","(+/-1,036)"
Ancestry,Hungarian,"1,928",(+/-918)
Ancestry,Irish,"81,869","(+/-6,287)"
Ancestry,Italian,"26,689","(+/-4,237)"
Ancestry,Lithuanian,731,(+/-425)
Ancestry,Norwegian,"4,938","(+/-1,666)"
Ancestry,Polish,"8,814","(+/-1,967)"
Ancestry,Portuguese,892,(+/-437)
Ancestry,Russian,"1,402",(+/-796)
Ancestry,Scotch-Irish,"11,233","(+/-2,343)"
Ancestry,Scottish,"19,994","(+/-3,066)"
Ancestry,Slovak,501,(+/-421)
Ancestry,Subsaharan African,"2,235","(+/-1,015)"
Ancestry,Swedish,"4,790","(+/-1,659)"
Ancestry,Swiss,"1,392",(+/-798)
Ancestry,Ukrainian,631,(+/-485)
Ancestry,Welsh,"6,018","(+/-2,430)"
Ancestry,West Indian (excluding Hispanic origin groups),"2,876","(+/-1,795)"
Veteran Status,Civilian population 18 years and over,"629,870","(+/-7,714)"
Veteran Status,Civilian veterans,"44,190","(+/-3,288)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"794,977","(+/-12,174)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"113,722","(+/-6,149)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"172,803","(+/-7,531)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"7,430","(+/-1,614)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"478,888","(+/-7,196)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"55,399","(+/-4,581)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"143,286","(+/-3,197)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"50,893","(+/-2,696)"
Residence 1 Year Ago,Population 1 year and over,"794,865","(+/-12,047)"
Residence 1 Year Ago,Same house,"696,852","(+/-13,513)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"98,013","(+/-8,628)"
Residence 1 Year Ago,Different house in the U.S.,"96,199","(+/-8,614)"
Residence 1 Year Ago,Same county,"44,726","(+/-6,411)"
Residence 1 Year Ago,Different county,"51,473","(+/-6,362)"
Residence 1 Year Ago,Same state,"30,742","(+/-5,382)"
Residence 1 Year Ago,Different state,"20,731","(+/-4,499)"
Residence 1 Year Ago,Abroad,"1,814",(+/-920)
