Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"920,628","(+/-12,851)"
Sex and Age,Male,"462,228","(+/-8,240)"
Sex and Age,Female,"458,400","(+/-8,270)"
Sex and Age,Under 5 years,"52,147","(+/-3,706)"
Sex and Age,5 to 9 years,"62,871","(+/-4,318)"
Sex and Age,10 to 14 years,"66,558","(+/-4,842)"
Sex and Age,15 to 19 years,"66,849","(+/-3,689)"
Sex and Age,20 to 24 years,"54,768","(+/-4,205)"
Sex and Age,25 to 34 years,"116,472","(+/-5,547)"
Sex and Age,35 to 44 years,"140,635","(+/-6,463)"
Sex and Age,45 to 54 years,"133,353","(+/-5,268)"
Sex and Age,55 to 59 years,"56,474","(+/-4,327)"
Sex and Age,60 to 64 years,"53,458","(+/-3,944)"
Sex and Age,65 to 74 years,"71,023","(+/-3,071)"
Sex and Age,75 to 84 years,"37,943","(+/-2,573)"
Sex and Age,85 years and over,"8,077","(+/-1,573)"
Sex and Age,Median age (years),38.3,(+/-0.5)
Sex and Age,18 years and over,"698,388","(+/-9,610)"
Sex and Age,65 years and over,"117,043","(+/-4,235)"
Race,Total population,"920,628","(+/-12,851)"
Race,One race,"798,136","(+/-15,398)"
Race,White,"498,979","(+/-12,680)"
Race,Black or African American,"101,562","(+/-8,636)"
Race,American Indian and Alaska Native,"5,405","(+/-2,953)"
Race,Asian,"154,197","(+/-10,808)"
Race,Native Hawaiian and Other Pacific Islander,494,(+/-260)
Race,Some other race,"37,499","(+/-6,309)"
Race,Two or more races,"122,492","(+/-9,642)"
Hispanic or Latino and Race,Total population,"920,628","(+/-12,851)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"163,234","(+/-9,553)"
Hispanic or Latino and Race,Mexican,"123,630","(+/-10,420)"
Hispanic or Latino and Race,Puerto Rican,"5,633","(+/-2,216)"
Hispanic or Latino and Race,Cuban,"1,652",(+/-945)
Hispanic or Latino and Race,Other Hispanic or Latino,"32,319","(+/-5,684)"
Hispanic or Latino and Race,Not Hispanic or Latino,"757,394","(+/-15,344)"
Place of Birth,Total population,"920,628","(+/-12,851)"
Place of Birth,Native,"730,701","(+/-14,505)"
Place of Birth,Born in United States,"712,263","(+/-14,281)"
Place of Birth,State of residence,"414,667","(+/-13,787)"
Place of Birth,Different state,"297,596","(+/-12,948)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","18,438","(+/-3,062)"
Place of Birth,Foreign-born,"189,927","(+/-11,900)"
Ancestry,Total population,"920,628","(+/-12,851)"
Ancestry,American,"45,665","(+/-7,167)"
Ancestry,Arab,"9,825","(+/-3,566)"
Ancestry,Czech,"4,875","(+/-2,292)"
Ancestry,Danish,"2,332","(+/-1,006)"
Ancestry,Dutch,"4,066","(+/-1,193)"
Ancestry,English,"110,140","(+/-10,195)"
Ancestry,French (except Basque),"12,089","(+/-2,229)"
Ancestry,French Canadian,"1,460",(+/-657)
Ancestry,German,"83,244","(+/-7,829)"
Ancestry,Greek,"1,582","(+/-1,005)"
Ancestry,Hungarian,"3,254","(+/-2,267)"
Ancestry,Irish,"71,987","(+/-7,002)"
Ancestry,Italian,"20,726","(+/-3,271)"
Ancestry,Lithuanian,"1,048",(+/-885)
Ancestry,Norwegian,"4,434","(+/-1,519)"
Ancestry,Polish,"16,442","(+/-4,631)"
Ancestry,Portuguese,"1,190",(+/-695)
Ancestry,Russian,"2,903","(+/-1,004)"
Ancestry,Scotch-Irish,"6,777","(+/-2,228)"
Ancestry,Scottish,"19,537","(+/-4,147)"
Ancestry,Slovak,436,(+/-416)
Ancestry,Subsaharan African,"21,714","(+/-6,512)"
Ancestry,Swedish,"6,736","(+/-2,431)"
Ancestry,Swiss,"1,750",(+/-797)
Ancestry,Ukrainian,"2,697","(+/-1,555)"
Ancestry,Welsh,"3,278","(+/-1,497)"
Ancestry,West Indian (excluding Hispanic origin groups),"4,967","(+/-2,784)"
Veteran Status,Civilian population 18 years and over,"697,864","(+/-9,609)"
Veteran Status,Civilian veterans,"38,203","(+/-3,877)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"915,911","(+/-12,927)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"88,790","(+/-5,998)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"222,147","(+/-6,807)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"11,809","(+/-2,708)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"578,641","(+/-8,618)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"46,762","(+/-4,396)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"115,123","(+/-4,233)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"30,219","(+/-2,684)"
Residence 1 Year Ago,Population 1 year and over,"912,884","(+/-12,812)"
Residence 1 Year Ago,Same house,"803,637","(+/-15,239)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"109,247","(+/-11,004)"
Residence 1 Year Ago,Different house in the U.S.,"98,821","(+/-10,632)"
Residence 1 Year Ago,Same county,"45,368","(+/-6,354)"
Residence 1 Year Ago,Different county,"53,453","(+/-8,012)"
Residence 1 Year Ago,Same state,"37,078","(+/-7,375)"
Residence 1 Year Ago,Different state,"16,375","(+/-3,810)"
Residence 1 Year Ago,Abroad,"10,426","(+/-3,182)"
