Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"871,848","(+/-9,472)"
Sex and Age,Male,"439,167","(+/-6,183)"
Sex and Age,Female,"432,681","(+/-5,910)"
Sex and Age,Under 5 years,"53,836","(+/-2,306)"
Sex and Age,5 to 9 years,"63,169","(+/-3,449)"
Sex and Age,10 to 14 years,"63,659","(+/-3,582)"
Sex and Age,15 to 19 years,"72,813","(+/-2,319)"
Sex and Age,20 to 24 years,"79,010","(+/-3,431)"
Sex and Age,25 to 34 years,"135,123","(+/-4,664)"
Sex and Age,35 to 44 years,"116,561","(+/-2,962)"
Sex and Age,45 to 54 years,"99,924","(+/-3,463)"
Sex and Age,55 to 59 years,"40,602","(+/-2,711)"
Sex and Age,60 to 64 years,"38,896","(+/-2,922)"
Sex and Age,65 to 74 years,"65,360","(+/-2,554)"
Sex and Age,75 to 84 years,"32,255","(+/-2,233)"
Sex and Age,85 years and over,"10,640","(+/-1,659)"
Sex and Age,Median age (years),32.4,(+/-0.4)
Sex and Age,18 years and over,"647,457","(+/-7,740)"
Sex and Age,65 years and over,"108,255","(+/-3,239)"
Race,Total population,"871,848","(+/-9,472)"
Race,One race,"798,885","(+/-10,446)"
Race,White,"733,140","(+/-9,556)"
Race,Black or African American,"9,095","(+/-2,022)"
Race,American Indian and Alaska Native,"7,007","(+/-2,361)"
Race,Asian,"21,151","(+/-2,848)"
Race,Native Hawaiian and Other Pacific Islander,"2,893","(+/-1,674)"
Race,Some other race,"25,599","(+/-4,022)"
Race,Two or more races,"72,963","(+/-7,772)"
Hispanic or Latino and Race,Total population,"871,848","(+/-9,472)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"125,917","(+/-4,978)"
Hispanic or Latino and Race,Mexican,"89,242","(+/-6,062)"
Hispanic or Latino and Race,Puerto Rican,"4,478","(+/-2,219)"
Hispanic or Latino and Race,Cuban,810,(+/-512)
Hispanic or Latino and Race,Other Hispanic or Latino,"31,387","(+/-4,412)"
Hispanic or Latino and Race,Not Hispanic or Latino,"745,931","(+/-8,633)"
Place of Birth,Total population,"871,848","(+/-9,472)"
Place of Birth,Native,"810,070","(+/-8,508)"
Place of Birth,Born in United States,"799,796","(+/-8,890)"
Place of Birth,State of residence,"534,556","(+/-8,568)"
Place of Birth,Different state,"265,240","(+/-8,030)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","10,274","(+/-1,910)"
Place of Birth,Foreign-born,"61,778","(+/-5,154)"
Ancestry,Total population,"871,848","(+/-9,472)"
Ancestry,American,"41,095","(+/-4,732)"
Ancestry,Arab,"1,050",(+/-513)
Ancestry,Czech,"1,247",(+/-534)
Ancestry,Danish,"34,137","(+/-3,712)"
Ancestry,Dutch,"16,639","(+/-2,942)"
Ancestry,English,"246,155","(+/-10,115)"
Ancestry,French (except Basque),"12,765","(+/-2,362)"
Ancestry,French Canadian,"1,525",(+/-763)
Ancestry,German,"86,889","(+/-6,472)"
Ancestry,Greek,"2,389","(+/-1,136)"
Ancestry,Hungarian,882,(+/-473)
Ancestry,Irish,"64,540","(+/-6,187)"
Ancestry,Italian,"21,724","(+/-3,164)"
Ancestry,Lithuanian,"1,038",(+/-649)
Ancestry,Norwegian,"18,561","(+/-3,965)"
Ancestry,Polish,"7,926","(+/-2,066)"
Ancestry,Portuguese,"1,071",(+/-595)
Ancestry,Russian,"2,711",(+/-947)
Ancestry,Scotch-Irish,"5,791","(+/-1,828)"
Ancestry,Scottish,"37,016","(+/-4,151)"
Ancestry,Slovak,635,(+/-399)
Ancestry,Subsaharan African,"3,622","(+/-1,662)"
Ancestry,Swedish,"24,000","(+/-3,690)"
Ancestry,Swiss,"9,257","(+/-1,863)"
Ancestry,Ukrainian,"2,594","(+/-1,893)"
Ancestry,Welsh,"10,764","(+/-1,998)"
Ancestry,West Indian (excluding Hispanic origin groups),"2,093","(+/-1,260)"
Veteran Status,Civilian population 18 years and over,"643,139","(+/-7,754)"
Veteran Status,Civilian veterans,"32,949","(+/-3,120)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"863,589","(+/-9,454)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"91,487","(+/-5,933)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"223,965","(+/-4,140)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"11,981","(+/-2,354)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"533,140","(+/-7,105)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"49,693","(+/-4,394)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"106,484","(+/-3,239)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"29,813","(+/-2,670)"
Residence 1 Year Ago,Population 1 year and over,"861,767","(+/-9,479)"
Residence 1 Year Ago,Same house,"752,884","(+/-11,708)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"108,883","(+/-7,615)"
Residence 1 Year Ago,Different house in the U.S.,"103,507","(+/-6,995)"
Residence 1 Year Ago,Same county,"48,859","(+/-4,842)"
Residence 1 Year Ago,Different county,"54,648","(+/-5,911)"
Residence 1 Year Ago,Same state,"27,992","(+/-3,880)"
Residence 1 Year Ago,Different state,"26,656","(+/-4,214)"
Residence 1 Year Ago,Abroad,"5,376","(+/-2,017)"
