Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"788,825","(+/-15,267)"
Sex and Age,Male,"395,166","(+/-8,818)"
Sex and Age,Female,"393,659","(+/-8,129)"
Sex and Age,Under 5 years,"46,171","(+/-2,831)"
Sex and Age,5 to 9 years,"44,360","(+/-3,416)"
Sex and Age,10 to 14 years,"42,381","(+/-3,240)"
Sex and Age,15 to 19 years,"35,582","(+/-2,941)"
Sex and Age,20 to 24 years,"47,886","(+/-3,131)"
Sex and Age,25 to 34 years,"141,385","(+/-4,235)"
Sex and Age,35 to 44 years,"129,263","(+/-4,795)"
Sex and Age,45 to 54 years,"97,842","(+/-4,204)"
Sex and Age,55 to 59 years,"45,164","(+/-3,226)"
Sex and Age,60 to 64 years,"40,354","(+/-3,356)"
Sex and Age,65 to 74 years,"68,627","(+/-2,977)"
Sex and Age,75 to 84 years,"35,377","(+/-2,710)"
Sex and Age,85 years and over,"14,433","(+/-2,045)"
Sex and Age,Median age (years),37.6,(+/-0.4)
Sex and Age,18 years and over,"629,974","(+/-10,914)"
Sex and Age,65 years and over,"118,437","(+/-3,542)"
Race,Total population,"788,825","(+/-15,267)"
Race,One race,"665,413","(+/-15,640)"
Race,White,"400,529","(+/-10,677)"
Race,Black or African American,"102,520","(+/-5,875)"
Race,American Indian and Alaska Native,"6,715","(+/-3,513)"
Race,Asian,"97,744","(+/-5,992)"
Race,Native Hawaiian and Other Pacific Islander,282,(+/-177)
Race,Some other race,"57,623","(+/-8,925)"
Race,Two or more races,"123,412","(+/-10,067)"
Hispanic or Latino and Race,Total population,"788,825","(+/-15,267)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"163,706","(+/-10,371)"
Hispanic or Latino and Race,Mexican,"17,834","(+/-3,939)"
Hispanic or Latino and Race,Puerto Rican,"10,303","(+/-2,912)"
Hispanic or Latino and Race,Cuban,"4,886","(+/-1,604)"
Hispanic or Latino and Race,Other Hispanic or Latino,"130,683","(+/-10,336)"
Hispanic or Latino and Race,Not Hispanic or Latino,"625,119","(+/-12,776)"
Place of Birth,Total population,"788,825","(+/-15,267)"
Place of Birth,Native,"572,755","(+/-13,920)"
Place of Birth,Born in United States,"548,178","(+/-13,414)"
Place of Birth,State of residence,"190,334","(+/-8,520)"
Place of Birth,Different state,"357,844","(+/-10,796)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","24,577","(+/-3,469)"
Place of Birth,Foreign-born,"216,070","(+/-10,837)"
Ancestry,Total population,"788,825","(+/-15,267)"
Ancestry,American,"21,510","(+/-3,020)"
Ancestry,Arab,"18,634","(+/-4,936)"
Ancestry,Czech,"2,227",(+/-861)
Ancestry,Danish,"1,901",(+/-729)
Ancestry,Dutch,"5,507","(+/-1,140)"
Ancestry,English,"75,720","(+/-5,394)"
Ancestry,French (except Basque),"12,379","(+/-1,870)"
Ancestry,French Canadian,"4,200","(+/-1,522)"
Ancestry,German,"82,833","(+/-6,285)"
Ancestry,Greek,"5,529","(+/-2,268)"
Ancestry,Hungarian,"1,732",(+/-597)
Ancestry,Irish,"88,302","(+/-6,194)"
Ancestry,Italian,"41,578","(+/-4,260)"
Ancestry,Lithuanian,"2,401",(+/-873)
Ancestry,Norwegian,"6,203","(+/-1,409)"
Ancestry,Polish,"21,197","(+/-2,769)"
Ancestry,Portuguese,"2,098",(+/-672)
Ancestry,Russian,"8,542","(+/-2,260)"
Ancestry,Scotch-Irish,"7,213","(+/-1,534)"
Ancestry,Scottish,"17,860","(+/-2,340)"
Ancestry,Slovak,"2,547",(+/-820)
Ancestry,Subsaharan African,"35,171","(+/-6,273)"
Ancestry,Swedish,"7,789","(+/-1,884)"
Ancestry,Swiss,"2,095",(+/-827)
Ancestry,Ukrainian,"5,513","(+/-2,769)"
Ancestry,Welsh,"4,182","(+/-1,191)"
Ancestry,West Indian (excluding Hispanic origin groups),"4,141","(+/-1,416)"
Veteran Status,Civilian population 18 years and over,"616,252","(+/-10,920)"
Veteran Status,Civilian veterans,"41,026","(+/-3,435)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"771,557","(+/-15,190)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"64,238","(+/-4,110)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"158,818","(+/-6,752)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"5,800","(+/-1,429)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"496,765","(+/-9,734)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"30,104","(+/-3,113)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"115,974","(+/-3,554)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"28,334","(+/-2,691)"
Residence 1 Year Ago,Population 1 year and over,"777,906","(+/-15,261)"
Residence 1 Year Ago,Same house,"647,467","(+/-16,934)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"130,439","(+/-9,291)"
Residence 1 Year Ago,Different house in the U.S.,"112,597","(+/-7,882)"
Residence 1 Year Ago,Same county,"42,546","(+/-5,242)"
Residence 1 Year Ago,Different county,"70,051","(+/-6,043)"
Residence 1 Year Ago,Same state,"28,320","(+/-4,457)"
Residence 1 Year Ago,Different state,"41,731","(+/-4,484)"
Residence 1 Year Ago,Abroad,"17,842","(+/-3,937)"
