Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"811,726","(+/-12,952)"
Sex and Age,Male,"409,529","(+/-8,765)"
Sex and Age,Female,"402,197","(+/-10,163)"
Sex and Age,Under 5 years,"34,219","(+/-3,180)"
Sex and Age,5 to 9 years,"32,081","(+/-3,623)"
Sex and Age,10 to 14 years,"33,728","(+/-3,691)"
Sex and Age,15 to 19 years,"37,616","(+/-3,190)"
Sex and Age,20 to 24 years,"58,652","(+/-5,144)"
Sex and Age,25 to 34 years,"191,553","(+/-7,806)"
Sex and Age,35 to 44 years,"137,636","(+/-5,609)"
Sex and Age,45 to 54 years,"93,921","(+/-4,868)"
Sex and Age,55 to 59 years,"42,755","(+/-4,169)"
Sex and Age,60 to 64 years,"40,789","(+/-3,097)"
Sex and Age,65 to 74 years,"62,898","(+/-3,765)"
Sex and Age,75 to 84 years,"34,125","(+/-2,907)"
Sex and Age,85 years and over,"11,753","(+/-1,899)"
Sex and Age,Median age (years),36.0,(+/-0.5)
Sex and Age,18 years and over,"692,078","(+/-10,248)"
Sex and Age,65 years and over,"108,776","(+/-5,302)"
Race,Total population,"811,726","(+/-12,952)"
Race,One race,"708,853","(+/-13,848)"
Race,White,"494,868","(+/-11,908)"
Race,Black or African American,"38,222","(+/-6,319)"
Race,American Indian and Alaska Native,"6,078","(+/-2,396)"
Race,Asian,"133,364","(+/-7,271)"
Race,Native Hawaiian and Other Pacific Islander,"2,706","(+/-1,435)"
Race,Some other race,"33,615","(+/-7,026)"
Race,Two or more races,"102,873","(+/-7,870)"
Hispanic or Latino and Race,Total population,"811,726","(+/-12,952)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"86,150","(+/-8,170)"
Hispanic or Latino and Race,Mexican,"45,500","(+/-6,335)"
Hispanic or Latino and Race,Puerto Rican,"4,504","(+/-1,775)"
Hispanic or Latino and Race,Cuban,"2,203","(+/-1,133)"
Hispanic or Latino and Race,Other Hispanic or Latino,"33,943","(+/-5,505)"
Hispanic or Latino and Race,Not Hispanic or Latino,"725,576","(+/-13,712)"
Place of Birth,Total population,"811,726","(+/-12,952)"
Place of Birth,Native,"656,466","(+/-12,954)"
Place of Birth,Born in United States,"637,044","(+/-12,194)"
Place of Birth,State of residence,"304,413","(+/-10,999)"
Place of Birth,Different state,"332,631","(+/-11,062)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","19,422","(+/-2,713)"
Place of Birth,Foreign-born,"155,260","(+/-8,409)"
Ancestry,Total population,"811,726","(+/-12,952)"
Ancestry,American,"18,554","(+/-3,150)"
Ancestry,Arab,"3,866","(+/-1,234)"
Ancestry,Czech,"3,886","(+/-1,127)"
Ancestry,Danish,"7,934","(+/-1,605)"
Ancestry,Dutch,"13,916","(+/-1,887)"
Ancestry,English,"104,828","(+/-5,614)"
Ancestry,French (except Basque),"20,845","(+/-3,350)"
Ancestry,French Canadian,"4,001","(+/-1,500)"
Ancestry,German,"111,049","(+/-6,776)"
Ancestry,Greek,"4,491","(+/-1,954)"
Ancestry,Hungarian,"4,438","(+/-1,362)"
Ancestry,Irish,"97,801","(+/-7,477)"
Ancestry,Italian,"35,632","(+/-3,956)"
Ancestry,Lithuanian,"2,445",(+/-854)
Ancestry,Norwegian,"33,883","(+/-3,251)"
Ancestry,Polish,"17,175","(+/-2,089)"
Ancestry,Portuguese,"4,062","(+/-1,242)"
Ancestry,Russian,"8,550","(+/-2,180)"
Ancestry,Scotch-Irish,"7,590","(+/-1,582)"
Ancestry,Scottish,"28,000","(+/-3,695)"
Ancestry,Slovak,"1,353",(+/-556)
Ancestry,Subsaharan African,"17,920","(+/-5,816)"
Ancestry,Swedish,"23,313","(+/-3,327)"
Ancestry,Swiss,"4,608","(+/-1,493)"
Ancestry,Ukrainian,"4,971","(+/-1,673)"
Ancestry,Welsh,"6,611","(+/-1,652)"
Ancestry,West Indian (excluding Hispanic origin groups),"2,258",(+/-968)
Veteran Status,Civilian population 18 years and over,"691,642","(+/-10,263)"
Veteran Status,Civilian veterans,"21,610","(+/-2,407)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"807,505","(+/-12,989)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"85,273","(+/-4,947)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"119,449","(+/-7,974)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"3,748","(+/-1,159)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"581,895","(+/-10,107)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"52,075","(+/-4,300)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"106,161","(+/-5,289)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"29,450","(+/-2,712)"
Residence 1 Year Ago,Population 1 year and over,"803,348","(+/-12,761)"
Residence 1 Year Ago,Same house,"643,810","(+/-14,330)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"159,538","(+/-9,623)"
Residence 1 Year Ago,Different house in the U.S.,"148,020","(+/-10,241)"
Residence 1 Year Ago,Same county,"91,101","(+/-8,840)"
Residence 1 Year Ago,Different county,"56,919","(+/-6,886)"
Residence 1 Year Ago,Same state,"18,224","(+/-4,001)"
Residence 1 Year Ago,Different state,"38,695","(+/-4,850)"
Residence 1 Year Ago,Abroad,"11,518","(+/-2,970)"
