Subject,Title,Value,Margin_of_Error
Sex and Age,Total population,"908,086","(+/-2,702)"
Sex and Age,Male,"456,869","(+/-2,331)"
Sex and Age,Female,"451,217","(+/-2,941)"
Sex and Age,Under 5 years,"44,715","(+/-1,809)"
Sex and Age,5 to 9 years,"44,258","(+/-2,905)"
Sex and Age,10 to 14 years,"52,985","(+/-3,037)"
Sex and Age,15 to 19 years,"59,214","(+/-2,481)"
Sex and Age,20 to 24 years,"59,692","(+/-2,041)"
Sex and Age,25 to 34 years,"114,568","(+/-2,577)"
Sex and Age,35 to 44 years,"114,739","(+/-2,526)"
Sex and Age,45 to 54 years,"108,973","(+/-2,001)"
Sex and Age,55 to 59 years,"58,358","(+/-2,958)"
Sex and Age,60 to 64 years,"63,145","(+/-2,927)"
Sex and Age,65 to 74 years,"108,884","(+/-1,259)"
Sex and Age,75 to 84 years,"61,549","(+/-1,902)"
Sex and Age,85 years and over,"17,006","(+/-1,701)"
Sex and Age,Median age (years),41.5,(+/-0.4)
Sex and Age,18 years and over,"731,628","(+/-2,481)"
Sex and Age,65 years and over,"187,439","(+/-1,783)"
Race,Total population,"908,086","(+/-2,702)"
Race,One race,"856,328","(+/-4,285)"
Race,White,"805,247","(+/-4,163)"
Race,Black or African American,"26,735","(+/-2,302)"
Race,American Indian and Alaska Native,"2,130","(+/-1,112)"
Race,Asian,"8,455","(+/-1,406)"
Race,Native Hawaiian and Other Pacific Islander,61,(+/-95)
Race,Some other race,"13,700","(+/-2,531)"
Race,Two or more races,"51,758","(+/-3,725)"
Hispanic or Latino and Race,Total population,"908,086","(+/-2,702)"
Hispanic or Latino and Race,Hispanic or Latino (of any race),"29,714","(+/-1,168)"
Hispanic or Latino and Race,Mexican,"10,723","(+/-2,277)"
Hispanic or Latino and Race,Puerto Rican,"3,406","(+/-1,123)"
Hispanic or Latino and Race,Cuban,654,(+/-411)
Hispanic or Latino and Race,Other Hispanic or Latino,"14,931","(+/-2,615)"
Hispanic or Latino and Race,Not Hispanic or Latino,"878,372","(+/-2,727)"
Place of Birth,Total population,"908,086","(+/-2,702)"
Place of Birth,Native,"882,785","(+/-4,160)"
Place of Birth,Born in United States,"876,268","(+/-4,287)"
Place of Birth,State of residence,"518,516","(+/-9,186)"
Place of Birth,Different state,"357,752","(+/-9,807)"
Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,517","(+/-1,553)"
Place of Birth,Foreign-born,"25,301","(+/-3,026)"
Ancestry,Total population,"908,086","(+/-2,702)"
Ancestry,American,"69,915","(+/-5,831)"
Ancestry,Arab,"2,958","(+/-1,328)"
Ancestry,Czech,"4,294","(+/-1,481)"
Ancestry,Danish,796,(+/-485)
Ancestry,Dutch,"8,839","(+/-1,672)"
Ancestry,English,"118,480","(+/-7,469)"
Ancestry,French (except Basque),"11,150","(+/-1,870)"
Ancestry,French Canadian,"1,127",(+/-513)
Ancestry,German,"154,652","(+/-6,307)"
Ancestry,Greek,"1,877",(+/-673)
Ancestry,Hungarian,"4,000","(+/-1,124)"
Ancestry,Irish,"123,287","(+/-7,156)"
Ancestry,Italian,"55,257","(+/-4,407)"
Ancestry,Lithuanian,762,(+/-501)
Ancestry,Norwegian,"3,607","(+/-1,438)"
Ancestry,Polish,"21,414","(+/-3,144)"
Ancestry,Portuguese,858,(+/-492)
Ancestry,Russian,"2,004",(+/-740)
Ancestry,Scotch-Irish,"12,822","(+/-2,121)"
Ancestry,Scottish,"24,422","(+/-3,039)"
Ancestry,Slovak,"2,786",(+/-967)
Ancestry,Subsaharan African,"3,101","(+/-1,042)"
Ancestry,Swedish,"4,214","(+/-1,609)"
Ancestry,Swiss,"2,563",(+/-888)
Ancestry,Ukrainian,"1,545",(+/-589)
Ancestry,Welsh,"6,043","(+/-1,415)"
Ancestry,West Indian (excluding Hispanic origin groups),"2,580","(+/-1,118)"
Veteran Status,Civilian population 18 years and over,"730,019","(+/-2,697)"
Veteran Status,Civilian veterans,"55,264","(+/-3,150)"
Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"891,962","(+/-2,785)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"149,857","(+/-6,988)"
Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"176,107","(+/-1,716)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"11,533","(+/-1,816)"
Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"533,465","(+/-3,022)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"76,775","(+/-5,447)"
Disability Status of the Civilian Noninstitutionalized Population,65 years and over,"182,390","(+/-1,822)"
Disability Status of the Civilian Noninstitutionalized Population,With a disability,"61,549","(+/-3,311)"
Residence 1 Year Ago,Population 1 year and over,"899,871","(+/-2,840)"
Residence 1 Year Ago,Same house,"800,310","(+/-9,150)"
Residence 1 Year Ago,Different house (in the U.S. or abroad),"99,561","(+/-8,785)"
Residence 1 Year Ago,Different house in the U.S.,"98,162","(+/-8,710)"
Residence 1 Year Ago,Same county,"48,102","(+/-6,742)"
Residence 1 Year Ago,Different county,"50,060","(+/-5,556)"
Residence 1 Year Ago,Same state,"23,750","(+/-4,076)"
Residence 1 Year Ago,Different state,"26,310","(+/-3,654)"
Residence 1 Year Ago,Abroad,"1,399",(+/-785)
