Dist,First,Last,Party,1999 PVI,1999 Raw PVI,Rank D to R
AL-01,Sonny,Callahan,R,R+12,R+12.33,378
AL-02,Terry,Everett,R,R+14,R+14.36,401
AL-03,Bob,Riley,R,R+7,R+7.36,308
AL-04,Robert,Aderholt,R,R+6,R+6.01,302
AL-05,Robert E.,Cramer,D,R+7,R+6.95,314
AL-06,Spencer,Bachus,R,R+26,R+25.73,433
AL-07,Earl,Hilliard,D,D+19,D+18.82,39
AK-00,Don,Young,R,R+13,R+12.92,394
AZ-01,Matt,Salmon,R,R+7,R+6.84,296
AZ-02,Ed,Pastor,D,D+12,D+12.17,58
AZ-03,Bob,Stump,R,R+9,R+9.21,337
AZ-04,John,Shadegg,R,R+10,R+9.58,331
AZ-05,Jim,Kolbe,R,R+2,R+2.14,247
AZ-06,J. D.,Hayworth,R,R+4,R+3.73,258
AR-01,Robert Marion,Berry,D,D+10,D+10.02,84
AR-02,Vic,Snyder,D,D+6,D+5.84,119
AR-03,Asa,Hutchinson,R,R+5,R+4.6,287
AR-04,Jay,Dickey,R,D+11,D+10.76,76
CA-01,Mike,Thompson,D,D+5,D+5.19,136
CA-02,Wally,Herger,R,R+10,R+9.64,370
CA-03,Doug,Ose,R,R+3,R+3.01,261
CA-04,John,Doolitte,R,R+10,R+10.49,369
CA-05,Bob,Matsui,D,D+8,D+8.03,102
CA-06,Lynn,Woolsey,D,D+14,D+14,59
CA-07,George,Miller,D,D+18,D+18.39,40
CA-08,Nancy,Pelosi,D,D+26,D+26.19,28
CA-09,Barbara,Lee,D,D+32,D+31.6,14
CA-10,Ellen,Tauscher,D,R+1,R+0.71,215
CA-11,Richard,Pombo,R,R+4,R+3.63,272
CA-12,Tom,Lantos,D,D+18,D+18.04,37
CA-13,Pete,Stark,D,D+14,D+14.24,50
CA-14,Anna,Eshoo,D,D+12,D+11.56,75
CA-15,Tom,Campbell,R,D+6,D+5.75,120
CA-16,Zoe,Lofgren,D,D+13,D+12.52,61
CA-17,Sam,Farr,D,D+10,D+10.09,89
CA-18,Gary,Condit,D,R+3,R+3.06,263
CA-19,George,Radanovich,R,R+9,R+9.36,357
CA-20,Cal,Dooley,D,D+1,D+1.48,175
CA-21,Bill,Thomas,R,R+15,R+14.92,412
CA-22,Walter,Capps,D,R+3,R+2.62,267
CA-23,Elton,Gallegly,R,R+2,R+2,243
CA-24,Brad,Sherman,D,D+6,D+5.71,127
CA-25,Buck,McKeon,R,R+7,R+7.14,321
CA-26,Howard,Berman,D,D+17,D+16.86,44
CA-27,James E.,Rogan,R,EVEN,D+0.34,191
CA-28,David,Dreier,R,R+5,R+5.19,284
CA-29,Henry,Waxman,D,D+21,D+20.82,38
CA-30,Xavier,Becerra,D,D+21,D+20.76,33
CA-31,Matthew G.,Martínez,D,D+12,D+12.21,49
CA-32,Julian,Dixon,D,D+32,D+32.14,12
CA-33,Lucille,Roybal-Allard,D,D+24,D+24.49,26
CA-34,Grace,Napolitano,D,D+12,D+11.62,57
CA-35,Maxine,Waters,D,D+33,D+32.71,9
CA-36,Steven,Kuykendall,R,R+1,R+1.06,221
CA-37,Juanita,Millender-McDonald,D,D+30,D+30.05,15
CA-38,Steve,Horn,R,D+4,D+3.95,130
CA-39,Ed,Royce,R,R+9,R+9.48,346
CA-40,Jerry,Lewis,R,R+9,R+9.18,353
CA-41,Gary,Miller,R,R+8,R+7.82,306
CA-42,George,Brown Jr.,D,D+5,D+4.76,123
CA-43,Ken,Calvert,R,R+5,R+5.25,293
CA-44,Mary,Bono,R,R+3,R+2.98,271
CA-45,Dana,Rohrabacher,R,R+11,R+11.35,373
CA-46,Loretta,Sanchez,D,R+3,R+3.05,227
CA-47,Christopher,Cox,R,R+14,R+14.18,400
CA-48,Ron,Packard,R,R+16,R+15.63,413
CA-49,Brian,Bilbray,R,D+2,D+1.95,183
CA-50,Bob,Filner,D,D+9,D+8.96,85
CA-51,Duke,Cunningham,R,R+11,R+10.84,371
CA-52,Duncan L.,Hunter,R,R+7,R+7.26,323
CO-01,Diana,DeGette,D,D+13,D+12.98,67
CO-02,Mark,Udall,D,D+3,D+3.21,162
CO-03,Scott,McInnis,R,R+3,R+3.19,283
CO-04,Bob,Schaffer,R,R+7,R+7.01,325
CO-05,Joel,Hefley,R,R+19,R+18.51,418
CO-06,Tom,Tancredo,R,R+7,R+6.51,310
CT-01,John B.,Larson,D,D+10,D+9.88,77
CT-02,Sam,Gejdenson,D,D+6,D+6.35,109
CT-03,Rosa,DeLauro,D,D+6,D+5.79,104
CT-04,Chris,Shays,R,R+1,R+1.4,194
CT-05,James H.,Maloney,D,R+4,R+4.31,242
CT-06,Nancy,Johnson,R,D+1,D+0.78,166
DE-00,Mike,Castle,R,D+2,D+2.49,148
FL-01,Joe,Scarborough,R,R+20,R+20.46,422
FL-02,Allen,Boyd,D,R+1,R+0.55,210
FL-03,Corrine,Brown,D,D+7,D+7.05,107
FL-04,Tillie,Fowler,R,R+16,R+16.37,411
FL-05,Karen,Thurman,D,D+2,D+2.01,159
FL-06,Cliff,Stearns,R,R+12,R+11.86,372
FL-07,John,Mica,R,R+9,R+8.67,319
FL-08,Bill,McCollum,R,R+10,R+9.97,327
FL-09,Michael,Bilirakis,R,R+7,R+6.79,294
FL-10,Bill,Young,R,EVEN,D+0.48,173
FL-11,Jim,Davis,D,EVEN,R+0.48,186
FL-12,Charles T.,Canady,R,R+9,R+8.83,320
FL-13,Dan,Miller,R,R+8,R+8.02,311
FL-14,Porter,Goss,R,R+13,R+12.84,380
FL-15,Dave,Weldon,R,R+10,R+10.11,342
FL-16,Mark,Foley,R,R+4,R+4.19,251
FL-17,Carrie,Meek,D,D+29,D+28.92,16
FL-18,Ileana,Ros-Lehtinen,R,R+13,R+13.4,368
FL-19,Robert,Wexler,D,D+13,D+12.59,52
FL-20,Peter,Deutsch,D,D+7,D+7.38,92
FL-21,Lincoln,Díaz-Balart,R,R+13,R+13.49,361
FL-22,Clay,Shaw,R,D+2,D+2.31,147
FL-23,Alcee,Hastings,D,D+22,D+21.87,31
GA-01,Jack,Kingston,R,R+6,R+6.03,299
GA-02,Sanford,Bishop,D,R+1,R+1.19,222
GA-03,Mac,Collins,R,R+9,R+8.59,340
GA-04,Cynthia,McKinney,D,D+9,D+9.45,79
GA-05,John,Lewis,D,D+21,D+21.21,34
GA-06,Johnny,Isakson,R,R+19,R+19.31,420
GA-07,Bob,Barr,R,R+10,R+9.87,358
GA-08,Saxby,Chambliss,R,R+1,R+1.33,241
GA-09,Nathan,Deal,R,R+14,R+13.52,403
GA-10,Charlie,Norwood,R,R+3,R+2.6,252
GA-11,John,Linder,R,R+13,R+12.84,386
HI-01,Neil,Abercrombie,D,D+4,D+4.39,115
HI-02,Patsy,Mink,D,D+8,D+7.78,87
ID-01,Helen,Chenoweth,R,R+13,R+12.93,389
ID-02,Mike,Simpson,R,R+17,R+16.55,415
IL-01,Bobby,Rush,D,D+33,D+33.29,7
IL-02,Jesse,Jackson Jr.,D,D+33,D+32.84,8
IL-03,Bill,Lipinski,D,D+1,D+0.83,156
IL-04,Luis,Gutierrez,D,D+25,D+24.96,25
IL-05,Rod,Blagojevich,D,D+10,D+10,69
IL-06,Henry,Hyde,R,R+10,R+10.23,345
IL-07,Danny K.,Davis,D,D+30,D+30.31,18
IL-08,Phil,Crane,R,R+12,R+12.29,363
IL-09,Jan,Schakowsky,D,D+17,D+16.65,43
IL-10,John,Porter,R,R+3,R+3.15,240
IL-11,Jerry,Weller,R,D+2,D+1.54,161
IL-12,Jerry,Costello,D,D+10,D+9.52,95
