Dist,First,Last,Party,2001 PVI,2001 Raw PVI
AL-01,Sonny,Callahan,R,R+12,R+11.77
AL-02,Terry,Everett,R,R+14,R+14.09
AL-03,Bob,Riley,R,R+8,R+7.97
AL-04,Robert,Aderholt,R,R+10,R+9.56
AL-05,Robert E.,Cramer,D,R+7,R+7
AL-06,Spencer,Bachus,R,R+22,R+22
AL-07,Earl,Hilliard,D,D+22,D+21.8
AK-00,Don,Young,R,R+17,R+17.44
AZ-01,Jeff,Flake,R,R+4,R+4.35
AZ-02,Ed,Pastor,D,D+14,D+14.26
AZ-03,Bob,Stump,R,R+8,R+8.5
AZ-04,John,Shadegg,R,R+5,R+5.33
AZ-05,Jim,Kolbe,R,R+2,R+1.88
AZ-06,J. D.,Hayworth,R,R+5,R+5.45
AR-01,Robert Marion,Berry,D,D+3,D+3.36
AR-02,Vic,Snyder,D,D+1,D+0.55
AR-03,Asa,Hutchinson,R,R+10,R+10.18
AR-04,Mike,Ross,D,D+4,D+3.69
CA-01,Mike,Thompson,D,D+4,D+4.25
CA-02,Wally,Herger,R,R+14,R+13.58
CA-03,Doug,Ose,R,R+4,R+4.23
CA-04,John,Doolitte,R,R+12,R+11.62
CA-05,Bob,Matsui,D,D+10,D+9.84
CA-06,Lynn,Woolsey,D,D+16,D+15.74
CA-07,George,Miller,D,D+21,D+20.66
CA-08,Nancy,Pelosi,D,D+31,D+31.29
CA-09,Barbara,Lee,D,D+35,D+35.09
CA-10,Ellen,Tauscher,D,D+2,D+1.92
CA-11,Richard,Pombo,R,R+3,R+2.52
CA-12,Tom,Lantos,D,D+21,D+21.16
CA-13,Pete,Stark,D,D+18,D+17.84
CA-14,Anna,Eshoo,D,D+14,D+14.32
CA-15,Mike,Honda,D,D+9,D+8.61
CA-16,Zoe,Lofgren,D,D+16,D+15.84
CA-17,Sam,Farr,D,D+13,D+12.68
CA-18,Gary,Condit,D,R+5,R+4.64
CA-19,George,Radanovich,R,R+11,R+10.62
CA-20,Cal,Dooley,D,D+1,D+0.95
CA-21,Bill,Thomas,R,R+16,R+16.2
CA-22,Walter,Capps,D,R+3,R+3.11
CA-23,Elton,Gallegly,R,R+0,R+0.36
CA-24,Brad,Sherman,D,D+9,D+8.68
CA-25,Buck,McKeon,R,R+5,R+4.91
CA-26,Howard,Berman,D,D+22,D+21.85
CA-27,Adam,Schiff,D,D+5,D+4.54
CA-28,David,Dreier,R,R+0,R+0.4
CA-29,Henry,Waxman,D,D+24,D+24.37
CA-30,Xavier,Becerra,D,D+28,D+27.79
CA-31,Hilda,Solis,D,D+20,D+20.29
CA-32,Diane,Watson,D,D+35,D+35.28
CA-33,Lucille,Roybal-Allard,D,D+33,D+33.45
CA-34,Grace,Napolitano,D,D+18,D+18.23
CA-35,Maxine,Waters,D,D+37,D+36.57
CA-36,Jane,Harman,D,D+2,D+1.89
CA-37,Juanita,Millender-McDonald,D,D+34,D+33.9
CA-38,Steve,Horn,R,D+9,D+9.16
CA-39,Ed,Royce,R,R+6,R+6.07
CA-40,Jerry,Lewis,R,R+10,R+9.55
CA-41,Gary,Miller,R,R+3,R+3.26
CA-42,Joe,Baca,D,D+8,D+8.01
CA-43,Ken,Calvert,R,R+5,R+4.82
CA-44,Mary,Bono,R,R+2,R+2.41
CA-45,Dana,Rohrabacher,R,R+9,R+9.34
CA-46,Loretta,Sanchez,D,D+4,D+4.34
CA-47,Christopher,Cox,R,R+11,R+11.1
CA-48,Darrell,Issa,R,R+14,R+14.07
CA-49,Susan,Davis,R,D+4,D+4.25
CA-50,Bob,Filner,D,D+11,D+10.82
CA-51,Duke,Cunningham,R,R+9,R+8.95
CA-52,Duncan L.,Hunter,R,R+7,R+7.47
CO-01,Diana,DeGette,D,D+15,D+14.82
CO-02,Mark,Udall,D,D+3,D+2.51
CO-03,Scott,McInnis,R,R+8,R+7.59
CO-04,Bob,Schaffer,R,R+10,R+10.17
CO-05,Joel,Hefley,R,R+17,R+17.47
CO-06,Tom,Tancredo,R,R+5,R+5.11
CT-01,John B.,Larson,D,D+15,D+14.61
CT-02,Rob,Simmons,R,D+9,D+8.99
CT-03,Rosa,DeLauro,D,D+13,D+12.79
CT-04,Chris,Shays,R,D+6,D+5.6
CT-05,James H.,Maloney,D,D+2,D+2.3
CT-06,Nancy,Johnson,R,D+5,D+4.81
DE-00,Mike,Castle,R,D+6,D+5.91
FL-01,Joe,Scarborough,R,R+20,R+19.82
FL-02,Allen,Boyd,D,R+1,R+0.98
FL-03,Corrine,Brown,D,D+9,D+9.36
FL-04,Ander,Crenshaw,R,R+15,R+14.65
FL-05,Karen,Thurman,D,D+2,D+1.83
FL-06,Cliff,Stearns,R,R+11,R+11.04
FL-07,John,Mica,R,R+3,R+3.1
FL-08,Ric,Keller,R,R+3,R+2.51
FL-09,Michael,Bilirakis,R,R+4,R+4.32
FL-10,Bill,Young,R,D+4,D+3.92
FL-11,Jim,Davis,D,D+4,D+3.56
FL-12,Adam,Putnam,R,R+7,R+6.63
FL-13,Dan,Miller,R,R+5,R+4.73
FL-14,Porter,Goss,R,R+11,R+11.38
FL-15,Dave,Weldon,R,R+6,R+5.75
FL-16,Mark,Foley,R,D+0,D+0.44
FL-17,Carrie,Meek,D,D+34,D+34.07
FL-18,Ileana,Ros-Lehtinen,R,R+11,R+11.46
FL-19,Robert,Wexler,D,D+19,D+18.51
FL-20,Peter,Deutsch,D,D+13,D+12.72
FL-21,Lincoln,Díaz-Balart,R,R+12,R+11.97
FL-22,Clay,Shaw,R,D+8,D+8.19
FL-23,Alcee,Hastings,D,D+28,D+28.34
GA-01,Jack,Kingston,R,R+8,R+7.52
GA-02,Sanford,Bishop,D,R+4,R+3.88
GA-03,Mac,Collins,R,R+8,R+8.28
GA-04,Cynthia,McKinney,D,D+19,D+18.77
GA-05,John,Lewis,D,D+24,D+24.14
GA-06,Johnny,Isakson,R,R+18,R+17.65
GA-07,Bob,Barr,R,R+11,R+11.35
GA-08,Saxby,Chambliss,R,R+7,R+6.55
GA-09,Nathan,Deal,R,R+20,R+19.99
GA-10,Charlie,Norwood,R,R+5,R+4.96
GA-11,John,Linder,R,R+15,R+15.3
HI-01,Neil,Abercrombie,D,D+8,D+8.32
HI-02,Patsy,Mink,D,D+11,D+10.71
ID-01,Butch,Otter,R,R+19,R+18.84
ID-02,Mike,Simpson,R,R+21,R+20.76
