,Dist,First,Last,Party,PVI,2012 Raw PVI,Rank
,AL-01,Jo,Bonner,R,R+15,R+14.63,372
,AL-02,Martha,Roby,R,R+18,R+18.21,407
,AL-03,Mike,Rogers,R,R+16,R+15.91,388
,AL-04,Robert,Aderholt,R,R+25,R+25.14,428
,AL-05,Mo,Brooks,R,R+15,R+15.45,383
,AL-06,Spencer,Bachus,R,R+28,R+27.94,432
,AL-07,Terri,Sewell,D,D+18,D+17.78,59
,AK-00,Don,Young,R,R+14,R+14.06,368
,AZ-01,Ann,Kirkpatrick,D,R+4,R+3.91,232
,AZ-02,Ron,Barber,D,R+3,R+2.91,218
,AZ-03,Raúl,Grijalva,D,D+6,D+5.83,139
,AZ-04,Paul,Gosar,R,R+17,R+17.33,403
,AZ-05,Matt,Salmon,R,R+16,R+16.42,392
,AZ-06,David,Schweikert,R,R+11,R+11.11,335
,AZ-07,Ed,Pastor,D,D+12,D+11.91,88
,AZ-08,Trent,Franks,R,R+14,R+13.84,365
,AZ-09,Kyrsten,Sinema,D,R+1,R+1.27,200
,AR-01,Rick,Crawford,R,R+10,R+10.05,318
,AR-02,Tim,Griffin,R,R+7,R+6.55,273
,AR-03,Steve,Womack,R,R+17,R+17.32,402
