Dist,2025 Incumbent,Party,District description,2025 PVI,"2025 PVI Rank
Sortable",
AL-01,Barry Moore,R,"Parts of Mobile and the Wiregrass: Baldwin County, Dothan",R+27,431,
AL-02,Shomari Figures,D,"South: Montgomery, parts of Mobile, Tuskegee",D+5,162,
AL-03,Mike Rogers,R,"East central: Auburn, Talladega, Anniston, Gadsden",R+23,419,
AL-04,Robert Aderholt,R,"North central: Cullman, Fort Payne, Muscle Shoals",R+33,435,
AL-05,Dale Strong,R,"North: Huntsville, Decatur",R+15,358,
AL-06,Gary Palmer,R,"Birmingham and Montgomery suburbs: Mountain Brook, Prattville",R+20,401,
AL-07,Terri Sewell,D,"West central: Birmingham, Tuscaloosa, Selma",D+13,100,
AK-AL,Nick Begich,R,Entire state,R+6,261,
AZ-01,David Schweikert,R,Scottsdale and North Phoenix,R+1,222,
AZ-02,Eli Crane,R,"North: Flagstaff, Navajo Nation, Prescott",R+7,265,
AZ-03,Yassamin Ansari,D,Phoenix and part of Glendale,D+22,47,
AZ-04,Greg Stanton,D,"Tempe, parts of Mesa and Chandler",D+4,174,
AZ-05,Andy Biggs,R,"East Valley: parts of Mesa, Gilbert, Apache Junction",R+10,300,
AZ-06,Juan Ciscomani,R,"Southeast: parts of Tucson, Casa Grande",EVEN,215,
AZ-07,Raúl Grijalva,D,South: parts of Tucson and Yuma,D+13,104,
AZ-08,Abe Hamadeh,R,"West Valley: Sun City, Peoria",R+8,281,
AZ-09,Paul Gosar,R,"West: Surprise, Buckeye, Lake Havasu City",R+15,364,
AR-01,Rick Crawford,R,"Northeast: Jonesboro, Arkansas Delta",R+23,418,
AR-02,French Hill,R,"Central: Little Rock, Conway",R+8,276,
AR-03,Steve Womack,R,"Northwest: Fayetteville, Springdale",R+13,341,
AR-04,Bruce Westerman,R,"South: Pine Bluff, Hot Springs",R+20,402,
CA-01,Doug LaMalfa,R,"North State: Chico, Redding, Susanville",R+12,339,
