state,district,url,2016_republican_candidate,2016_republican_pct,2016_republican_votes,2014_republican_candidate,2014_republican_pct,2014_republican_votes,2014_democratic_candidate,2014_democratic_pct,2014_democratic_votes,2012_republican_candidate,2012_republican_pct,2012_republican_votes,2024_republican_candidate,2024_republican_pct,2024_republican_votes,2024_democratic_candidate,2024_democratic_pct,2024_democratic_votes,2022_republican_candidate,2022_republican_pct,2022_republican_votes,2022_libertarian_candidate,2022_libertarian_pct,2022_libertarian_votes,2020_republican_candidate,2020_republican_pct,2020_republican_votes,2020_democratic_candidate,2020_democratic_pct,2020_democratic_votes,2018_republican_candidate,2018_republican_pct,2018_republican_votes,2018_democratic_candidate,2018_democratic_pct,2018_democratic_votes,2016_democratic_candidate,2016_democratic_pct,2016_democratic_votes,2012_democratic_candidate,2012_democratic_pct,2012_democratic_votes,2022_democratic_candidate,2022_democratic_pct,2022_democratic_votes,2020_libertarian_candidate,2020_libertarian_pct,2020_libertarian_votes,2022_independent_candidate,2022_independent_pct,2022_independent_votes,2014_independent_candidate,2014_independent_pct,2014_independent_votes,2020_independent_candidate,2020_independent_pct,2020_independent_votes,2016_libertarian_candidate,2016_libertarian_pct,2016_libertarian_votes,2016_independent_candidate,2016_independent_pct,2016_independent_votes,2014_libertarian_candidate,2014_libertarian_pct,2014_libertarian_votes,2012_libertarian_candidate,2012_libertarian_pct,2012_libertarian_votes,2016_green_candidate,2016_green_pct,2016_green_votes,2024_independent_candidate,2024_independent_pct,2024_independent_votes,2024_green_candidate,2024_green_pct,2024_green_votes,2012_independent_candidate,2012_independent_pct,2012_independent_votes,2018_green_candidate,2018_green_pct,2018_green_votes,2012_green_candidate,2012_green_pct,2012_green_votes,2024_libertarian_candidate,2024_libertarian_pct,2024_libertarian_votes,2018_libertarian_candidate,2018_libertarian_pct,2018_libertarian_votes,2022_green_candidate,2022_green_pct,2022_green_votes,2018_independent_candidate,2018_independent_pct,2018_independent_votes,2014_green_candidate,2014_green_pct,2014_green_votes,2020_green_candidate,2020_green_pct,2020_green_votes,2012_conservative_candidate,2012_conservative_pct,2012_conservative_votes,2021_democratic_candidate,2021_democratic_pct,2021_democratic_votes,2024_conservative_candidate,2024_conservative_pct,2024_conservative_votes,2016_conservative_candidate,2016_conservative_pct,2016_conservative_votes,2021_republican_candidate,2021_republican_pct,2021_republican_votes,2021_independent_candidate,2021_independent_pct,2021_independent_votes,2021_libertarian_candidate,2021_libertarian_pct,2021_libertarian_votes,2014_conservative_candidate,2014_conservative_pct,2014_conservative_votes,2020_conservative_candidate,2020_conservative_pct,2020_conservative_votes,2022_conservative_candidate,2022_conservative_pct,2022_conservative_votes,2018_conservative_candidate,2018_conservative_pct,2018_conservative_votes,2019_republican_candidate,2019_republican_pct,2019_republican_votes,2019_democratic_candidate,2019_democratic_pct,2019_democratic_votes,2019_libertarian_candidate,2019_libertarian_pct,2019_libertarian_votes,2019_green_candidate,2019_green_pct,2019_green_votes,2023_democratic_candidate,2023_democratic_pct,2023_democratic_votes,2023_republican_candidate,2023_republican_pct,2023_republican_votes,2023_libertarian_candidate,2023_libertarian_pct,2023_libertarian_votes,2023_independent_candidate,2023_independent_pct,2023_independent_votes
Alabama,1,https://ballotpedia.org/Alabama's_1st_Congressional_District,Bradley ByrneIncumbent,96.4%,"208,083",Bradley ByrneIncumbent,68.2%,"103,758",Burton LeFlore,31.7%,"48,278",Jo BonnerIncumbent,97.9%,"196,374",Barry Moore(R),78.4,"258,619",Tom Holmes(D),21.5,"70,929",Jerry Carl(R),83.6,"140,592",Alexander Remrey(L),15.7,"26,369",Jerry Carl(R),64.4,"211,825",James Averhart(D),35.5,"116,949",Bradley Byrne(R),63.2,"153,228",Robert Kennedy Jr.(D),36.8,"89,226",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,2,https://ballotpedia.org/Alabama's_2nd_Congressional_District,Martha RobyIncumbent,48.8%,"134,886",Martha RobyIncumbent,67.3%,"113,103",Erick Wright,32.6%,"54,692",Martha RobyIncumbent,63.6%,"180,591",Caroleene Dobson(R),45.4,"131,414",Shomari Figures(D),54.6,"158,041",Barry Moore(R),69.1,"137,460",Jonathan Realz(L),1.7,"3,396",Barry Moore(R),65.2,"197,996",Phyllis Harvey-Hall(D),34.7,"105,286",Martha Roby(R),61.4,"138,879",Tabitha Isner(D),38.4,"86,931",Nathan Mathis,40.5%,"112,089",Therese Ford,36.3%,"103,092",Phyllis Harvey-Hall(D),29.2,"58,014",John Page(L) (Write-in),0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,3,https://ballotpedia.org/Alabama's_3rd_Congressional_District,Mike RogersIncumbent,66.9%,"192,164",Mike RogersIncumbent,66.1%,"103,558",Jesse Smith,33.7%,"52,816",Mike RogersIncumbent,64%,"175,306",Mike Rogers(R),97.9,"243,848",,,,Mike Rogers(R),71.2,"135,602",Thomas Casson(L),1.6,"3,034",Mike Rogers(R),67.5,"217,384",Adia Winfrey(D),32.5,"104,595",Mike Rogers(R),63.7,"147,770",Mallory Hagan(D),36.2,"83,996",Jesse Smith,32.9%,"94,549",John Andrew Harris,35.8%,"98,141",Lin Veasey(D),25.1,"47,859",,,,Douglas Bell(Independent),2.0,"3,831",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,4,https://ballotpedia.org/Alabama's_4th_Congressional_District,Robert AderholtIncumbent,98.5%,"235,925",Robert AderholtIncumbent,98.6%,"132,831",,,,Robert AderholtIncumbent,74%,"199,071",Robert Aderholt(R),98.8,"274,498",,,,Robert Aderholt(R),84.1,"164,655",Johnny C. Cochran(L),2.2,"4,303",Robert Aderholt(R),82.2,"261,553",Rick Neighbors(D),17.7,"56,237",Robert Aderholt(R),79.8,"184,255",Lee Auman(D),20.1,"46,492",,,,Daniel H. Boman,25.9%,"69,706",Rick Neighbors(D),13.6,"26,694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,5,https://ballotpedia.org/Alabama's_5th_Congressional_District,Mo BrooksIncumbent,66.7%,"205,647",Mo BrooksIncumbent,74.4%,"115,338",,,,Mo BrooksIncumbent,64.9%,"189,185",Dale Strong(R),95.4,"250,322",,,,Dale Strong(R),67.1,"142,435",P.J. Greer(L),3.2,"6,773",Mo Brooks(R),95.8,"253,094",,,,Mo Brooks(R),61.0,"159,063",Peter Joffrion(D),38.9,"101,388",Will Boyd,33.2%,"102,234",Charlie L. Holley,34.9%,"101,772",Kathy Warner-Stanton(D),29.6,"62,740",,,,,,,Mark Bray,25.2%,"39,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,6,https://ballotpedia.org/Alabama's_6th_Congressional_District,Gary PalmerIncumbent,74.5%,"245,313",Gary Palmer,76.2%,"135,945",Mark Lester,23.7%,"42,291",Spencer BachusIncumbent,71.2%,"219,262",Gary Palmer(R),70.3,"243,741",Elizabeth Anderson(D),29.6,"102,504",Gary Palmer(R),83.7,"154,233",Andria Chieffo(L),15.1,"27,833",Gary Palmer(R),97.1,"274,160",,,,Gary Palmer(R),69.2,"192,542",Danner Kline(D),30.8,"85,644",David Putman,25.4%,"83,709",Penny H. Bailey,28.6%,"88,267",,,,,,,,,,,,,Kaynen Pellegrino(Independent) (Write-in),0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,7,https://ballotpedia.org/Alabama's_7th_Congressional_District,,,,,,,Terri SewellIncumbent,98.4%,"133,687",Don Chamberlain,24.1%,"73,835",Robin Litaker(R),36.3,"106,312",Terri Sewell(D),63.7,"186,723",Beatrice Nichols(R),34.8,"67,416",Gavin Goodman(L),1.7,"3,212",,,,Terri Sewell(D),97.2,"225,742",,,,Terri Sewell(D),97.8,"185,010",Terri SewellIncumbent,98.4%,"229,330",Terri SewellIncumbent,75.8%,"232,520",Terri Sewell(D),63.5,"123,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,At-Large,https://ballotpedia.org/Alaska's_At-Large_Congressional_District,Don YoungIncumbent,50.3%,"155,088",Don YoungIncumbent,51%,"142,572",Forrest Dunbar,41%,"114,602",Don Young,63.9%,"185,296",,,,,,,,,,,,,Gerald Heikes(R) (Write-in),0.0,0,,,,Don Young(R),53.3,"149,779",Alyse Galvin(D),46.7,"131,199",Steve Lindbeck,36%,"111,019",Sharon M. Cissna,28.6%,"82,927",,,,,,,,,,,,,,,,Jim McDermott,10.3%,"31,770",Bernie Souphanavong,3%,"9,093",Jim McDermott,7.6%,"21,290",Jim C. McDermott,5.2%,"15,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,1,https://ballotpedia.org/Arizona's_1st_Congressional_District,Paul Babeu,43.4%,"121,745",Andy Tobin,47.4%,"87,723",Ann KirkpatrickIncumbent,52.6%,"97,391",Jonathon Paton,45.1%,"113,594",David Schweikert(R),51.9,"225,538",Amish Shah(D),48.1,"208,966",David Schweikert(R),50.4,"182,336",,,,Tiffany Shedd(R),48.4,"176,709",Tom O'Halleran(D),51.6,"188,469",Wendy Rogers(R),46.1,"122,784",Tom O'Halleran(D),53.8,"143,240",Tom O'Halleran,50.7%,"142,219",Ann Kirkpatrick,48.8%,"122,774",Jevin Hodge(D),49.6,"179,141",,,,,,,,,,,,,,,,,,,,,,Kim Allen,6.1%,"15,227",Ray Parrish,6%,"16,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,2,https://ballotpedia.org/Arizona's_2nd_Congressional_District,Martha McSallyIncumbent,57%,"179,806",Martha McSally,50%,"109,704",Ron BarberIncumbent,49.9%,"109,543",Martha McSally,49.6%,"144,884",Eli Crane(R),54.5,"221,413",David Alexander(D) (Write-in),0.0,22,Eli Crane(R),53.9,"174,169",,,,Brandon Martin(R),44.9,"170,975",Ann Kirkpatrick(D),55.1,"209,945",Lea Marquez Peterson(R),45.2,"133,083",Ann Kirkpatrick(D),54.7,"161,000",Matt Heinz,43%,"135,873",Ron BarberIncumbent,50.4%,"147,338",Tom O'Halleran(D),46.1,"149,151",,,,Chris Sarappo(Independent) (Write-in),0.0,76,,,,Iman-Utopia Layjou Bah(Independent) (Write-in),0.0,99,,,,,,,,,,Anthony Powell,0%,57,,,,Richard Ester(Independent) (Write-in),0.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
