NAME,B09019_011E,B09019_013E,B09019_009E,B09019_010E,state,congressional district,same_sex_couples_est,total_persons_in_couples,total_couples_est,same_sex_couple_rate,sogi_score_raw
"Congressional District 1 (118th Congress), Alabama",1888,847,109939,132565,01,01,1367.5,245239,122619.5,0.011152386039740824,1.1152386039740825
"Congressional District 2 (118th Congress), Alabama",875,1512,106394,128960,01,02,1193.5,237741,118870.5,0.010040338014898566,1.0040338014898567
"Congressional District 3 (118th Congress), Alabama",1451,365,109981,132516,01,03,908.0,244313,122156.5,0.007433087883166266,0.7433087883166266
"Congressional District 4 (118th Congress), Alabama",1523,892,101959,143502,01,04,1207.5,247876,123938.0,0.009742774613113007,0.9742774613113008
"Congressional District 5 (118th Congress), Alabama",1090,1073,104545,157195,01,05,1081.5,263903,131951.5,0.008196193298295207,0.8196193298295207
"Congressional District 6 (118th Congress), Alabama",1131,745,104303,149013,01,06,938.0,255192,127596.0,0.007351327627825323,0.7351327627825324
"Congressional District 7 (118th Congress), Alabama",1683,1332,104533,96201,01,07,1507.5,203749,101874.5,0.014797618638619085,1.4797618638619086
"Congressional District (at Large) (118th Congress), Alaska",1653,716,93537,126021,02,00,1184.5,221927,110963.5,0.010674681314125816,1.0674681314125816
"Congressional District 1 (118th Congress), Arizona",2706,844,110888,157922,04,01,1775.0,272360,136180.0,0.013034219415479512,1.303421941547951
"Congressional District 2 (118th Congress), Arizona",1668,2497,118208,157548,04,02,2082.5,279921,139960.5,0.014879198059452488,1.4879198059452488
"Congressional District 3 (118th Congress), Arizona",2442,1931,108913,94382,04,03,2186.5,207668,103834.0,0.021057649710114222,2.105764971011422
"Congressional District 4 (118th Congress), Arizona",2922,2882,114793,128351,04,04,2902.0,248948,124474.0,0.023314105757025562,2.3314105757025563
"Congressional District 5 (118th Congress), Arizona",1981,620,115418,181422,04,05,1300.5,299441,149720.5,0.008686185258531732,0.8686185258531731
"Congressional District 6 (118th Congress), Arizona",2233,1130,114358,168522,04,06,1681.5,286243,143121.5,0.011748758921615551,1.1748758921615552
"Congressional District 7 (118th Congress), Arizona",1707,1301,112041,118450,04,07,1504.0,233499,116749.5,0.01288228215110129,1.288228215110129
"Congressional District 8 (118th Congress), Arizona",1986,1317,110683,158328,04,08,1651.5,272314,136157.0,0.012129380053908356,1.2129380053908356
"Congressional District 9 (118th Congress), Arizona",1880,326,121021,176181,04,09,1103.0,299408,149704.0,0.007367872601934484,0.7367872601934484
"Congressional District 1 (118th Congress), Arkansas",1487,462,106902,136071,05,01,974.5,244922,122461.0,0.007957635492115858,0.7957635492115858
"Congressional District 2 (118th Congress), Arkansas",1341,681,110056,146236,05,02,1011.0,258314,129157.0,0.007827682587858188,0.7827682587858188
"Congressional District 3 (118th Congress), Arkansas",1737,682,112042,156562,05,03,1209.5,271023,135511.5,0.008925441752176015,0.8925441752176015
"Congressional District 4 (118th Congress), Arkansas",656,848,104434,129963,05,04,752.0,235901,117950.5,0.006375555847580129,0.6375555847580129
"Congressional District 1 (118th Congress), California",1753,526,112234,133504,06,01,1139.5,248017,124008.5,0.0091888862457009,0.9188886245700899
"Congressional District 2 (118th Congress), California",2341,1906,104028,137568,06,02,2123.5,245843,122921.5,0.017275252905309485,1.7275252905309486
"Congressional District 3 (118th Congress), California",2255,958,116292,177098,06,03,1606.5,296603,148301.5,0.010832661840911926,1.0832661840911926
"Congressional District 4 (118th Congress), California",1926,1081,106145,131126,06,04,1503.5,240278,120139.0,0.012514670506663115,1.2514670506663115
"Congressional District 5 (118th Congress), California",2352,668,113970,152039,06,05,1510.0,269029,134514.5,0.011225555609246587,1.1225555609246587
"Congressional District 6 (118th Congress), California",2310,599,103280,117961,06,06,1454.5,224150,112075.0,0.012977916573722954,1.2977916573722954
"Congressional District 7 (118th Congress), California",2646,1990,98941,121849,06,07,2318.0,225426,112713.0,0.020565507084364713,2.0565507084364714
"Congressional District 8 (118th Congress), California",1961,878,95188,123336,06,08,1419.5,221363,110681.5,0.012825088203538983,1.2825088203538983
"Congressional District 9 (118th Congress), California",1325,778,95984,125855,06,09,1051.5,223942,111971.0,0.009390824409891847,0.9390824409891847
"Congressional District 10 (118th Congress), California",3189,840,93256,157178,06,10,2014.5,254463,127231.5,0.015833343157944376,1.5833343157944375
"Congressional District 11 (118th Congress), California",6717,3628,89846,103852,06,11,5172.5,204043,102021.5,0.050700097528462135,5.070009752846214
"Congressional District 12 (118th Congress), California",3885,4415,94214,106429,06,12,4150.0,208943,104471.5,0.03972375241094461,3.9723752410944613
"Congressional District 13 (118th Congress), California",517,758,88531,110994,06,13,637.5,200800,100400.0,0.0063496015936254984,0.6349601593625498
"Congressional District 14 (118th Congress), California",1826,505,83040,146018,06,14,1165.5,231389,115694.5,0.010073944742403486,1.0073944742403484
"Congressional District 15 (118th Congress), California",2139,1187,89920,129852,06,15,1663.0,223098,111549.0,0.014908246600148814,1.4908246600148813
"Congressional District 16 (118th Congress), California",2859,1063,81309,148400,06,16,1961.0,233631,116815.5,0.016787155814082893,1.6787155814082892
"Congressional District 17 (118th Congress), California",1530,1004,77350,149661,06,17,1267.0,229545,114772.5,0.011039229780653031,1.103922978065303
"Congressional District 18 (118th Congress), California",1255,939,83740,102878,06,18,1097.0,188812,94406.0,0.011620024151007352,1.1620024151007353
"Congressional District 19 (118th Congress), California",2481,743,94932,138275,06,19,1612.0,236431,118215.5,0.013636113707593336,1.3636113707593336
"Congressional District 20 (118th Congress), California",2095,898,104945,138684,06,20,1496.5,246622,123311.0,0.01213598138041213,1.2135981380412129
"Congressional District 21 (118th Congress), California",1151,1224,93919,98292,06,21,1187.5,194586,97293.0,0.012205400182952525,1.2205400182952524
"Congressional District 22 (118th Congress), California",1465,471,90101,98744,06,22,968.0,190781,95390.5,0.01014776104538712,1.014776104538712
"Congressional District 23 (118th Congress), California",2035,234,101796,118292,06,23,1134.5,222357,111178.5,0.01020431108532675,1.020431108532675
"Congressional District 24 (118th Congress), California",1481,644,96793,126799,06,24,1062.5,225717,112858.5,0.009414443750359963,0.9414443750359963
"Congressional District 25 (118th Congress), California",2951,1372,96679,118688,06,25,2161.5,219690,109845.0,0.019677727707223817,1.9677727707223818
"Congressional District 26 (118th Congress), California",2124,562,90907,136473,06,26,1343.0,230066,115033.0,0.0116749106778055,1.16749106778055
"Congressional District 27 (118th Congress), California",1739,883,88565,131694,06,27,1311.0,222881,111440.5,0.011764125250694316,1.1764125250694317
"Congressional District 28 (118th Congress), California",2471,1706,96817,133801,06,28,2088.5,234795,117397.5,0.017789987009944847,1.7789987009944848
"Congressional District 29 (118th Congress), California",1886,633,86209,95563,06,29,1259.5,184291,92145.5,0.013668600202939916,1.3668600202939916
"Congressional District 30 (118th Congress), California",4110,4145,96766,111489,06,30,4127.5,216510,108255.0,0.038127569165396516,3.8127569165396515
"Congressional District 31 (118th Congress), California",1897,232,88843,107600,06,31,1064.5,198572,99286.0,0.010721551880426243,1.0721551880426243
"Congressional District 32 (118th Congress), California",2003,1406,98294,133961,06,32,1704.5,235664,117832.0,0.014465510217937402,1.44655102179374
"Congressional District 33 (118th Congress), California",1088,732,90571,106387,06,33,910.0,198778,99389.0,0.009155942810572599,0.9155942810572599
"Congressional District 34 (118th Congress), California",1690,1886,82370,82182,06,34,1788.0,168128,84064.0,0.021269508945565285,2.1269508945565283
"Congressional District 35 (118th Congress), California",1576,964,94498,111149,06,35,1270.0,208187,104093.5,0.012200569680143332,1.2200569680143332
"Congressional District 36 (118th Congress), California",2911,1412,94110,135267,06,36,2161.5,233700,116850.0,0.018498074454428755,1.8498074454428755
"Congressional District 37 (118th Congress), California",1379,2383,96238,78677,06,37,1881.0,178677,89338.5,0.021054752430363168,2.1054752430363166
"Congressional District 38 (118th Congress), California",1753,558,88539,116843,06,38,1155.5,207693,103846.5,0.011126999947037213,1.1126999947037213
"Congressional District 39 (118th Congress), California",1500,1023,94671,105607,06,39,1261.5,202801,101400.5,0.01244076705736165,1.244076705736165
"Congressional District 40 (118th Congress), California",1066,417,92558,163015,06,40,741.5,257056,128528.0,0.005769170919955185,0.5769170919955184
"Congressional District 41 (118th Congress), California",5587,2803,97500,148060,06,41,4195.0,253950,126975.0,0.033037999606221696,3.3037999606221695
"Congressional District 42 (118th Congress), California",2550,1782,90695,97711,06,42,2166.0,192738,96369.0,0.022476107461943156,2.2476107461943156
"Congressional District 43 (118th Congress), California",1224,584,93398,88021,06,43,904.0,183227,91613.5,0.009867541355804548,0.9867541355804548
"Congressional District 44 (118th Congress), California",1038,1010,91502,100947,06,44,1024.0,194497,97248.5,0.010529725394222018,1.0529725394222018
"Congressional District 45 (118th Congress), California",1997,492,87114,130528,06,45,1244.5,220131,110065.5,0.011306903616482912,1.130690361648291
"Congressional District 46 (118th Congress), California",1004,605,88926,105448,06,46,804.5,195983,97991.5,0.008209895756264574,0.8209895756264574
"Congressional District 47 (118th Congress), California",1209,631,95848,140250,06,47,920.0,237938,118969.0,0.0077331069438257025,0.7733106943825703
"Congressional District 48 (118th Congress), California",1296,715,95710,149822,06,48,1005.5,247543,123771.5,0.00812384111043334,0.812384111043334
"Congressional District 49 (118th Congress), California",1017,482,97942,152426,06,49,749.5,251867,125933.5,0.005951553796249608,0.5951553796249608
"Congressional District 50 (118th Congress), California",3792,2538,104623,135747,06,50,3165.0,246700,123350.0,0.025658694770976896,2.5658694770976895
"Congressional District 51 (118th Congress), California",2612,2007,94577,128306,06,51,2309.5,227502,113751.0,0.02030311821434537,2.030311821434537
"Congressional District 52 (118th Congress), California",1383,667,91926,113451,06,52,1025.0,207427,103713.5,0.009882994981366938,0.9882994981366938
"Congressional District 1 (118th Congress), Colorado",2763,3989,100377,107873,08,01,3376.0,215002,107501.0,0.031404359029218336,3.1404359029218334
"Congressional District 2 (118th Congress), Colorado",3343,1632,101044,142599,08,02,2487.5,248618,124309.0,0.020010618700174565,2.0010618700174563
"Congressional District 3 (118th Congress), Colorado",1206,1267,114465,145098,08,03,1236.5,262036,131018.0,0.009437634523500587,0.9437634523500587
"Congressional District 4 (118th Congress), Colorado",1838,1170,105843,169879,08,04,1504.0,278730,139365.0,0.010791805690094356,1.0791805690094356
"Congressional District 5 (118th Congress), Colorado",2066,910,100766,154028,08,05,1488.0,257770,128885.0,0.011545175932032432,1.1545175932032432
