year,state_po,state,state_fips,district,district_code,totalvotes,total_candidatevotes
1976,AK,ALASKA,2,0,AK-AL,118208,118208
1978,AK,ALASKA,2,0,AK-AL,124187,124187
1980,AK,ALASKA,2,0,AK-AL,154618,154618
1982,AK,ALASKA,2,0,AK-AL,181084,181084
1984,AK,ALASKA,2,0,AK-AL,206437,206437
1986,AK,ALASKA,2,0,AK-AL,180277,180277
1988,AK,ALASKA,2,0,AK-AL,192955,192955
1990,AK,ALASKA,2,0,AK-AL,191647,191647
1992,AK,ALASKA,2,0,AK-AL,239116,239116
1994,AK,ALASKA,2,0,AK-AL,208240,208240
1996,AK,ALASKA,2,0,AK-AL,233700,233700
1998,AK,ALASKA,2,0,AK-AL,223300,223300
2000,AK,ALASKA,2,0,AK-AL,274393,274393
2002,AK,ALASKA,2,0,AK-AL,227725,227725
2004,AK,ALASKA,2,0,AK-AL,299996,299996
2006,AK,ALASKA,2,0,AK-AL,234645,234645
2008,AK,ALASKA,2,0,AK-AL,316978,316978
2010,AK,ALASKA,2,0,AK-AL,254335,254335
2012,AK,ALASKA,2,0,AK-AL,289804,289804
2014,AK,ALASKA,2,0,AK-AL,279741,279741
2016,AK,ALASKA,2,0,AK-AL,308198,308198
2018,AK,ALASKA,2,0,AK-AL,282166,282166
2020,AK,ALASKA,2,0,AK-AL,353165,353165
2022,AK,ALASKA,2,0,AK-AL,263610,263610
2024,AK,ALASKA,2,0,AK-AL,329555,329555
1976,AL,ALABAMA,1,1,AL-01,157170,157170
1978,AL,ALABAMA,1,1,AL-01,112161,112161
1980,AL,ALABAMA,1,1,AL-01,117221,117221
1982,AL,ALABAMA,1,1,AL-01,144028,144028
1984,AL,ALABAMA,1,1,AL-01,200934,200934
1986,AL,ALABAMA,1,1,AL-01,96469,96469
1988,AL,ALABAMA,1,1,AL-01,194363,194363
1990,AL,ALABAMA,1,1,AL-01,82530,82530
1992,AL,ALABAMA,1,1,AL-01,214204,214204
1994,AL,ALABAMA,1,1,AL-01,153767,153767
1996,AL,ALABAMA,1,1,AL-01,205417,205417
1998,AL,ALABAMA,1,1,AL-01,113564,113564
2000,AL,ALABAMA,1,1,AL-01,165669,165669
2002,AL,ALABAMA,1,1,AL-01,178687,178687
2004,AL,ALABAMA,1,1,AL-01,255164,255164
2006,AL,ALABAMA,1,1,AL-01,165841,165841
2008,AL,ALABAMA,1,1,AL-01,214367,214367
2010,AL,ALABAMA,1,1,AL-01,156281,156281
2012,AL,ALABAMA,1,1,AL-01,200676,200676
2014,AL,ALABAMA,1,1,AL-01,152234,152234
2016,AL,ALABAMA,1,1,AL-01,215893,215893
2018,AL,ALABAMA,1,1,AL-01,242617,242617
2020,AL,ALABAMA,1,1,AL-01,329075,329075
2022,AL,ALABAMA,1,1,AL-01,168150,168150
2024,AL,ALABAMA,1,1,AL-01,329854,329854
1976,AL,ALABAMA,1,2,AL-02,156362,156362
1978,AL,ALABAMA,1,2,AL-02,107265,107265
1980,AL,ALABAMA,1,2,AL-02,172962,172962
1982,AL,ALABAMA,1,2,AL-02,165194,165194
1984,AL,ALABAMA,1,2,AL-02,195815,195815
1986,AL,ALABAMA,1,2,AL-02,172870,172870
1988,AL,ALABAMA,1,2,AL-02,127861,127861
1990,AL,ALABAMA,1,2,AL-02,170911,170911
1992,AL,ALABAMA,1,2,AL-02,228160,228160
1994,AL,ALABAMA,1,2,AL-02,169213,169213
1996,AL,ALABAMA,1,2,AL-02,209793,209793
1998,AL,ALABAMA,1,2,AL-02,189669,189669
2000,AL,ALABAMA,1,2,AL-02,222636,222636
2002,AL,ALABAMA,1,2,AL-02,187965,187965
2004,AL,ALABAMA,1,2,AL-02,247947,247947
2006,AL,ALABAMA,1,2,AL-02,178919,178919
2008,AL,ALABAMA,1,2,AL-02,287394,287394
2010,AL,ALABAMA,1,2,AL-02,219028,219028
2012,AL,ALABAMA,1,2,AL-02,283953,283953
2014,AL,ALABAMA,1,2,AL-02,167952,167952
2016,AL,ALABAMA,1,2,AL-02,276584,276584
2018,AL,ALABAMA,1,2,AL-02,226230,226230
2020,AL,ALABAMA,1,2,AL-02,303569,303569
2022,AL,ALABAMA,1,2,AL-02,198961,198961
2024,AL,ALABAMA,1,2,AL-02,289674,289674
1976,AL,ALABAMA,1,3,AL-03,108048,108048
1978,AL,ALABAMA,1,3,AL-03,74897,74897
1980,AL,ALABAMA,1,3,AL-03,109215,109215
1982,AL,ALABAMA,1,3,AL-03,104784,104784
1984,AL,ALABAMA,1,3,AL-03,125102,125102
1986,AL,ALABAMA,1,3,AL-03,142896,142896
1988,AL,ALABAMA,1,3,AL-03,122310,122310
1990,AL,ALABAMA,1,3,AL-03,138242,138242
1992,AL,ALABAMA,1,3,AL-03,197604,197604
1994,AL,ALABAMA,1,3,AL-03,147745,147745
