State,2001 PVI,Raw PVI,Rank (D to R),,,
Alabama,R+8,R+8.02,37,,,
Alaska,R+17,R+17.44,48,,,
Arizona,R+4,R+3.54,31,,,
Arkansas,R+1,R+1.15,24,,,
California,D+5,D+5.07,12,,,
Colorado,R+5,R+4.94,33,,,
Connecticut,D+8,D+8.15,6,,,
Delaware,D+6,D+5.83,10,,,
D.C.,D+39,D+39.01,1,,,
Florida,R+1,R+0.6,23,,,
Georgia,R+6,R+6.03,34,,,
Hawaii,D+10,D+9.55,5,,,
Idaho,R+20,R+19.72,50,,,
Illinois,D+6,D+5.65,11,,,
Indiana,R+8,R+8.18,38,,,
Iowa,EVEN,D+0.17,19,,,
Kansas,R+12,R+12.09,45,,,
Kentucky,R+7,R+7.05,36,,,
Louisiana,R+3,R+2.7,30,,,
Maine,D+4,D+3.84,13,,,
Maryland,D+7,D+7.13,8,,,
Massachusetts,D+14,D+14.37,3,,,
Michigan,D+2,D+2.42,15,,,
Minnesota,D+2,D+1.92,16,,,
Mississippi,R+9,R+8.53,40,,,
Missouri,R+2,R+1.78,26,,,
Montana,R+12,R+12.05,44,,,
Nebraska †,R+15,R+15.41,47,,,
Nevada,R+3,R+2.63,29,,,
New Hampshire,EVEN,R+0.48,22,,,
New Jersey,D+7,D+7.27,7,,,
New Mexico,EVEN,R+0.36,21,,,
New York,D+12,D+12.44,4,,,
North Carolina,R+7,R+6.87,35,,,
North Dakota,R+13,R+13.41,46,,,
Ohio,R+2,R+1.85,27,,,
Oklahoma,R+11,R+10.8,43,,,
Oregon,EVEN,R+0.03,20,,,
Pennsylvania,D+2,D+1.52,17,,,
Rhode Island,D+15,D+15.1,2,,,
South Carolina,R+8,R+8.28,39,,,
South Dakota,R+11,R+10.58,42,,,
Tennessee,R+3,R+2.54,28,,,
Texas,R+10,R+10.27,41,,,
Utah,R+21,R+20.68,51,,,
Vermont,D+6,D+5.99,9,,,
Virginia,R+5,R+4.76,32,,,
Washington,D+3,D+2.62,14,,,
West Virginia,R+2,R+1.73,25,,,
Wisconsin,EVEN,D+0.18,18,,,
Wyoming,R+19,R+18.99,49,,,
